m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,
n_40-x,n_40,d10_40-x,d10_40,d32_40-x,d32_40,d43_40-x,d43_40,w00_40-x,w00_40,w33_40-x,w33_40,f_40-x,f_40,n_60-x,n_60,d10_60-x,d10_60,d32_60-x,d32_60,d43_60-x,d43_60,w00_60-x,w00_60,w33_60-x,w33_60,f_60-x,f_60
-1.8508475E-001, 2.9143141E+009,-1.8508475E-001, 7.0648722E-001,-1.8508475E-001, 7.0648765E-001,-1.8508475E-001, 7.0648797E-001,-1.8508475E-001, 4.4644292E-001,-1.8508475E-001, 3.0479575E-001,-1.8508475E-001,-7.1052417E-001,-1.8508475E-001, 9.0653716E+009,-1.8508475E-001, 4.1271000E-001,-1.8508475E-001, 4.1271066E-001,-1.8508475E-001, 4.1271105E-001,-1.8508475E-001, 2.4512596E-003,-1.8508475E-001,-9.0285430E-002,-1.8508475E-001,-4.4024598E+000
-1.7559322E-001, 7.6383622E+009,-1.7559322E-001, 6.1662057E-001,-1.7559322E-001, 6.1662105E-001,-1.7559322E-001, 6.1662138E-001,-1.7559322E-001, 3.2706335E-001,-1.7559322E-001, 1.7796574E-001,-1.7559322E-001,-2.3531496E+000,-1.7559322E-001, 9.7507306E+009,-1.7559322E-001, 4.1294356E-001,-1.7559322E-001, 4.1294432E-001,-1.7559322E-001, 4.1294477E-001,-1.7559322E-001, 7.0983293E-005,-1.7559322E-001,-9.9254140E-002,-1.7559322E-001,-4.9595360E+000
-1.6610169E-001, 1.6011222E+010,-1.6610169E-001, 4.9008827E-001,-1.6610169E-001, 4.9008893E-001,-1.6610169E-001, 4.9008942E-001,-1.6610169E-001, 1.1830473E-001,-1.6610169E-001,-8.9087297E-002,-1.6610169E-001,-5.3176159E+000,-1.6610169E-001, 1.5708447E+010,-1.6610169E-001, 3.1923008E-001,-1.6610169E-001, 3.1923089E-001,-1.6610169E-001, 3.1923138E-001,-1.6610169E-001,-1.2423381E-001,-1.6610169E-001,-2.3244448E-001,-1.6610169E-001,-6.5902653E+000
-1.5661017E-001, 2.6332857E+010,-1.5661017E-001, 4.5172630E-001,-1.5661017E-001, 4.5172691E-001,-1.5661017E-001, 4.5172738E-001,-1.5661017E-001, 5.3660371E-002,-1.5661017E-001,-1.5898900E-001,-1.5661017E-001,-8.5870517E+000,-1.5661017E-001, 2.5802018E+010,-1.5661017E-001, 2.3719586E-001,-1.5661017E-001, 2.3719679E-001,-1.5661017E-001, 2.3719733E-001,-1.5661017E-001,-2.5261969E-001,-1.5661017E-001,-3.7123472E-001,-1.5661017E-001,-9.3233683E+000
-1.4711864E-001, 3.3818635E+010,-1.4711864E-001, 4.3559214E-001,-1.4711864E-001, 4.3559273E-001,-1.4711864E-001, 4.3559319E-001,-1.4711864E-001,-3.0051493E-002,-1.4711864E-001,-2.8703025E-001,-1.4711864E-001,-1.1038998E+001,-1.4711864E-001, 4.4964810E+010,-1.4711864E-001, 1.9805617E-001,-1.4711864E-001, 1.9806179E-001,-1.4711864E-001, 1.9806328E-001,-1.4711864E-001,-3.2456537E-001,-1.4711864E-001,-4.4932460E-001,-1.4711864E-001,-1.3716191E+001
-1.3762712E-001, 3.5337490E+010,-1.3762712E-001, 4.1698563E-001,-1.3762712E-001, 4.1698645E-001,-1.3762712E-001, 4.1698709E-001,-1.3762712E-001,-2.3157141E-001,-1.3762712E-001,-6.2154578E-001,-1.3762712E-001,-1.2793738E+001,-1.3762712E-001, 8.1287433E+010,-1.3762712E-001, 1.3748857E-001,-1.3762712E-001, 1.3749997E-001,-1.3762712E-001, 1.3750262E-001,-1.3762712E-001,-4.4158586E-001,-1.3762712E-001,-5.5602008E-001,-1.3762712E-001,-2.2499220E+001
-1.2813559E-001, 5.1352619E+010,-1.2813559E-001, 3.3601004E-001,-1.2813559E-001, 3.3601105E-001,-1.2813559E-001, 3.3601182E-001,-1.2813559E-001,-4.3900220E-001,-1.2813559E-001,-9.0133546E-001,-1.2813559E-001,-2.2347071E+001,-1.2813559E-001, 1.1041868E+011,-1.2813559E-001, 5.5355976E-002,-1.2813559E-001, 5.5369080E-002,-1.2813559E-001, 5.5371955E-002,-1.2813559E-001,-6.7631250E-001,-1.2813559E-001,-7.6843543E-001,-1.2813559E-001,-3.2529718E+001
-1.1864407E-001, 6.3038213E+010,-1.1864407E-001, 3.2230682E-001,-1.1864407E-001, 3.2230796E-001,-1.1864407E-001, 3.2230883E-001,-1.1864407E-001,-4.9365049E-001,-1.1864407E-001,-9.5614669E-001,-1.1864407E-001,-2.7472700E+001,-1.1864407E-001, 1.3992269E+011,-1.1864407E-001, 5.7015722E-002,-1.1864407E-001, 5.7028847E-002,-1.1864407E-001, 5.7031742E-002,-1.1864407E-001,-9.6483041E-001,-1.1864407E-001,-9.1383096E-001,-1.1864407E-001,-4.4447201E+001
-1.0915254E-001, 1.1238390E+011,-1.0915254E-001, 2.1082619E-001,-1.0915254E-001, 2.1082754E-001,-1.0915254E-001, 2.1082852E-001,-1.0915254E-001,-8.0558142E-001,-1.0915254E-001,-1.2893895E+000,-1.0915254E-001,-5.0823362E+001,-1.0915254E-001, 2.2797469E+011,-1.0915254E-001, 7.3125048E-002,-1.0915254E-001, 7.3140101E-002,-1.0915254E-001, 7.3144202E-002,-1.0915254E-001,-1.2560836E+000,-1.0915254E-001,-1.0767610E+000,-1.0915254E-001,-6.6138100E+001
-9.9661017E-002, 1.9591493E+011,-9.9661017E-002, 1.2468212E-001,-9.9661017E-002, 1.2468449E-001,-9.9661017E-002, 1.2468585E-001,-9.9661017E-002,-1.2166955E+000,-9.9661017E-002,-1.7446231E+000,-9.9661017E-002,-8.1011324E+001,-9.9661017E-002, 3.3842166E+011,-9.9661017E-002, 8.3309766E-002,-9.9661017E-002, 8.3325199E-002,-9.9661017E-002, 8.3329751E-002,-9.9661017E-002,-1.5979520E+000,-9.9661017E-002,-1.3127349E+000,-9.9661017E-002,-9.0945130E+001
