s,kg/s,kW
Time,"mdot","hdot"
 0.0000000E+000,-2.0086069E-010,-3.1245909E-015
 1.0226380E+000,-2.3775808E-005, 2.9679135E-005
 2.0183645E+000, 4.5315896E-004, 5.2705635E-004
 3.0140910E+000, 2.1595225E-003, 4.2302976E-003
 4.0098175E+000, 5.0637852E-003, 1.8293527E-002
 5.0055440E+000, 8.8828457E-003, 3.8490423E-002
 6.0012704E+000, 1.3207401E-002, 6.1051686E-002
 7.0239084E+000, 1.7529629E-002, 9.0346641E-002
 8.0196349E+000, 2.1630691E-002, 1.2419818E-001
 9.0153614E+000, 2.5266142E-002, 1.5351066E-001
 1.0011088E+001, 2.8210406E-002, 1.6287090E-001
 1.1006814E+001, 3.0780951E-002, 1.5649300E-001
 1.2002541E+001, 3.3364361E-002, 1.5656179E-001
 1.3025179E+001, 3.6118526E-002, 1.5857385E-001
 1.4020905E+001, 3.8854919E-002, 1.5754595E-001
 1.5016632E+001, 4.1471461E-002, 1.5680410E-001
 1.6012358E+001, 4.3953049E-002, 1.5613791E-001
 1.7008085E+001, 4.6281564E-002, 1.5654743E-001
 1.8003811E+001, 4.8765792E-002, 1.5807723E-001
 1.9026449E+001, 5.1423974E-002, 1.5823735E-001
 2.0022176E+001, 5.3871277E-002, 1.5764193E-001
 2.1017902E+001, 5.6219174E-002, 1.6092998E-001
 2.2013629E+001, 5.8093552E-002, 1.6333064E-001
 2.3009355E+001, 5.8878865E-002, 1.5841440E-001
 2.4005082E+001, 5.9332278E-002, 1.5573411E-001
 2.5000808E+001, 5.9362755E-002, 1.5623376E-001
 2.6023446E+001, 5.9363581E-002, 1.5197174E-001
 2.7019173E+001, 6.0399841E-002, 1.4739456E-001
 2.8014899E+001, 6.1138475E-002, 1.5430767E-001
 2.9010626E+001, 6.1876605E-002, 1.6150024E-001
 3.0006352E+001, 6.3320693E-002, 1.8330826E-001
 3.1002079E+001, 6.4054047E-002, 1.7650018E-001
 3.2024717E+001, 6.3592823E-002, 1.8453327E-001
 3.3020443E+001, 6.1883494E-002, 1.7472779E-001
 3.4016170E+001, 6.0864873E-002, 1.9402315E-001
 3.5011896E+001, 6.0161804E-002, 1.8511461E-001
 3.6007623E+001, 5.9516687E-002, 1.8043851E-001
 3.7003349E+001, 5.9610554E-002, 1.7424733E-001
 3.8025987E+001, 5.9879186E-002, 1.8585874E-001
 3.9021714E+001, 6.0860037E-002, 2.0020158E-001
 4.0017440E+001, 6.2743330E-002, 1.9758504E-001
 4.1013167E+001, 6.5024736E-002, 1.9093088E-001
 4.2008893E+001, 6.7660848E-002, 1.8353164E-001
 4.3004620E+001, 7.1101612E-002, 1.7746405E-001
 4.4000346E+001, 7.4464787E-002, 1.9225937E-001
 4.5022984E+001, 7.7793247E-002, 1.8482956E-001
 4.6018711E+001, 8.2207142E-002, 1.7762840E-001
 4.7014437E+001, 8.6956230E-002, 1.8103744E-001
 4.8010163E+001, 9.0148995E-002, 1.8536516E-001
 4.9005890E+001, 9.0538297E-002, 1.9205811E-001
 5.0001616E+001, 9.0541953E-002, 1.9089449E-001
 5.1024254E+001, 9.0947194E-002, 1.8349042E-001
 5.2019981E+001, 9.2251558E-002, 1.8406066E-001
 5.3015707E+001, 9.0698736E-002, 1.8193163E-001
 5.4011434E+001, 9.0174201E-002, 1.8972001E-001
 5.5007160E+001, 8.9460604E-002, 1.9010196E-001
 5.6002887E+001, 8.7215453E-002, 1.8895608E-001
 5.7025525E+001, 8.5067671E-002, 1.8393309E-001
 5.8021251E+001, 8.6222296E-002, 1.8657086E-001
 5.9016978E+001, 8.7689956E-002, 1.8547650E-001
 6.0012704E+001, 8.9647553E-002, 1.8773835E-001
 6.1008431E+001, 9.0921811E-002, 1.9009201E-001
 6.2004157E+001, 9.2201222E-002, 1.8859348E-001
 6.3026795E+001, 9.4404820E-002, 1.8430413E-001
 6.4022522E+001, 9.4692821E-002, 1.7926716E-001
 6.5018248E+001, 9.5184737E-002, 1.8836264E-001
 6.6013975E+001, 9.7282991E-002, 1.9026612E-001
 6.7009701E+001, 9.8182503E-002, 1.8598866E-001
 6.8005428E+001, 9.7093693E-002, 1.8822098E-001
 6.9001154E+001, 9.7619557E-002, 2.0088982E-001
 7.0023792E+001, 9.8361240E-002, 1.9788753E-001
 7.1019519E+001, 9.7741857E-002, 1.9121707E-001
 7.2015245E+001, 9.6993252E-002, 1.9241154E-001
 7.3010972E+001, 9.6187952E-002, 1.8832496E-001
 7.4006698E+001, 9.4171483E-002, 1.8224155E-001
 7.5002425E+001, 9.4736218E-002, 1.9215170E-001
 7.6025063E+001, 9.3272627E-002, 1.8135765E-001
 7.7020789E+001, 9.4049513E-002, 1.8921364E-001
 7.8016516E+001, 9.6211162E-002, 1.8582732E-001
 7.9012242E+001, 9.6819033E-002, 1.9893176E-001
 8.0007969E+001, 9.6269817E-002, 2.0316330E-001
 8.1003695E+001, 9.5347601E-002, 1.9353840E-001
 8.2026333E+001, 9.3293792E-002, 1.9064901E-001
 8.3022060E+001, 9.3520179E-002, 1.9249082E-001
 8.4017786E+001, 9.4971483E-002, 1.8269537E-001
 8.5013513E+001, 9.6416952E-002, 1.8716291E-001
 8.6009239E+001, 9.8774825E-002, 2.0705043E-001
 8.7004966E+001, 1.0190638E-001, 2.0857100E-001
 8.8000692E+001, 1.0368512E-001, 2.0747124E-001
 8.9023330E+001, 1.0502791E-001, 2.1474383E-001
 9.0019057E+001, 1.0386683E-001, 2.0940684E-001
 9.1014783E+001, 1.0275083E-001, 2.1103979E-001
 9.2010510E+001, 1.0198509E-001, 2.0440864E-001
 9.3006236E+001, 1.0327116E-001, 2.1338632E-001
 9.4001962E+001, 1.0523355E-001, 2.1450344E-001
 9.5024600E+001, 1.0492524E-001, 2.0311943E-001
 9.6020327E+001, 1.0286640E-001, 1.9160081E-001
 9.7016053E+001, 1.0228840E-001, 1.9367968E-001
 9.8011780E+001, 1.0483527E-001, 1.9656935E-001
 9.9007506E+001, 1.0576928E-001, 1.9927897E-001
 1.0000323E+002, 1.0226292E-001, 1.9746210E-001
 1.0102587E+002, 1.0196837E-001, 2.1568695E-001
 1.0202160E+002, 1.0227803E-001, 1.8295225E-001
 1.0301732E+002, 9.9527107E-002, 1.9899020E-001
 1.0401305E+002, 9.5791638E-002, 1.9879170E-001
 1.0500878E+002, 8.9065720E-002, 1.7493729E-001
 1.0600450E+002, 8.7815396E-002, 1.8099088E-001
 1.0700023E+002, 8.9423826E-002, 1.7615862E-001
 1.0802287E+002, 9.2538531E-002, 1.8004114E-001
 1.0901859E+002, 1.0064698E-001, 1.8776748E-001
 1.1001432E+002, 1.0634584E-001, 1.9622729E-001
 1.1101005E+002, 1.1105749E-001, 2.0174487E-001
 1.1200577E+002, 1.1074359E-001, 2.2537565E-001
