s,kg/s,kW
Time,mdot,hdot
 0.0000000E+000,-1.6189861E-010,-4.7904861E-016
 1.0226380E+000,-1.8447169E-005, 1.1284444E-004
 2.0183645E+000, 1.1261385E-003, 3.9984122E-003
 3.0140910E+000, 7.2120765E-003, 3.2321177E-002
 4.0098175E+000, 1.7332342E-002, 8.8124473E-002
 5.0055440E+000, 2.7288860E-002, 1.6174249E-001
 6.0012704E+000, 3.6569560E-002, 2.4094157E-001
 7.0239084E+000, 4.5146966E-002, 3.0747411E-001
 8.0196349E+000, 5.2758117E-002, 3.5071638E-001
 9.0153614E+000, 5.9144671E-002, 3.5675858E-001
 1.0011088E+001, 6.4236235E-002, 3.7046996E-001
 1.1006814E+001, 6.8691325E-002, 3.6597411E-001
 1.2023992E+001, 7.3163456E-002, 3.7945196E-001
 1.3016882E+001, 7.7105411E-002, 3.7144722E-001
 1.4009772E+001, 8.1368963E-002, 3.8157184E-001
 1.5000629E+001, 8.4622353E-002, 3.7321483E-001
 1.6017782E+001, 8.7458577E-002, 3.4682405E-001
 1.7002384E+001, 9.0405618E-002, 3.6358829E-001
 1.8014299E+001, 9.2858180E-002, 4.0487775E-001
 1.9006754E+001, 9.4867626E-002, 4.2572964E-001
 2.0018669E+001, 9.5571691E-002, 4.4436122E-001
 2.1011124E+001, 9.4882166E-002, 4.0899134E-001
 2.2003579E+001, 9.5183261E-002, 4.1566833E-001
 2.3015493E+001, 9.4729410E-002, 4.0362569E-001
 2.4007948E+001, 9.5064993E-002, 4.0444633E-001
 2.5000403E+001, 9.5561453E-002, 4.0092908E-001
 2.6012318E+001, 9.5916000E-002, 4.0484694E-001
 2.7004773E+001, 9.6732404E-002, 4.2266800E-001
 2.8016688E+001, 9.6395510E-002, 4.1710139E-001
 2.9009143E+001, 9.5052453E-002, 4.1674433E-001
 3.0001598E+001, 9.4865762E-002, 4.0673040E-001
 3.1013512E+001, 9.5117786E-002, 4.0373109E-001
 3.2005967E+001, 9.4354890E-002, 4.1025036E-001
 3.3017882E+001, 9.4822248E-002, 4.0887581E-001
 3.4010337E+001, 9.5264119E-002, 4.0545587E-001
 3.5002792E+001, 9.4866821E-002, 4.1314599E-001
 3.6014707E+001, 9.4793302E-002, 4.2120153E-001
 3.7007162E+001, 9.4581154E-002, 4.1744232E-001
 3.8019076E+001, 9.5255085E-002, 4.1553109E-001
 3.9011531E+001, 9.5719505E-002, 4.0759506E-001
 4.0005608E+001, 9.5527315E-002, 4.3046170E-001
 4.1001848E+001, 9.5917363E-002, 4.0907328E-001
 4.2015566E+001, 9.6264933E-002, 4.1072097E-001
 4.3004815E+001, 9.5027127E-002, 3.9897884E-001
 4.4004551E+001, 9.4326847E-002, 4.0099483E-001
 4.5012005E+001, 9.4364981E-002, 4.1551667E-001
 4.6003426E+001, 9.3947000E-002, 4.0975695E-001
 4.7014419E+001, 9.4367749E-002, 4.0490817E-001
 4.8006691E+001, 9.5131473E-002, 3.9710446E-001
 4.9017684E+001, 9.5196218E-002, 4.2167948E-001
 5.0009955E+001, 9.5034209E-002, 4.1766264E-001
 5.1002227E+001, 9.4936546E-002, 4.1131477E-001
