s,kg/s,kW
Time,mdot,hdot
 0.0000000E+000,-2.0086069E-010,-3.2576980E-015
 1.0226380E+000,-5.5502026E-005, 1.0224990E-004
 2.0183645E+000, 1.0701067E-003, 3.2754800E-003
 3.0140910E+000, 5.0479110E-003, 3.2577966E-002
 4.0098175E+000, 1.1291357E-002, 9.6125006E-002
 5.0055440E+000, 1.8339627E-002, 1.7225106E-001
 6.0012704E+000, 2.4885515E-002, 2.7366558E-001
 7.0239084E+000, 3.0602398E-002, 3.7406832E-001
 8.0196349E+000, 3.4729446E-002, 3.9140801E-001
 9.0153614E+000, 3.8261785E-002, 3.8762140E-001
 1.0011088E+001, 4.1937447E-002, 3.9164934E-001
 1.1006814E+001, 4.5550291E-002, 3.8963598E-001
 1.2002541E+001, 4.9006392E-002, 3.8588267E-001
 1.3025179E+001, 5.2287824E-002, 3.8955940E-001
 1.4020905E+001, 5.5882676E-002, 3.9071807E-001
 1.5016632E+001, 6.0159912E-002, 3.8850102E-001
 1.6012358E+001, 6.3975769E-002, 3.9361866E-001
 1.7008085E+001, 6.7323544E-002, 4.0396407E-001
 1.8003811E+001, 6.9990667E-002, 3.8817846E-001
 1.9026449E+001, 7.1729180E-002, 3.7648847E-001
 2.0022176E+001, 7.3031306E-002, 3.8839651E-001
 2.1017902E+001, 7.4212915E-002, 3.5833750E-001
 2.2013629E+001, 7.7077016E-002, 4.1421068E-001
 2.3009355E+001, 8.0319032E-002, 4.1394748E-001
 2.4005082E+001, 8.3538619E-002, 4.1478732E-001
 2.5000808E+001, 8.4638616E-002, 4.3137418E-001
 2.6023446E+001, 8.4505789E-002, 4.3692326E-001
 2.7019173E+001, 8.3556037E-002, 4.5434927E-001
 2.8017401E+001, 8.2367538E-002, 4.7298005E-001
 2.9006802E+001, 8.0962298E-002, 4.5648490E-001
 3.0002529E+001, 8.2345083E-002, 4.4458138E-001
 3.1025167E+001, 8.5114861E-002, 4.3015627E-001
 3.2020893E+001, 8.7370858E-002, 4.5222560E-001
 3.3016620E+001, 9.3291752E-002, 4.3309597E-001
 3.4012346E+001, 9.9709460E-002, 4.3662575E-001
 3.5008073E+001, 1.0273328E-001, 4.0607759E-001
 3.6003799E+001, 1.0598443E-001, 4.4236500E-001
 3.7026437E+001, 1.0797717E-001, 4.5862334E-001
 3.8022164E+001, 1.0920185E-001, 4.6506358E-001
 3.9017890E+001, 1.1112772E-001, 4.4593698E-001
 4.0013617E+001, 1.1495457E-001, 4.1796048E-001
 4.1009343E+001, 1.1812334E-001, 4.5541686E-001
 4.2005070E+001, 1.1801935E-001, 4.6416506E-001
 4.3000796E+001, 1.1584144E-001, 4.4724451E-001
 4.4023434E+001, 1.1069402E-001, 4.4451072E-001
 4.5019161E+001, 1.0543975E-001, 4.3578814E-001
 4.6014887E+001, 1.0164872E-001, 4.3954794E-001
 4.7010614E+001, 1.0416033E-001, 4.2202540E-001
 4.8006340E+001, 1.0816264E-001, 4.2772529E-001
 4.9002067E+001, 1.1138717E-001, 4.4032599E-001
 5.0024705E+001, 1.1342510E-001, 4.5563747E-001
 5.1020431E+001, 1.1546920E-001, 4.2950648E-001
 5.2016158E+001, 1.1752001E-001, 4.4918088E-001
 5.3011884E+001, 1.2229316E-001, 4.7326047E-001
 5.4007611E+001, 1.2582544E-001, 4.7023274E-001
 5.5003337E+001, 1.2569228E-001, 4.4541174E-001
 5.6025975E+001, 1.2627797E-001, 4.6810029E-001
 5.7021702E+001, 1.2307838E-001, 4.6030860E-001
 5.8017428E+001, 1.1916889E-001, 4.6435213E-001
 5.9013155E+001, 1.2427957E-001, 4.6857271E-001
 6.0008881E+001, 1.3028233E-001, 4.6734518E-001
 6.1004608E+001, 1.2635061E-001, 4.8236090E-001
 6.2000334E+001, 1.1953865E-001, 4.3952375E-001
 6.3022972E+001, 1.1249743E-001, 4.3248495E-001
 6.4018699E+001, 1.1166060E-001, 4.3540853E-001
 6.5014425E+001, 1.1630343E-001, 4.5844627E-001
 6.6010152E+001, 1.2024314E-001, 4.8043089E-001
 6.7005878E+001, 1.2654946E-001, 4.6470228E-001
