m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
x distance,f000,f050,f100,f150,y distance,s000,s050,s100,s150
 4.500E-01, 8.805E+00, 1.398E+01, 1.155E+01, 5.578E+00, 4.500E-01, 8.763E+00, 1.399E+01, 1.161E+01, 5.547E+00
 5.000E-01, 7.691E+00, 1.210E+01, 1.006E+01, 5.012E+00, 5.000E-01, 7.658E+00, 1.212E+01, 1.012E+01, 4.999E+00
 5.500E-01, 6.751E+00, 1.052E+01, 8.803E+00, 4.518E+00, 5.500E-01, 6.725E+00, 1.054E+01, 8.859E+00, 4.516E+00
 6.000E-01, 5.948E+00, 9.182E+00, 7.725E+00, 4.080E+00, 6.000E-01, 5.927E+00, 9.199E+00, 7.777E+00, 4.084E+00
 6.500E-01, 5.254E+00, 8.036E+00, 6.795E+00, 3.686E+00, 6.500E-01, 5.238E+00, 8.052E+00, 6.845E+00, 3.695E+00
 7.000E-01, 4.650E+00, 7.050E+00, 5.990E+00, 3.329E+00, 7.000E-01, 4.637E+00, 7.066E+00, 6.037E+00, 3.342E+00
 7.500E-01, 4.122E+00, 6.197E+00, 5.291E+00, 3.006E+00, 7.500E-01, 4.112E+00, 6.212E+00, 5.334E+00, 3.021E+00
 8.000E-01, 3.658E+00, 5.457E+00, 4.682E+00, 2.711E+00, 8.000E-01, 3.649E+00, 5.471E+00, 4.723E+00, 2.729E+00
 8.500E-01, 3.249E+00, 4.812E+00, 4.149E+00, 2.444E+00, 8.500E-01, 3.242E+00, 4.826E+00, 4.188E+00, 2.463E+00
 9.000E-01, 2.888E+00, 4.250E+00, 3.684E+00, 2.201E+00, 9.000E-01, 2.882E+00, 4.263E+00, 3.720E+00, 2.221E+00
 9.500E-01, 2.568E+00, 3.758E+00, 3.275E+00, 1.981E+00, 9.500E-01, 2.563E+00, 3.770E+00, 3.309E+00, 2.001E+00
 1.000E+00, 2.285E+00, 3.328E+00, 2.915E+00, 1.782E+00, 1.000E+00, 2.281E+00, 3.339E+00, 2.947E+00, 1.803E+00
 1.050E+00, 2.034E+00, 2.951E+00, 2.597E+00, 1.603E+00, 1.050E+00, 2.030E+00, 2.962E+00, 2.627E+00, 1.624E+00
 1.100E+00, 1.811E+00, 2.620E+00, 2.316E+00, 1.441E+00, 1.100E+00, 1.808E+00, 2.630E+00, 2.344E+00, 1.463E+00
 1.150E+00, 1.612E+00, 2.329E+00, 2.066E+00, 1.296E+00, 1.150E+00, 1.610E+00, 2.339E+00, 2.092E+00, 1.318E+00
 1.200E+00, 1.436E+00, 2.073E+00, 1.843E+00, 1.166E+00, 1.200E+00, 1.435E+00, 2.082E+00, 1.868E+00, 1.188E+00
 1.250E+00, 1.279E+00, 1.848E+00, 1.644E+00, 1.050E+00, 1.250E+00, 1.279E+00, 1.856E+00, 1.668E+00, 1.071E+00
 1.300E+00, 1.140E+00, 1.648E+00, 1.467E+00, 9.457E-01, 1.300E+00, 1.140E+00, 1.656E+00, 1.489E+00, 9.664E-01
 1.350E+00, 1.015E+00, 1.472E+00, 1.309E+00, 8.523E-01, 1.350E+00, 1.016E+00, 1.479E+00, 1.329E+00, 8.726E-01
 1.400E+00, 9.050E-01, 1.316E+00, 1.167E+00, 7.686E-01, 1.400E+00, 9.059E-01, 1.323E+00, 1.186E+00, 7.884E-01
 1.450E+00, 8.067E-01, 1.177E+00, 1.040E+00, 6.935E-01, 1.450E+00, 8.079E-01, 1.183E+00, 1.058E+00, 7.127E-01
 1.500E+00, 7.193E-01, 1.053E+00, 9.272E-01, 6.261E-01, 1.500E+00, 7.207E-01, 1.059E+00, 9.437E-01, 6.446E-01
 1.550E+00, 6.415E-01, 9.425E-01, 8.264E-01, 5.655E-01, 1.550E+00, 6.430E-01, 9.485E-01, 8.417E-01, 5.833E-01
 1.600E+00, 5.723E-01, 8.439E-01, 7.365E-01, 5.109E-01, 1.600E+00, 5.739E-01, 8.498E-01, 7.508E-01, 5.280E-01
 1.650E+00, 5.107E-01, 7.558E-01, 6.564E-01, 4.618E-01, 1.650E+00, 5.123E-01, 7.615E-01, 6.697E-01, 4.781E-01
