m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
x distance,f000,f050,f100,f150,y distance,s000,s050,s100,s150
 4.500E-01, 8.181E+00, 1.138E+01, 7.585E+00, 2.896E+00, 4.500E-01, 8.142E+00, 1.136E+01, 7.674E+00, 2.952E+00
 5.000E-01, 7.047E+00, 9.814E+00, 6.663E+00, 2.664E+00, 5.000E-01, 7.009E+00, 9.786E+00, 6.720E+00, 2.703E+00
 5.500E-01, 6.105E+00, 8.499E+00, 5.869E+00, 2.452E+00, 5.500E-01, 6.069E+00, 8.467E+00, 5.902E+00, 2.477E+00
 6.000E-01, 5.313E+00, 7.387E+00, 5.178E+00, 2.255E+00, 6.000E-01, 5.277E+00, 7.353E+00, 5.194E+00, 2.269E+00
 6.500E-01, 4.640E+00, 6.439E+00, 4.575E+00, 2.070E+00, 6.500E-01, 4.605E+00, 6.403E+00, 4.578E+00, 2.074E+00
 7.000E-01, 4.064E+00, 5.627E+00, 4.047E+00, 1.895E+00, 7.000E-01, 4.029E+00, 5.589E+00, 4.040E+00, 1.893E+00
 7.500E-01, 3.567E+00, 4.927E+00, 3.585E+00, 1.731E+00, 7.500E-01, 3.534E+00, 4.889E+00, 3.570E+00, 1.723E+00
 8.000E-01, 3.137E+00, 4.321E+00, 3.179E+00, 1.577E+00, 8.000E-01, 3.104E+00, 4.283E+00, 3.160E+00, 1.564E+00
 8.500E-01, 2.762E+00, 3.796E+00, 2.824E+00, 1.434E+00, 8.500E-01, 2.731E+00, 3.758E+00, 2.801E+00, 1.417E+00
 9.000E-01, 2.435E+00, 3.339E+00, 2.512E+00, 1.300E+00, 9.000E-01, 2.405E+00, 3.302E+00, 2.486E+00, 1.281E+00
 9.500E-01, 2.149E+00, 2.942E+00, 2.238E+00, 1.178E+00, 9.500E-01, 2.121E+00, 2.906E+00, 2.210E+00, 1.156E+00
 1.000E+00, 1.898E+00, 2.596E+00, 1.995E+00, 1.065E+00, 1.000E+00, 1.871E+00, 2.561E+00, 1.966E+00, 1.042E+00
 1.050E+00, 1.678E+00, 2.295E+00, 1.781E+00, 9.620E-01, 1.050E+00, 1.652E+00, 2.260E+00, 1.751E+00, 9.383E-01
 1.100E+00, 1.484E+00, 2.031E+00, 1.591E+00, 8.686E-01, 1.100E+00, 1.459E+00, 1.998E+00, 1.561E+00, 8.445E-01
 1.150E+00, 1.313E+00, 1.801E+00, 1.422E+00, 7.841E-01, 1.150E+00, 1.290E+00, 1.769E+00, 1.392E+00, 7.599E-01
 1.200E+00, 1.162E+00, 1.599E+00, 1.270E+00, 7.079E-01, 1.200E+00, 1.140E+00, 1.569E+00, 1.241E+00, 6.839E-01
 1.250E+00, 1.029E+00, 1.422E+00, 1.135E+00, 6.393E-01, 1.250E+00, 1.008E+00, 1.393E+00, 1.106E+00, 6.158E-01
 1.300E+00, 9.114E-01, 1.266E+00, 1.014E+00, 5.777E-01, 1.300E+00, 8.921E-01, 1.239E+00, 9.860E-01, 5.547E-01
 1.350E+00, 8.076E-01, 1.129E+00, 9.053E-01, 5.223E-01, 1.350E+00, 7.895E-01, 1.103E+00, 8.783E-01, 5.001E-01
 1.400E+00, 7.159E-01, 1.007E+00, 8.080E-01, 4.724E-01, 1.400E+00, 6.990E-01, 9.827E-01, 7.821E-01, 4.512E-01
 1.450E+00, 6.349E-01, 8.996E-01, 7.208E-01, 4.276E-01, 1.450E+00, 6.191E-01, 8.764E-01, 6.960E-01, 4.073E-01
 1.500E+00, 5.634E-01, 8.040E-01, 6.427E-01, 3.873E-01, 1.500E+00, 5.486E-01, 7.822E-01, 6.192E-01, 3.680E-01
 1.550E+00, 5.001E-01, 7.189E-01, 5.730E-01, 3.509E-01, 1.550E+00, 4.864E-01, 6.985E-01, 5.507E-01, 3.326E-01
 1.600E+00, 4.442E-01, 6.430E-01, 5.108E-01, 3.180E-01, 1.600E+00, 4.315E-01, 6.239E-01, 4.897E-01, 3.008E-01
 1.650E+00, 3.948E-01, 5.752E-01, 4.553E-01, 2.883E-01, 1.650E+00, 3.830E-01, 5.574E-01, 4.355E-01, 2.720E-01
 1.700E+00, 3.511E-01, 5.146E-01, 4.059E-01, 2.614E-01, 1.700E+00, 3.402E-01, 4.980E-01, 3.873E-01, 2.461E-01
 1.750E+00, 3.125E-01, 4.604E-01, 3.620E-01, 2.370E-01, 1.750E+00, 3.024E-01, 4.449E-01, 3.447E-01, 2.228E-01
 1.800E+00, 2.784E-01, 4.118E-01, 3.231E-01, 2.149E-01, 1.800E+00, 2.691E-01, 3.974E-01, 3.068E-01, 2.016E-01
 1.850E+00, 2.481E-01, 3.683E-01, 2.885E-01, 1.949E-01, 1.850E+00, 2.396E-01, 3.549E-01, 2.734E-01, 1.825E-01
 1.900E+00, 2.214E-01, 3.292E-01, 2.577E-01, 1.768E-01, 1.900E+00, 2.135E-01, 3.169E-01, 2.438E-01, 1.652E-01
 1.950E+00, 1.977E-01, 2.943E-01, 2.305E-01, 1.604E-01, 1.950E+00, 1.905E-01, 2.828E-01, 2.176E-01, 1.496E-01
 2.000E+00, 1.767E-01, 2.629E-01, 2.064E-01, 1.455E-01, 2.000E+00, 1.701E-01, 2.523E-01, 1.944E-01, 1.356E-01
 2.050E+00, 1.582E-01, 2.349E-01, 1.849E-01, 1.321E-01, 2.050E+00, 1.521E-01, 2.251E-01, 1.739E-01, 1.228E-01
 2.100E+00, 1.417E-01, 2.098E-01, 1.659E-01, 1.200E-01, 2.100E+00, 1.361E-01, 2.007E-01, 1.557E-01, 1.114E-01
