m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
x distance,f000,f050,f100,f150,y distance,s000,s050,s100,s150
 4.500E-01, 7.201E+00, 8.053E+00, 3.788E+00, 1.124E+00, 4.500E-01, 7.223E+00, 7.978E+00, 3.747E+00, 1.122E+00
 5.000E-01, 6.109E+00, 6.923E+00, 3.385E+00, 1.064E+00, 5.000E-01, 6.089E+00, 6.832E+00, 3.331E+00, 1.055E+00
 5.500E-01, 5.217E+00, 5.977E+00, 3.023E+00, 1.006E+00, 5.500E-01, 5.168E+00, 5.875E+00, 2.962E+00, 9.906E-01
 6.000E-01, 4.480E+00, 5.178E+00, 2.697E+00, 9.490E-01, 6.000E-01, 4.409E+00, 5.069E+00, 2.631E+00, 9.275E-01
 6.500E-01, 3.863E+00, 4.498E+00, 2.403E+00, 8.907E-01, 6.500E-01, 3.777E+00, 4.385E+00, 2.334E+00, 8.643E-01
 7.000E-01, 3.344E+00, 3.916E+00, 2.140E+00, 8.312E-01, 7.000E-01, 3.248E+00, 3.801E+00, 2.070E+00, 8.013E-01
 7.500E-01, 2.903E+00, 3.415E+00, 1.905E+00, 7.711E-01, 7.500E-01, 2.801E+00, 3.300E+00, 1.836E+00, 7.388E-01
 8.000E-01, 2.526E+00, 2.983E+00, 1.697E+00, 7.112E-01, 8.000E-01, 2.421E+00, 2.870E+00, 1.628E+00, 6.776E-01
 8.500E-01, 2.203E+00, 2.609E+00, 1.513E+00, 6.523E-01, 8.500E-01, 2.097E+00, 2.499E+00, 1.446E+00, 6.184E-01
 9.000E-01, 1.924E+00, 2.286E+00, 1.351E+00, 5.953E-01, 9.000E-01, 1.820E+00, 2.178E+00, 1.285E+00, 5.620E-01
 9.500E-01, 1.682E+00, 2.005E+00, 1.208E+00, 5.411E-01, 9.500E-01, 1.581E+00, 1.902E+00, 1.144E+00, 5.089E-01
 1.000E+00, 1.473E+00, 1.763E+00, 1.082E+00, 4.902E-01, 1.000E+00, 1.375E+00, 1.663E+00, 1.020E+00, 4.595E-01
 1.050E+00, 1.291E+00, 1.552E+00, 9.695E-01, 4.431E-01, 1.050E+00, 1.197E+00, 1.457E+00, 9.099E-01, 4.140E-01
 1.100E+00, 1.132E+00, 1.370E+00, 8.695E-01, 3.999E-01, 1.100E+00, 1.043E+00, 1.279E+00, 8.125E-01, 3.724E-01
 1.150E+00, 9.933E-01, 1.211E+00, 7.799E-01, 3.607E-01, 1.150E+00, 9.096E-01, 1.125E+00, 7.258E-01, 3.349E-01
 1.200E+00, 8.722E-01, 1.074E+00, 6.993E-01, 3.254E-01, 1.200E+00, 7.939E-01, 9.913E-01, 6.484E-01, 3.010E-01
 1.250E+00, 7.663E-01, 9.535E-01, 6.266E-01, 2.938E-01, 1.250E+00, 6.935E-01, 8.755E-01, 5.791E-01, 2.708E-01
 1.300E+00, 6.737E-01, 8.484E-01, 5.610E-01, 2.655E-01, 1.300E+00, 6.063E-01, 7.747E-01, 5.168E-01, 2.437E-01
 1.350E+00, 5.926E-01, 7.562E-01, 5.016E-01, 2.403E-01, 1.350E+00, 5.305E-01, 6.868E-01, 4.609E-01, 2.196E-01
 1.400E+00, 5.216E-01, 6.749E-01, 4.480E-01, 2.178E-01, 1.400E+00, 4.645E-01, 6.098E-01, 4.106E-01, 1.981E-01
 1.450E+00, 4.594E-01, 6.032E-01, 3.996E-01, 1.977E-01, 1.450E+00, 4.072E-01, 5.422E-01, 3.655E-01, 1.789E-01
 1.500E+00, 4.049E-01, 5.395E-01, 3.561E-01, 1.796E-01, 1.500E+00, 3.573E-01, 4.826E-01, 3.251E-01, 1.617E-01
 1.550E+00, 3.571E-01, 4.829E-01, 3.170E-01, 1.633E-01, 1.550E+00, 3.138E-01, 4.300E-01, 2.890E-01, 1.463E-01
 1.600E+00, 3.152E-01, 4.325E-01, 2.820E-01, 1.486E-01, 1.600E+00, 2.760E-01, 3.834E-01, 2.567E-01, 1.325E-01
 1.650E+00, 2.785E-01, 3.873E-01, 2.508E-01, 1.353E-01, 1.650E+00, 2.430E-01, 3.420E-01, 2.280E-01, 1.201E-01
 1.700E+00, 2.462E-01, 3.469E-01, 2.230E-01, 1.231E-01, 1.700E+00, 2.142E-01, 3.052E-01, 2.025E-01, 1.088E-01
 1.750E+00, 2.178E-01, 3.106E-01, 1.984E-01, 1.121E-01, 1.750E+00, 1.890E-01, 2.723E-01, 1.799E-01, 9.870E-02
 1.800E+00, 1.929E-01, 2.780E-01, 1.766E-01, 1.020E-01, 1.800E+00, 1.671E-01, 2.430E-01, 1.599E-01, 8.952E-02
 1.850E+00, 1.710E-01, 2.488E-01, 1.573E-01, 9.280E-02, 1.850E+00, 1.478E-01, 2.168E-01, 1.423E-01, 8.121E-02
 1.900E+00, 1.517E-01, 2.224E-01, 1.402E-01, 8.440E-02, 1.900E+00, 1.310E-01, 1.934E-01, 1.267E-01, 7.369E-02
 1.950E+00, 1.348E-01, 1.988E-01, 1.252E-01, 7.674E-02, 1.950E+00, 1.163E-01, 1.724E-01, 1.130E-01, 6.690E-02
 2.000E+00, 1.198E-01, 1.775E-01, 1.120E-01, 6.976E-02, 2.000E+00, 1.033E-01, 1.537E-01, 1.008E-01, 6.075E-02
 2.050E+00, 1.066E-01, 1.585E-01, 1.003E-01, 6.342E-02, 2.050E+00, 9.197E-02, 1.369E-01, 9.016E-02, 5.521E-02
 2.100E+00, 9.502E-02, 1.413E-01, 8.998E-02, 5.767E-02, 2.100E+00, 8.197E-02, 1.220E-01, 8.073E-02, 5.021E-02
