m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
x distance,f000,f050,f100,f150,y distance,s000,s050,s100,s150
 4.500E-01, 8.354E+00, 6.504E+00, 2.369E+00, 6.321E-01, 4.500E-01, 1.256E+01, 7.555E+00, 2.038E+00, 4.844E-01
 5.000E-01, 7.166E+00, 5.847E+00, 2.289E+00, 6.540E-01, 5.000E-01, 1.000E+01, 6.485E+00, 1.876E+00, 4.697E-01
 5.500E-01, 6.197E+00, 5.273E+00, 2.195E+00, 6.835E-01, 5.500E-01, 8.065E+00, 5.580E+00, 1.725E+00, 4.563E-01
 6.000E-01, 5.399E+00, 4.768E+00, 2.088E+00, 7.131E-01, 6.000E-01, 6.573E+00, 4.808E+00, 1.580E+00, 4.428E-01
 6.500E-01, 4.735E+00, 4.320E+00, 1.974E+00, 7.368E-01, 6.500E-01, 5.403E+00, 4.150E+00, 1.442E+00, 4.282E-01
 7.000E-01, 4.178E+00, 3.920E+00, 1.857E+00, 7.507E-01, 7.000E-01, 4.472E+00, 3.586E+00, 1.308E+00, 4.115E-01
 7.500E-01, 3.705E+00, 3.561E+00, 1.741E+00, 7.526E-01, 7.500E-01, 3.723E+00, 3.102E+00, 1.182E+00, 3.924E-01
 8.000E-01, 3.300E+00, 3.237E+00, 1.632E+00, 7.421E-01, 8.000E-01, 3.115E+00, 2.686E+00, 1.064E+00, 3.710E-01
 8.500E-01, 2.951E+00, 2.946E+00, 1.530E+00, 7.202E-01, 8.500E-01, 2.617E+00, 2.328E+00, 9.548E-01, 3.478E-01
 9.000E-01, 2.647E+00, 2.684E+00, 1.437E+00, 6.888E-01, 9.000E-01, 2.207E+00, 2.019E+00, 8.555E-01, 3.233E-01
 9.500E-01, 2.381E+00, 2.450E+00, 1.353E+00, 6.503E-01, 9.500E-01, 1.867E+00, 1.752E+00, 7.661E-01, 2.982E-01
 1.000E+00, 2.146E+00, 2.240E+00, 1.275E+00, 6.076E-01, 1.000E+00, 1.583E+00, 1.522E+00, 6.860E-01, 2.733E-01
 1.050E+00, 1.938E+00, 2.054E+00, 1.202E+00, 5.632E-01, 1.050E+00, 1.346E+00, 1.324E+00, 6.145E-01, 2.490E-01
 1.100E+00, 1.751E+00, 1.889E+00, 1.133E+00, 5.194E-01, 1.100E+00, 1.148E+00, 1.154E+00, 5.507E-01, 2.259E-01
 1.150E+00, 1.584E+00, 1.742E+00, 1.067E+00, 4.779E-01, 1.150E+00, 9.800E-01, 1.008E+00, 4.938E-01, 2.043E-01
 1.200E+00, 1.433E+00, 1.613E+00, 1.001E+00, 4.400E-01, 1.200E+00, 8.385E-01, 8.818E-01, 4.428E-01, 1.844E-01
 1.250E+00, 1.297E+00, 1.497E+00, 9.359E-01, 4.062E-01, 1.250E+00, 7.187E-01, 7.738E-01, 3.969E-01, 1.664E-01
 1.300E+00, 1.174E+00, 1.394E+00, 8.711E-01, 3.768E-01, 1.300E+00, 6.171E-01, 6.809E-01, 3.555E-01, 1.503E-01
 1.350E+00, 1.062E+00, 1.302E+00, 8.068E-01, 3.515E-01, 1.350E+00, 5.306E-01, 6.008E-01, 3.180E-01, 1.359E-01
 1.400E+00, 9.603E-01, 1.218E+00, 7.434E-01, 3.299E-01, 1.400E+00, 4.570E-01, 5.315E-01, 2.841E-01, 1.232E-01
 1.450E+00, 8.678E-01, 1.142E+00, 6.813E-01, 3.114E-01, 1.450E+00, 3.941E-01, 4.715E-01, 2.533E-01, 1.120E-01
 1.500E+00, 7.836E-01, 1.071E+00, 6.211E-01, 2.953E-01, 1.500E+00, 3.404E-01, 4.192E-01, 2.255E-01, 1.020E-01
 1.550E+00, 7.070E-01, 1.006E+00, 5.634E-01, 2.809E-01, 1.550E+00, 2.944E-01, 3.735E-01, 2.005E-01, 9.322E-02
 1.600E+00, 6.373E-01, 9.452E-01, 5.088E-01, 2.678E-01, 1.600E+00, 2.550E-01, 3.333E-01, 1.779E-01, 8.535E-02
 1.650E+00, 5.741E-01, 8.876E-01, 4.576E-01, 2.553E-01, 1.650E+00, 2.212E-01, 2.979E-01, 1.577E-01, 7.829E-02
 1.700E+00, 5.166E-01, 8.330E-01, 4.101E-01, 2.432E-01, 1.700E+00, 1.922E-01, 2.665E-01, 1.397E-01, 7.191E-02
 1.750E+00, 4.644E-01, 7.809E-01, 3.666E-01, 2.311E-01, 1.750E+00, 1.672E-01, 2.386E-01, 1.236E-01, 6.611E-02
 1.800E+00, 4.172E-01, 7.312E-01, 3.271E-01, 2.190E-01, 1.800E+00, 1.457E-01, 2.137E-01, 1.095E-01, 6.081E-02
 1.850E+00, 3.744E-01, 6.836E-01, 2.915E-01, 2.066E-01, 1.850E+00, 1.272E-01, 1.915E-01, 9.695E-02, 5.594E-02
 1.900E+00, 3.358E-01, 6.379E-01, 2.597E-01, 1.941E-01, 1.900E+00, 1.113E-01, 1.716E-01, 8.596E-02, 5.147E-02
 1.950E+00, 3.008E-01, 5.942E-01, 2.315E-01, 1.815E-01, 1.950E+00, 9.750E-02, 1.537E-01, 7.632E-02, 4.735E-02
 2.000E+00, 2.694E-01, 5.523E-01, 2.066E-01, 1.689E-01, 2.000E+00, 8.560E-02, 1.376E-01, 6.788E-02, 4.354E-02
 2.050E+00, 2.410E-01, 5.123E-01, 1.848E-01, 1.563E-01, 2.050E+00, 7.530E-02, 1.232E-01, 6.051E-02, 4.004E-02
 2.100E+00, 2.155E-01, 4.742E-01, 1.658E-01, 1.439E-01, 2.100E+00, 6.638E-02, 1.103E-01, 5.407E-02, 3.682E-02
