m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
x distance,f000,f050,f100,f150,y distance,s000,s050,s100,s150
 4.500E-01, 1.051E+01, 7.939E+00, 2.987E+00, 8.992E-01, 4.500E-01, 2.789E+01, 1.263E+01, 2.980E+00, 6.935E-01
 5.000E-01, 9.118E+00, 7.227E+00, 2.910E+00, 9.379E-01, 5.000E-01, 2.101E+01, 1.075E+01, 2.722E+00, 6.675E-01
 5.500E-01, 7.957E+00, 6.585E+00, 2.816E+00, 9.924E-01, 5.500E-01, 1.626E+01, 9.212E+00, 2.498E+00, 6.414E-01
 6.000E-01, 6.985E+00, 6.006E+00, 2.711E+00, 1.053E+00, 6.000E-01, 1.283E+01, 7.927E+00, 2.299E+00, 6.163E-01
 6.500E-01, 6.167E+00, 5.485E+00, 2.599E+00, 1.110E+00, 6.500E-01, 1.029E+01, 6.838E+00, 2.118E+00, 5.925E-01
 7.000E-01, 5.475E+00, 5.016E+00, 2.486E+00, 1.156E+00, 7.000E-01, 8.346E+00, 5.908E+00, 1.947E+00, 5.692E-01
 7.500E-01, 4.887E+00, 4.595E+00, 2.379E+00, 1.188E+00, 7.500E-01, 6.837E+00, 5.112E+00, 1.784E+00, 5.457E-01
 8.000E-01, 4.384E+00, 4.219E+00, 2.280E+00, 1.201E+00, 8.000E-01, 5.645E+00, 4.430E+00, 1.628E+00, 5.212E-01
 8.500E-01, 3.953E+00, 3.884E+00, 2.192E+00, 1.198E+00, 8.500E-01, 4.691E+00, 3.843E+00, 1.479E+00, 4.952E-01
 9.000E-01, 3.581E+00, 3.587E+00, 2.114E+00, 1.178E+00, 9.000E-01, 3.920E+00, 3.338E+00, 1.338E+00, 4.677E-01
 9.500E-01, 3.259E+00, 3.326E+00, 2.045E+00, 1.144E+00, 9.500E-01, 3.290E+00, 2.903E+00, 1.207E+00, 4.389E-01
 1.000E+00, 2.980E+00, 3.098E+00, 1.983E+00, 1.101E+00, 1.000E+00, 2.773E+00, 2.526E+00, 1.085E+00, 4.092E-01
 1.050E+00, 2.735E+00, 2.899E+00, 1.926E+00, 1.053E+00, 1.050E+00, 2.345E+00, 2.201E+00, 9.743E-01, 3.792E-01
 1.100E+00, 2.520E+00, 2.727E+00, 1.870E+00, 1.002E+00, 1.100E+00, 1.989E+00, 1.919E+00, 8.739E-01, 3.495E-01
 1.150E+00, 2.329E+00, 2.578E+00, 1.813E+00, 9.538E-01, 1.150E+00, 1.692E+00, 1.675E+00, 7.836E-01, 3.205E-01
 1.200E+00, 2.159E+00, 2.450E+00, 1.753E+00, 9.092E-01, 1.200E+00, 1.443E+00, 1.464E+00, 7.026E-01, 2.928E-01
 1.250E+00, 2.007E+00, 2.338E+00, 1.688E+00, 8.702E-01, 1.250E+00, 1.233E+00, 1.282E+00, 6.300E-01, 2.667E-01
 1.300E+00, 1.869E+00, 2.241E+00, 1.619E+00, 8.377E-01, 1.300E+00, 1.055E+00, 1.125E+00, 5.649E-01, 2.424E-01
 1.350E+00, 1.743E+00, 2.155E+00, 1.544E+00, 8.115E-01, 1.350E+00, 9.052E-01, 9.893E-01, 5.066E-01, 2.201E-01
