m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
x distance,f000,f050,f100,f150,y distance,s000,s050,s100,s150
 4.500E-01, 1.450E+01, 1.793E+01, 9.867E+00, 3.893E+00, 4.500E-01, 3.227E+01, 3.206E+01, 1.291E+01, 3.861E+00
 5.000E-01, 1.296E+01, 1.613E+01, 9.212E+00, 3.818E+00, 5.000E-01, 2.524E+01, 2.655E+01, 1.131E+01, 3.560E+00
 5.500E-01, 1.164E+01, 1.455E+01, 8.599E+00, 3.763E+00, 5.500E-01, 2.026E+01, 2.228E+01, 9.990E+00, 3.297E+00
 6.000E-01, 1.051E+01, 1.316E+01, 8.028E+00, 3.714E+00, 6.000E-01, 1.657E+01, 1.887E+01, 8.871E+00, 3.064E+00
 6.500E-01, 9.522E+00, 1.193E+01, 7.502E+00, 3.660E+00, 6.500E-01, 1.374E+01, 1.610E+01, 7.904E+00, 2.851E+00
 7.000E-01, 8.667E+00, 1.085E+01, 7.021E+00, 3.597E+00, 7.000E-01, 1.152E+01, 1.380E+01, 7.058E+00, 2.652E+00
 7.500E-01, 7.919E+00, 9.902E+00, 6.585E+00, 3.519E+00, 7.500E-01, 9.734E+00, 1.188E+01, 6.308E+00, 2.464E+00
 8.000E-01, 7.264E+00, 9.060E+00, 6.192E+00, 3.427E+00, 8.000E-01, 8.281E+00, 1.026E+01, 5.639E+00, 2.284E+00
 8.500E-01, 6.687E+00, 8.316E+00, 5.839E+00, 3.323E+00, 8.500E-01, 7.083E+00, 8.894E+00, 5.041E+00, 2.113E+00
 9.000E-01, 6.177E+00, 7.659E+00, 5.521E+00, 3.208E+00, 9.000E-01, 6.084E+00, 7.727E+00, 4.503E+00, 1.949E+00
 9.500E-01, 5.724E+00, 7.079E+00, 5.235E+00, 3.086E+00, 9.500E-01, 5.246E+00, 6.726E+00, 4.022E+00, 1.793E+00
 1.000E+00, 5.321E+00, 6.568E+00, 4.975E+00, 2.962E+00, 1.000E+00, 4.537E+00, 5.865E+00, 3.591E+00, 1.647E+00
 1.050E+00, 4.960E+00, 6.116E+00, 4.736E+00, 2.837E+00, 1.050E+00, 3.934E+00, 5.122E+00, 3.207E+00, 1.508E+00
 1.100E+00, 4.636E+00, 5.716E+00, 4.514E+00, 2.716E+00, 1.100E+00, 3.419E+00, 4.479E+00, 2.864E+00, 1.379E+00
 1.150E+00, 4.343E+00, 5.362E+00, 4.304E+00, 2.601E+00, 1.150E+00, 2.978E+00, 3.922E+00, 2.559E+00, 1.259E+00
 1.200E+00, 4.077E+00, 5.047E+00, 4.103E+00, 2.492E+00, 1.200E+00, 2.598E+00, 3.439E+00, 2.288E+00, 1.147E+00
 1.250E+00, 3.834E+00, 4.765E+00, 3.908E+00, 2.391E+00, 1.250E+00, 2.271E+00, 3.019E+00, 2.048E+00, 1.044E+00
 1.300E+00, 3.611E+00, 4.511E+00, 3.718E+00, 2.298E+00, 1.300E+00, 1.988E+00, 2.654E+00, 1.834E+00, 9.494E-01
 1.350E+00, 3.406E+00, 4.282E+00, 3.531E+00, 2.211E+00, 1.350E+00, 1.743E+00, 2.337E+00, 1.644E+00, 8.623E-01
 1.400E+00, 3.216E+00, 4.072E+00, 3.349E+00, 2.130E+00, 1.400E+00, 1.530E+00, 2.060E+00, 1.474E+00, 7.826E-01
 1.450E+00, 3.039E+00, 3.878E+00, 3.170E+00, 2.054E+00, 1.450E+00, 1.345E+00, 1.819E+00, 1.323E+00, 7.099E-01
 1.500E+00, 2.874E+00, 3.698E+00, 2.994E+00, 1.981E+00, 1.500E+00, 1.184E+00, 1.609E+00, 1.188E+00, 6.438E-01
