m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
x distance,f000,f050,f100,f150,y distance,s000,s050,s100,s150
 4.500E-01, 1.135E+01, 1.413E+01, 8.106E+00, 2.968E+00, 4.500E-01, 1.547E+01, 1.753E+01, 8.336E+00, 2.721E+00
 5.000E-01, 1.001E+01, 1.255E+01, 7.423E+00, 2.854E+00, 5.000E-01, 1.277E+01, 1.487E+01, 7.367E+00, 2.519E+00
 5.500E-01, 8.875E+00, 1.119E+01, 6.809E+00, 2.756E+00, 5.500E-01, 1.066E+01, 1.269E+01, 6.533E+00, 2.337E+00
 6.000E-01, 7.917E+00, 1.002E+01, 6.250E+00, 2.662E+00, 6.000E-01, 8.980E+00, 1.089E+01, 5.805E+00, 2.168E+00
 6.500E-01, 7.097E+00, 9.004E+00, 5.739E+00, 2.565E+00, 6.500E-01, 7.617E+00, 9.370E+00, 5.162E+00, 2.008E+00
 7.000E-01, 6.389E+00, 8.115E+00, 5.274E+00, 2.460E+00, 7.000E-01, 6.497E+00, 8.092E+00, 4.592E+00, 1.855E+00
 7.500E-01, 5.774E+00, 7.333E+00, 4.850E+00, 2.348E+00, 7.500E-01, 5.567E+00, 7.007E+00, 4.084E+00, 1.710E+00
 8.000E-01, 5.234E+00, 6.640E+00, 4.466E+00, 2.227E+00, 8.000E-01, 4.788E+00, 6.082E+00, 3.632E+00, 1.570E+00
 8.500E-01, 4.758E+00, 6.025E+00, 4.119E+00, 2.101E+00, 8.500E-01, 4.131E+00, 5.288E+00, 3.231E+00, 1.438E+00
 9.000E-01, 4.334E+00, 5.478E+00, 3.805E+00, 1.971E+00, 9.000E-01, 3.573E+00, 4.605E+00, 2.874E+00, 1.313E+00
 9.500E-01, 3.955E+00, 4.989E+00, 3.521E+00, 1.841E+00, 9.500E-01, 3.098E+00, 4.016E+00, 2.558E+00, 1.197E+00
 1.000E+00, 3.614E+00, 4.554E+00, 3.262E+00, 1.713E+00, 1.000E+00, 2.691E+00, 3.508E+00, 2.278E+00, 1.088E+00
 1.050E+00, 3.306E+00, 4.165E+00, 3.025E+00, 1.589E+00, 1.050E+00, 2.342E+00, 3.068E+00, 2.030E+00, 9.872E-01
 1.100E+00, 3.026E+00, 3.818E+00, 2.806E+00, 1.471E+00, 1.100E+00, 2.041E+00, 2.687E+00, 1.811E+00, 8.945E-01
 1.150E+00, 2.771E+00, 3.507E+00, 2.601E+00, 1.361E+00, 1.150E+00, 1.781E+00, 2.358E+00, 1.616E+00, 8.095E-01
 1.200E+00, 2.538E+00, 3.227E+00, 2.410E+00, 1.260E+00, 1.200E+00, 1.556E+00, 2.072E+00, 1.443E+00, 7.321E-01
 1.250E+00, 2.325E+00, 2.976E+00, 2.229E+00, 1.167E+00, 1.250E+00, 1.361E+00, 1.824E+00, 1.290E+00, 6.617E-01
 1.300E+00, 2.130E+00, 2.750E+00, 2.058E+00, 1.082E+00, 1.300E+00, 1.192E+00, 1.609E+00, 1.153E+00, 5.979E-01
 1.350E+00, 1.951E+00, 2.544E+00, 1.897E+00, 1.005E+00, 1.350E+00, 1.046E+00, 1.421E+00, 1.030E+00, 5.403E-01
 1.400E+00, 1.786E+00, 2.357E+00, 1.743E+00, 9.353E-01, 1.400E+00, 9.181E-01, 1.257E+00, 9.207E-01, 4.883E-01
 1.450E+00, 1.635E+00, 2.186E+00, 1.599E+00, 8.714E-01, 1.450E+00, 8.071E-01, 1.114E+00, 8.228E-01, 4.415E-01
 1.500E+00, 1.496E+00, 2.029E+00, 1.463E+00, 8.127E-01, 1.500E+00, 7.103E-01, 9.891E-01, 7.351E-01, 3.994E-01
 1.550E+00, 1.368E+00, 1.884E+00, 1.335E+00, 7.584E-01, 1.550E+00, 6.260E-01, 8.791E-01, 6.567E-01, 3.615E-01
 1.600E+00, 1.250E+00, 1.749E+00, 1.217E+00, 7.078E-01, 1.600E+00, 5.523E-01, 7.821E-01, 5.865E-01, 3.274E-01
 1.650E+00, 1.142E+00, 1.623E+00, 1.107E+00, 6.602E-01, 1.650E+00, 4.880E-01, 6.965E-01, 5.237E-01, 2.966E-01
 1.700E+00, 1.043E+00, 1.506E+00, 1.005E+00, 6.153E-01, 1.700E+00, 4.317E-01, 6.208E-01, 4.677E-01, 2.690E-01
 1.750E+00, 9.521E-01, 1.396E+00, 9.123E-01, 5.726E-01, 1.750E+00, 3.825E-01, 5.536E-01, 4.177E-01, 2.441E-01
 1.800E+00, 8.685E-01, 1.294E+00, 8.275E-01, 5.319E-01, 1.800E+00, 3.393E-01, 4.940E-01, 3.731E-01, 2.216E-01
 1.850E+00, 7.918E-01, 1.197E+00, 7.504E-01, 4.930E-01, 1.850E+00, 3.014E-01, 4.409E-01, 3.335E-01, 2.013E-01
 1.900E+00, 7.214E-01, 1.106E+00, 6.806E-01, 4.559E-01, 1.900E+00, 2.682E-01, 3.936E-01, 2.982E-01, 1.830E-01
 1.950E+00, 6.569E-01, 1.021E+00, 6.176E-01, 4.205E-01, 1.950E+00, 2.389E-01, 3.514E-01, 2.668E-01, 1.665E-01
 2.000E+00, 5.978E-01, 9.412E-01, 5.609E-01, 3.869E-01, 2.000E+00, 2.132E-01, 3.138E-01, 2.389E-01, 1.516E-01
 2.050E+00, 5.437E-01, 8.661E-01, 5.099E-01, 3.551E-01, 2.050E+00, 1.905E-01, 2.803E-01, 2.141E-01, 1.381E-01
 2.100E+00, 4.942E-01, 7.958E-01, 4.641E-01, 3.250E-01, 2.100E+00, 1.704E-01, 2.503E-01, 1.920E-01, 1.260E-01
