m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
x distance,f000,f050,f100,f150,y distance,s000,s050,s100,s150
 4.500E-01, 1.202E+01, 1.692E+01, 1.164E+01, 4.795E+00, 4.500E-01, 1.603E+01, 2.121E+01, 1.270E+01, 4.575E+00
 5.000E-01, 1.071E+01, 1.504E+01, 1.056E+01, 4.542E+00, 5.000E-01, 1.339E+01, 1.803E+01, 1.109E+01, 4.194E+00
 5.500E-01, 9.598E+00, 1.344E+01, 9.598E+00, 4.318E+00, 5.500E-01, 1.131E+01, 1.543E+01, 9.740E+00, 3.855E+00
 6.000E-01, 8.645E+00, 1.206E+01, 8.748E+00, 4.108E+00, 6.000E-01, 9.633E+00, 1.326E+01, 8.583E+00, 3.544E+00
 6.500E-01, 7.821E+00, 1.086E+01, 7.987E+00, 3.905E+00, 6.500E-01, 8.258E+00, 1.145E+01, 7.582E+00, 3.257E+00
 7.000E-01, 7.101E+00, 9.805E+00, 7.305E+00, 3.702E+00, 7.000E-01, 7.116E+00, 9.921E+00, 6.709E+00, 2.988E+00
 7.500E-01, 6.468E+00, 8.880E+00, 6.693E+00, 3.498E+00, 7.500E-01, 6.157E+00, 8.620E+00, 5.944E+00, 2.737E+00
 8.000E-01, 5.907E+00, 8.062E+00, 6.143E+00, 3.294E+00, 8.000E-01, 5.346E+00, 7.508E+00, 5.272E+00, 2.503E+00
 8.500E-01, 5.407E+00, 7.334E+00, 5.650E+00, 3.090E+00, 8.500E-01, 4.654E+00, 6.553E+00, 4.680E+00, 2.284E+00
 9.000E-01, 4.958E+00, 6.686E+00, 5.205E+00, 2.889E+00, 9.000E-01, 4.062E+00, 5.730E+00, 4.157E+00, 2.081E+00
 9.500E-01, 4.553E+00, 6.107E+00, 4.804E+00, 2.692E+00, 9.500E-01, 3.552E+00, 5.018E+00, 3.697E+00, 1.893E+00
 1.000E+00, 4.185E+00, 5.589E+00, 4.439E+00, 2.501E+00, 1.000E+00, 3.111E+00, 4.401E+00, 3.291E+00, 1.721E+00
 1.050E+00, 3.850E+00, 5.125E+00, 4.106E+00, 2.320E+00, 1.050E+00, 2.729E+00, 3.866E+00, 2.932E+00, 1.562E+00
 1.100E+00, 3.543E+00, 4.708E+00, 3.799E+00, 2.149E+00, 1.100E+00, 2.397E+00, 3.401E+00, 2.615E+00, 1.416E+00
 1.150E+00, 3.261E+00, 4.333E+00, 3.515E+00, 1.989E+00, 1.150E+00, 2.108E+00, 2.997E+00, 2.334E+00, 1.284E+00
 1.200E+00, 3.001E+00, 3.995E+00, 3.249E+00, 1.842E+00, 1.200E+00, 1.856E+00, 2.644E+00, 2.085E+00, 1.163E+00
 1.250E+00, 2.762E+00, 3.689E+00, 3.001E+00, 1.706E+00, 1.250E+00, 1.636E+00, 2.337E+00, 1.864E+00, 1.053E+00
 1.300E+00, 2.541E+00, 3.412E+00, 2.767E+00, 1.581E+00, 1.300E+00, 1.443E+00, 2.069E+00, 1.667E+00, 9.539E-01
