m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
x distance,f000,f050,f100,f150,y distance,s000,s050,s100,s150
 4.500E-01, 9.394E+00, 1.776E+01, 1.818E+01, 1.185E+01, 4.500E-01, 9.376E+00, 1.791E+01, 1.831E+01, 1.205E+01
 5.000E-01, 8.423E+00, 1.555E+01, 1.591E+01, 1.056E+01, 5.000E-01, 8.404E+00, 1.565E+01, 1.602E+01, 1.071E+01
 5.500E-01, 7.579E+00, 1.368E+01, 1.399E+01, 9.443E+00, 5.500E-01, 7.559E+00, 1.375E+01, 1.407E+01, 9.566E+00
 6.000E-01, 6.836E+00, 1.208E+01, 1.235E+01, 8.470E+00, 6.000E-01, 6.816E+00, 1.212E+01, 1.241E+01, 8.570E+00
 6.500E-01, 6.177E+00, 1.070E+01, 1.094E+01, 7.614E+00, 6.500E-01, 6.156E+00, 1.072E+01, 1.098E+01, 7.696E+00
 7.000E-01, 5.586E+00, 9.495E+00, 9.716E+00, 6.856E+00, 7.000E-01, 5.565E+00, 9.511E+00, 9.745E+00, 6.922E+00
 7.500E-01, 5.054E+00, 8.446E+00, 8.648E+00, 6.180E+00, 7.500E-01, 5.033E+00, 8.452E+00, 8.666E+00, 6.232E+00
 8.000E-01, 4.573E+00, 7.526E+00, 7.714E+00, 5.574E+00, 8.000E-01, 4.552E+00, 7.524E+00, 7.724E+00, 5.616E+00
 8.500E-01, 4.137E+00, 6.716E+00, 6.893E+00, 5.031E+00, 8.500E-01, 4.117E+00, 6.708E+00, 6.896E+00, 5.064E+00
 9.000E-01, 3.743E+00, 6.002E+00, 6.170E+00, 4.542E+00, 9.000E-01, 3.723E+00, 5.990E+00, 6.168E+00, 4.568E+00
 9.500E-01, 3.384E+00, 5.370E+00, 5.531E+00, 4.104E+00, 9.500E-01, 3.366E+00, 5.355E+00, 5.525E+00, 4.123E+00
 1.000E+00, 3.059E+00, 4.810E+00, 4.964E+00, 3.709E+00, 1.000E+00, 3.041E+00, 4.793E+00, 4.954E+00, 3.723E+00
 1.050E+00, 2.764E+00, 4.314E+00, 4.460E+00, 3.354E+00, 1.050E+00, 2.747E+00, 4.295E+00, 4.447E+00, 3.364E+00
 1.100E+00, 2.497E+00, 3.872E+00, 4.009E+00, 3.034E+00, 1.100E+00, 2.481E+00, 3.853E+00, 3.995E+00, 3.041E+00
 1.150E+00, 2.255E+00, 3.479E+00, 3.606E+00, 2.747E+00, 1.150E+00, 2.240E+00, 3.460E+00, 3.591E+00, 2.751E+00
 1.200E+00, 2.036E+00, 3.128E+00, 3.245E+00, 2.488E+00, 1.200E+00, 2.022E+00, 3.110E+00, 3.228E+00, 2.490E+00
 1.250E+00, 1.837E+00, 2.815E+00, 2.921E+00, 2.255E+00, 1.250E+00, 1.824E+00, 2.797E+00, 2.903E+00, 2.255E+00
 1.300E+00, 1.658E+00, 2.535E+00, 2.629E+00, 2.045E+00, 1.300E+00, 1.646E+00, 2.517E+00, 2.611E+00, 2.044E+00
 1.350E+00, 1.496E+00, 2.284E+00, 2.367E+00, 1.855E+00, 1.350E+00, 1.484E+00, 2.267E+00, 2.348E+00, 1.853E+00
 1.400E+00, 1.350E+00, 2.058E+00, 2.130E+00, 1.684E+00, 1.400E+00, 1.339E+00, 2.042E+00, 2.112E+00, 1.682E+00
 1.450E+00, 1.217E+00, 1.855E+00, 1.918E+00, 1.529E+00, 1.450E+00, 1.207E+00, 1.841E+00, 1.900E+00, 1.526E+00
 1.500E+00, 1.098E+00, 1.673E+00, 1.727E+00, 1.389E+00, 1.500E+00, 1.089E+00, 1.659E+00, 1.709E+00, 1.386E+00
 1.550E+00, 9.906E-01, 1.509E+00, 1.555E+00, 1.261E+00, 1.550E+00, 9.820E-01, 1.496E+00, 1.537E+00, 1.259E+00
 1.600E+00, 8.936E-01, 1.360E+00, 1.400E+00, 1.146E+00, 1.600E+00, 8.856E-01, 1.348E+00, 1.383E+00, 1.143E+00
 1.650E+00, 8.062E-01, 1.227E+00, 1.261E+00, 1.041E+00, 1.650E+00, 7.987E-01, 1.216E+00, 1.245E+00, 1.039E+00
 1.700E+00, 7.274E-01, 1.106E+00, 1.136E+00, 9.462E-01, 1.700E+00, 7.205E-01, 1.096E+00, 1.121E+00, 9.436E-01
 1.750E+00, 6.564E-01, 9.973E-01, 1.024E+00, 8.598E-01, 1.750E+00, 6.500E-01, 9.878E-01, 1.009E+00, 8.572E-01
 1.800E+00, 5.925E-01, 8.990E-01, 9.231E-01, 7.812E-01, 1.800E+00, 5.865E-01, 8.902E-01, 9.091E-01, 7.787E-01
 1.850E+00, 5.349E-01, 8.103E-01, 8.326E-01, 7.099E-01, 1.850E+00, 5.293E-01, 8.022E-01, 8.193E-01, 7.073E-01
 1.900E+00, 4.830E-01, 7.303E-01, 7.513E-01, 6.450E-01, 1.900E+00, 4.778E-01, 7.228E-01, 7.388E-01, 6.425E-01
 1.950E+00, 4.364E-01, 6.581E-01, 6.782E-01, 5.861E-01, 1.950E+00, 4.315E-01, 6.512E-01, 6.665E-01, 5.836E-01
 2.000E+00, 3.943E-01, 5.930E-01, 6.125E-01, 5.326E-01, 2.000E+00, 3.898E-01, 5.866E-01, 6.017E-01, 5.301E-01
 2.050E+00, 3.565E-01, 5.343E-01, 5.534E-01, 4.840E-01, 2.050E+00, 3.522E-01, 5.284E-01, 5.434E-01, 4.815E-01
 2.100E+00, 3.225E-01, 4.814E-01, 5.003E-01, 4.399E-01, 2.100E+00, 3.184E-01, 4.759E-01, 4.910E-01, 4.374E-01
