m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
x distance,f000,f050,f100,f150,y distance,s000,s050,s100,s150
 4.500E-01, 1.253E+01, 1.869E+01, 1.478E+01, 7.407E+00, 4.500E-01, 1.669E+01, 2.308E+01, 1.611E+01, 7.401E+00
 5.000E-01, 1.123E+01, 1.664E+01, 1.330E+01, 6.853E+00, 5.000E-01, 1.411E+01, 1.984E+01, 1.412E+01, 6.700E+00
 5.500E-01, 1.012E+01, 1.488E+01, 1.201E+01, 6.369E+00, 5.500E-01, 1.206E+01, 1.715E+01, 1.246E+01, 6.094E+00
 6.000E-01, 9.154E+00, 1.336E+01, 1.087E+01, 5.933E+00, 6.000E-01, 1.041E+01, 1.490E+01, 1.103E+01, 5.559E+00
 6.500E-01, 8.314E+00, 1.203E+01, 9.867E+00, 5.532E+00, 6.500E-01, 9.037E+00, 1.300E+01, 9.790E+00, 5.077E+00
 7.000E-01, 7.575E+00, 1.087E+01, 8.975E+00, 5.157E+00, 7.000E-01, 7.889E+00, 1.138E+01, 8.710E+00, 4.638E+00
 7.500E-01, 6.920E+00, 9.846E+00, 8.181E+00, 4.802E+00, 7.500E-01, 6.916E+00, 9.984E+00, 7.761E+00, 4.237E+00
 8.000E-01, 6.335E+00, 8.938E+00, 7.472E+00, 4.464E+00, 8.000E-01, 6.084E+00, 8.786E+00, 6.925E+00, 3.868E+00
 8.500E-01, 5.810E+00, 8.131E+00, 6.838E+00, 4.141E+00, 8.500E-01, 5.366E+00, 7.747E+00, 6.186E+00, 3.528E+00
 9.000E-01, 5.336E+00, 7.410E+00, 6.270E+00, 3.835E+00, 9.000E-01, 4.744E+00, 6.844E+00, 5.532E+00, 3.216E+00
 9.500E-01, 4.906E+00, 6.766E+00, 5.758E+00, 3.544E+00, 9.500E-01, 4.201E+00, 6.056E+00, 4.953E+00, 2.928E+00
 1.000E+00, 4.513E+00, 6.189E+00, 5.295E+00, 3.271E+00, 1.000E+00, 3.727E+00, 5.367E+00, 4.439E+00, 2.665E+00
 1.050E+00, 4.154E+00, 5.670E+00, 4.874E+00, 3.016E+00, 1.050E+00, 3.310E+00, 4.764E+00, 3.982E+00, 2.424E+00
 1.100E+00, 3.825E+00, 5.205E+00, 4.489E+00, 2.780E+00, 1.100E+00, 2.943E+00, 4.234E+00, 3.575E+00, 2.204E+00
