m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
x distance,f000,f050,f100,f150,y distance,s000,s050,s100,s150
 4.500E-01, 7.906E+00, 4.721E+00, 1.619E+00, 4.500E-01, 4.500E-01, 2.307E+01, 6.914E+00, 1.432E+00, 3.146E-01
 5.000E-01, 6.760E+00, 4.341E+00, 1.614E+00, 4.793E-01, 5.000E-01, 1.706E+01, 6.031E+00, 1.335E+00, 3.070E-01
 5.500E-01, 5.820E+00, 3.989E+00, 1.591E+00, 5.228E-01, 5.500E-01, 1.297E+01, 5.268E+00, 1.248E+00, 2.986E-01
 6.000E-01, 5.043E+00, 3.664E+00, 1.553E+00, 5.731E-01, 6.000E-01, 1.007E+01, 4.598E+00, 1.169E+00, 2.903E-01
 6.500E-01, 4.395E+00, 3.364E+00, 1.504E+00, 6.232E-01, 6.500E-01, 7.944E+00, 4.008E+00, 1.094E+00, 2.825E-01
 7.000E-01, 3.853E+00, 3.089E+00, 1.450E+00, 6.674E-01, 7.000E-01, 6.346E+00, 3.488E+00, 1.020E+00, 2.749E-01
 7.500E-01, 3.397E+00, 2.837E+00, 1.396E+00, 7.013E-01, 7.500E-01, 5.121E+00, 3.033E+00, 9.459E-01, 2.670E-01
 8.000E-01, 3.011E+00, 2.609E+00, 1.346E+00, 7.222E-01, 8.000E-01, 4.167E+00, 2.636E+00, 8.710E-01, 2.583E-01
 8.500E-01, 2.682E+00, 2.404E+00, 1.302E+00, 7.292E-01, 8.500E-01, 3.413E+00, 2.291E+00, 7.966E-01, 2.483E-01
 9.000E-01, 2.402E+00, 2.221E+00, 1.265E+00, 7.229E-01, 9.000E-01, 2.811E+00, 1.991E+00, 7.241E-01, 2.369E-01
 9.500E-01, 2.161E+00, 2.061E+00, 1.235E+00, 7.051E-01, 9.500E-01, 2.327E+00, 1.731E+00, 6.551E-01, 2.242E-01
 1.000E+00, 1.953E+00, 1.921E+00, 1.210E+00, 6.783E-01, 1.000E+00, 1.934E+00, 1.505E+00, 5.906E-01, 2.104E-01
 1.050E+00, 1.773E+00, 1.802E+00, 1.188E+00, 6.458E-01, 1.050E+00, 1.613E+00, 1.309E+00, 5.313E-01, 1.958E-01
 1.100E+00, 1.615E+00, 1.700E+00, 1.167E+00, 6.107E-01, 1.100E+00, 1.349E+00, 1.140E+00, 4.775E-01, 1.808E-01
 1.150E+00, 1.476E+00, 1.614E+00, 1.143E+00, 5.758E-01, 1.150E+00, 1.131E+00, 9.932E-01, 4.290E-01, 1.658E-01
 1.200E+00, 1.353E+00, 1.542E+00, 1.116E+00, 5.435E-01, 1.200E+00, 9.511E-01, 8.672E-01, 3.856E-01, 1.511E-01
 1.250E+00, 1.243E+00, 1.481E+00, 1.084E+00, 5.152E-01, 1.250E+00, 8.013E-01, 7.588E-01, 3.466E-01, 1.372E-01
 1.300E+00, 1.144E+00, 1.431E+00, 1.047E+00, 4.920E-01, 1.300E+00, 6.764E-01, 6.657E-01, 3.116E-01, 1.241E-01
 1.350E+00, 1.055E+00, 1.388E+00, 1.004E+00, 4.741E-01, 1.350E+00, 5.721E-01, 5.857E-01, 2.801E-01, 1.122E-01
 1.400E+00, 9.739E-01, 1.352E+00, 9.564E-01, 4.611E-01, 1.400E+00, 4.848E-01, 5.169E-01, 2.515E-01, 1.013E-01
 1.450E+00, 8.996E-01, 1.320E+00, 9.041E-01, 4.524E-01, 1.450E+00, 4.115E-01, 4.576E-01, 2.256E-01, 9.162E-02
 1.500E+00, 8.313E-01, 1.290E+00, 8.485E-01, 4.470E-01, 1.500E+00, 3.498E-01, 4.064E-01, 2.020E-01, 8.301E-02
