s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 5.601E+01, 6.732E+01, 1.315E+02, 1.164E+02, 9.661E+01, 9.338E+01, 8.086E+01, 6.906E+01, 1.369E+02, 1.195E+02, 9.766E+01, 9.006E+01, 7.233E+01, 7.771E+01, 1.607E+02, 1.421E+02, 1.097E+02, 8.652E+01, 5.954E+01, 7.734E+01, 1.529E+02, 1.384E+02, 1.083E+02, 8.637E+01, 6.745E+01, 0.000E+00
 6.001E+01, 7.359E+01, 1.538E+02, 1.291E+02, 1.042E+02, 1.016E+02, 8.778E+01, 7.518E+01, 1.495E+02, 1.272E+02, 1.054E+02, 1.010E+02, 8.737E+01, 8.692E+01, 1.780E+02, 1.621E+02, 1.211E+02, 9.356E+01, 7.200E+01, 8.563E+01, 1.735E+02, 1.547E+02, 1.201E+02, 9.377E+01, 6.640E+01, 0.000E+00
 6.401E+01, 8.115E+01, 1.603E+02, 1.326E+02, 1.154E+02, 1.103E+02, 9.359E+01, 8.288E+01, 1.756E+02, 1.598E+02, 1.230E+02, 1.102E+02, 9.270E+01, 9.638E+01, 1.998E+02, 1.818E+02, 1.334E+02, 1.044E+02, 7.794E+01, 9.531E+01, 1.945E+02, 1.668E+02, 1.278E+02, 1.037E+02, 7.475E+01, 0.000E+00
 6.801E+01, 8.865E+01, 1.839E+02, 1.633E+02, 1.328E+02, 1.213E+02, 1.074E+02, 9.258E+01, 1.918E+02, 1.575E+02, 1.328E+02, 1.236E+02, 1.006E+02, 1.080E+02, 2.204E+02, 1.943E+02, 1.499E+02, 1.183E+02, 9.319E+01, 1.057E+02, 2.119E+02, 1.836E+02, 1.490E+02, 1.156E+02, 8.756E+01, 0.000E+00
 7.201E+01, 9.838E+01, 1.994E+02, 1.897E+02, 1.463E+02, 1.339E+02, 1.238E+02, 1.020E+02, 2.033E+02, 1.803E+02, 1.480E+02, 1.321E+02, 1.188E+02, 1.210E+02, 2.442E+02, 2.184E+02, 1.641E+02, 1.258E+02, 1.006E+02, 1.187E+02, 2.560E+02, 2.287E+02, 1.657E+02, 1.170E+02, 8.923E+01, 0.000E+00
 7.601E+01, 1.088E+02, 2.178E+02, 2.030E+02, 1.610E+02, 1.413E+02, 1.272E+02, 1.130E+02, 2.319E+02, 2.117E+02, 1.583E+02, 1.463E+02, 1.248E+02, 1.357E+02, 2.684E+02, 2.417E+02, 1.914E+02, 1.464E+02, 1.170E+02, 1.338E+02, 2.544E+02, 2.353E+02, 1.729E+02, 1.374E+02, 1.091E+02, 0.000E+00
 8.000E+01, 1.205E+02, 2.392E+02, 2.055E+02, 1.685E+02, 1.566E+02, 1.412E+02, 1.251E+02, 2.463E+02, 2.258E+02, 1.787E+02, 1.629E+02, 1.440E+02, 1.502E+02, 2.797E+02, 2.545E+02, 2.013E+02, 1.548E+02, 1.179E+02, 1.485E+02, 2.964E+02, 2.542E+02, 1.937E+02, 1.476E+02, 1.161E+02, 0.000E+00
 8.401E+01, 1.342E+02, 2.707E+02, 2.421E+02, 1.832E+02, 1.689E+02, 1.503E+02, 1.380E+02, 2.655E+02, 2.368E+02, 1.895E+02, 1.774E+02, 1.500E+02, 1.673E+02, 3.141E+02, 2.752E+02, 2.134E+02, 1.629E+02, 1.349E+02, 1.664E+02, 3.117E+02, 2.640E+02, 2.048E+02, 1.657E+02, 1.288E+02, 0.000E+00
 8.800E+01, 1.482E+02, 2.764E+02, 2.474E+02, 1.982E+02, 1.857E+02, 1.611E+02, 1.527E+02, 2.872E+02, 2.487E+02, 2.050E+02, 1.897E+02, 1.656E+02, 1.850E+02, 3.531E+02, 3.171E+02, 2.295E+02, 1.862E+02, 1.520E+02, 1.838E+02, 3.324E+02, 2.880E+02, 2.160E+02, 1.736E+02, 1.368E+02, 0.000E+00
 9.200E+01, 1.625E+02, 3.069E+02, 2.698E+02, 2.120E+02, 1.983E+02, 1.815E+02, 1.669E+02, 3.068E+02, 2.805E+02, 2.265E+02, 2.002E+02, 1.789E+02, 2.059E+02, 3.732E+02, 3.362E+02, 2.500E+02, 1.884E+02, 1.480E+02, 2.019E+02, 3.552E+02, 3.100E+02, 2.322E+02, 1.830E+02, 1.548E+02, 0.000E+00
 9.600E+01, 1.779E+02, 3.081E+02, 2.683E+02, 2.283E+02, 2.136E+02, 1.909E+02, 1.822E+02, 3.339E+02, 2.996E+02, 2.332E+02, 2.129E+02, 1.989E+02, 2.255E+02, 3.885E+02, 3.528E+02, 2.802E+02, 2.052E+02, 1.662E+02, 2.217E+02, 3.783E+02, 3.443E+02, 2.561E+02, 2.002E+02, 1.622E+02, 0.000E+00
 1.000E+02, 1.948E+02, 3.585E+02, 2.970E+02, 2.350E+02, 2.205E+02, 1.953E+02, 1.996E+02, 3.638E+02, 3.138E+02, 2.384E+02, 2.265E+02, 2.085E+02, 2.469E+02, 4.179E+02, 3.704E+02, 2.599E+02, 2.111E+02, 1.767E+02, 2.399E+02, 3.938E+02, 3.341E+02, 2.467E+02, 2.176E+02, 1.768E+02, 0.000E+00
 1.040E+02, 2.106E+02, 3.442E+02, 3.038E+02, 2.523E+02, 2.301E+02, 2.112E+02, 2.187E+02, 3.716E+02, 3.169E+02, 2.593E+02, 2.391E+02, 2.096E+02, 2.692E+02, 4.606E+02, 3.990E+02, 2.835E+02, 2.313E+02, 1.918E+02, 2.599E+02, 4.172E+02, 3.707E+02, 2.989E+02, 2.219E+02, 1.879E+02, 0.000E+00
 1.080E+02, 2.250E+02, 3.690E+02, 3.050E+02, 2.556E+02, 2.333E+02, 2.161E+02, 2.337E+02, 3.586E+02, 3.147E+02, 2.613E+02, 2.431E+02, 2.180E+02, 2.885E+02, 4.111E+02, 3.804E+02, 2.959E+02, 2.378E+02, 1.942E+02, 2.839E+02, 4.954E+02, 4.362E+02, 2.986E+02, 2.457E+02, 2.060E+02, 0.000E+00
 1.120E+02, 2.418E+02, 3.715E+02, 3.300E+02, 2.722E+02, 2.483E+02, 2.323E+02, 2.462E+02, 3.487E+02, 3.145E+02, 2.614E+02, 2.370E+02, 2.196E+02, 3.038E+02, 4.363E+02, 3.810E+02, 2.930E+02, 2.445E+02, 2.063E+02, 3.053E+02, 4.309E+02, 3.638E+02, 2.929E+02, 2.459E+02, 1.969E+02, 0.000E+00
 1.160E+02, 2.551E+02, 3.908E+02, 3.224E+02, 2.659E+02, 2.435E+02, 2.224E+02, 2.595E+02, 3.819E+02, 3.344E+02, 2.660E+02, 2.441E+02, 2.262E+02, 3.208E+02, 4.320E+02, 3.814E+02, 2.826E+02, 2.334E+02, 2.107E+02, 3.203E+02, 4.433E+02, 3.906E+02, 3.264E+02, 2.432E+02, 2.018E+02, 0.000E+00
 1.200E+02, 2.711E+02, 3.958E+02, 3.478E+02, 2.625E+02, 2.434E+02, 2.233E+02, 2.741E+02, 4.081E+02, 3.249E+02, 2.600E+02, 2.482E+02, 2.290E+02, 3.322E+02, 4.256E+02, 3.719E+02, 2.782E+02, 2.419E+02, 2.101E+02, 3.331E+02, 4.078E+02, 3.678E+02, 2.987E+02, 2.354E+02, 2.057E+02, 0.000E+00
