s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 5.600E+01, 4.541E+01, 1.226E+02, 1.232E+02, 1.255E+02, 1.217E+02, 3.845E+01, 9.552E+01, 1.904E+02, 1.902E+02, 1.897E+02, 1.642E+02, 4.606E+01, 4.245E+01, 1.114E+02, 1.179E+02, 1.078E+02, 8.564E+01, 4.531E+01, 3.648E+01, 9.077E+01, 9.373E+01, 9.269E+01, 8.586E+01, 5.351E+01, 0.000E+00
 6.001E+01, 4.900E+01, 1.268E+02, 1.305E+02, 1.322E+02, 1.470E+02, 4.439E+01, 1.065E+02, 2.123E+02, 2.125E+02, 2.097E+02, 1.803E+02, 5.120E+01, 4.579E+01, 1.366E+02, 1.368E+02, 1.089E+02, 9.153E+01, 5.136E+01, 3.842E+01, 9.333E+01, 1.003E+02, 9.605E+01, 9.026E+01, 5.789E+01, 0.000E+00
 6.400E+01, 5.347E+01, 1.472E+02, 1.488E+02, 1.545E+02, 1.575E+02, 5.068E+01, 1.187E+02, 2.399E+02, 2.377E+02, 2.321E+02, 2.011E+02, 6.286E+01, 4.950E+01, 1.440E+02, 1.522E+02, 1.311E+02, 9.345E+01, 5.993E+01, 4.117E+01, 1.086E+02, 1.122E+02, 1.054E+02, 9.692E+01, 6.678E+01, 0.000E+00
 6.800E+01, 5.786E+01, 1.629E+02, 1.672E+02, 1.728E+02, 1.681E+02, 5.587E+01, 1.322E+02, 2.670E+02, 2.667E+02, 2.627E+02, 2.300E+02, 6.792E+01, 5.370E+01, 1.676E+02, 1.734E+02, 1.453E+02, 1.019E+02, 6.938E+01, 4.427E+01, 1.250E+02, 1.265E+02, 1.200E+02, 1.071E+02, 6.694E+01, 0.000E+00
 7.201E+01, 6.261E+01, 1.798E+02, 1.824E+02, 1.969E+02, 1.882E+02, 5.580E+01, 1.485E+02, 3.000E+02, 2.930E+02, 2.877E+02, 2.493E+02, 7.780E+01, 5.878E+01, 1.912E+02, 2.026E+02, 1.593E+02, 1.145E+02, 7.598E+01, 4.762E+01, 1.315E+02, 1.364E+02, 1.346E+02, 1.228E+02, 7.327E+01, 0.000E+00
 7.600E+01, 6.931E+01, 1.988E+02, 2.015E+02, 2.031E+02, 2.161E+02, 6.200E+01, 1.680E+02, 3.446E+02, 3.415E+02, 3.294E+02, 2.797E+02, 8.709E+01, 6.513E+01, 2.032E+02, 2.071E+02, 1.711E+02, 1.231E+02, 8.464E+01, 5.166E+01, 1.497E+02, 1.550E+02, 1.505E+02, 1.396E+02, 8.007E+01, 0.000E+00
 8.001E+01, 7.683E+01, 2.196E+02, 2.222E+02, 2.276E+02, 2.207E+02, 7.868E+01, 1.905E+02, 3.750E+02, 3.765E+02, 3.718E+02, 3.166E+02, 9.411E+01, 7.138E+01, 2.086E+02, 2.136E+02, 1.848E+02, 1.459E+02, 9.622E+01, 5.693E+01, 1.712E+02, 1.759E+02, 1.702E+02, 1.529E+02, 8.709E+01, 0.000E+00
 8.401E+01, 8.466E+01, 2.267E+02, 2.351E+02, 2.449E+02, 2.435E+02, 7.802E+01, 2.154E+02, 4.290E+02, 4.319E+02, 4.302E+02, 3.746E+02, 1.018E+02, 7.726E+01, 2.339E+02, 2.455E+02, 2.125E+02, 1.614E+02, 9.741E+01, 6.230E+01, 1.836E+02, 1.896E+02, 1.883E+02, 1.698E+02, 9.803E+01, 0.000E+00
 8.800E+01, 9.379E+01, 2.595E+02, 2.586E+02, 2.613E+02, 2.748E+02, 9.651E+01, 2.426E+02, 4.676E+02, 4.782E+02, 4.712E+02, 3.883E+02, 1.112E+02, 8.503E+01, 2.503E+02, 2.593E+02, 2.343E+02, 1.680E+02, 1.084E+02, 6.735E+01, 1.870E+02, 1.943E+02, 1.908E+02, 1.770E+02, 1.092E+02, 0.000E+00
 9.200E+01, 1.039E+02, 2.728E+02, 2.841E+02, 2.960E+02, 2.947E+02, 9.885E+01, 2.696E+02, 4.841E+02, 4.851E+02, 4.747E+02, 3.864E+02, 1.195E+02, 9.288E+01, 2.737E+02, 2.947E+02, 2.426E+02, 1.865E+02, 1.138E+02, 7.377E+01, 2.150E+02, 2.238E+02, 2.168E+02, 1.936E+02, 1.237E+02, 0.000E+00
 9.600E+01, 1.138E+02, 2.872E+02, 2.918E+02, 2.945E+02, 3.126E+02, 9.873E+01, 2.967E+02, 5.120E+02, 5.083E+02, 4.932E+02, 4.273E+02, 1.334E+02, 1.018E+02, 3.021E+02, 3.076E+02, 2.562E+02, 1.915E+02, 1.256E+02, 8.023E+01, 2.159E+02, 2.305E+02, 2.231E+02, 2.003E+02, 1.332E+02, 0.000E+00
 1.000E+02, 1.235E+02, 2.893E+02, 2.969E+02, 3.002E+02, 3.159E+02, 1.173E+02, 3.224E+02, 5.369E+02, 5.336E+02, 5.183E+02, 4.721E+02, 1.393E+02, 1.105E+02, 2.658E+02, 3.214E+02, 2.986E+02, 2.097E+02, 1.359E+02, 8.701E+01, 2.370E+02, 2.466E+02, 2.365E+02, 2.191E+02, 1.339E+02, 0.000E+00
 1.040E+02, 1.332E+02, 3.001E+02, 3.042E+02, 3.163E+02, 3.343E+02, 1.186E+02, 3.523E+02, 5.659E+02, 5.549E+02, 5.389E+02, 4.827E+02, 1.462E+02, 1.196E+02, 3.334E+02, 3.539E+02, 3.075E+02, 2.196E+02, 1.420E+02, 9.426E+01, 2.342E+02, 2.462E+02, 2.451E+02, 2.209E+02, 1.590E+02, 0.000E+00
 1.080E+02, 1.443E+02, 3.208E+02, 3.143E+02, 3.208E+02, 3.522E+02, 1.298E+02, 3.799E+02, 5.968E+02, 6.098E+02, 6.078E+02, 4.575E+02, 1.567E+02, 1.299E+02, 3.115E+02, 3.473E+02, 3.078E+02, 2.316E+02, 1.602E+02, 1.002E+02, 2.276E+02, 2.534E+02, 2.524E+02, 2.415E+02, 1.648E+02, 0.000E+00
 1.120E+02, 1.546E+02, 3.091E+02, 3.158E+02, 3.182E+02, 3.569E+02, 1.382E+02, 4.082E+02, 5.845E+02, 5.794E+02, 5.589E+02, 4.554E+02, 1.536E+02, 1.387E+02, 3.403E+02, 3.703E+02, 3.210E+02, 2.424E+02, 1.538E+02, 1.063E+02, 2.449E+02, 2.594E+02, 2.600E+02, 2.470E+02, 1.628E+02, 0.000E+00
 1.160E+02, 1.640E+02, 3.209E+02, 3.268E+02, 3.392E+02, 3.570E+02, 1.456E+02, 4.332E+02, 6.103E+02, 6.039E+02, 5.787E+02, 4.831E+02, 1.660E+02, 1.491E+02, 3.324E+02, 3.693E+02, 3.328E+02, 2.572E+02, 1.540E+02, 1.128E+02, 2.488E+02, 2.670E+02, 2.651E+02, 2.403E+02, 1.708E+02, 0.000E+00
 1.200E+02, 1.732E+02, 3.356E+02, 3.358E+02, 3.461E+02, 3.615E+02, 1.423E+02, 4.520E+02, 5.661E+02, 5.573E+02, 5.430E+02, 4.657E+02, 1.630E+02, 1.558E+02, 2.918E+02, 3.346E+02, 3.403E+02, 2.603E+02, 1.570E+02, 1.189E+02, 2.585E+02, 2.706E+02, 2.644E+02, 2.533E+02, 1.812E+02, 0.000E+00
