s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 5.601E+01, 2.943E+01, 4.150E+01, 4.309E+01, 4.334E+01, 3.874E+01, 2.727E+01, 3.008E+01, 4.334E+01, 4.461E+01, 4.398E+01, 4.137E+01, 2.731E+01, 2.876E+01, 3.909E+01, 3.555E+01, 3.250E+01, 2.979E+01, 2.726E+01, 2.845E+01, 4.082E+01, 3.782E+01, 3.447E+01, 3.034E+01, 2.725E+01, 0.000E+00
 6.001E+01, 2.991E+01, 4.394E+01, 4.423E+01, 4.307E+01, 4.057E+01, 2.743E+01, 3.061E+01, 4.238E+01, 4.296E+01, 4.336E+01, 4.199E+01, 2.742E+01, 2.911E+01, 3.855E+01, 3.536E+01, 3.349E+01, 2.989E+01, 2.782E+01, 2.895E+01, 4.138E+01, 3.712E+01, 3.587E+01, 3.184E+01, 2.778E+01, 0.000E+00
 6.401E+01, 3.038E+01, 4.304E+01, 4.297E+01, 4.503E+01, 4.414E+01, 2.764E+01, 3.094E+01, 4.242E+01, 4.413E+01, 4.567E+01, 4.488E+01, 2.772E+01, 2.959E+01, 4.132E+01, 3.838E+01, 3.550E+01, 3.204E+01, 2.813E+01, 2.945E+01, 4.065E+01, 3.645E+01, 3.533E+01, 3.191E+01, 2.835E+01, 0.000E+00
 6.800E+01, 3.092E+01, 4.708E+01, 4.910E+01, 4.769E+01, 4.593E+01, 2.773E+01, 3.133E+01, 4.603E+01, 4.623E+01, 4.779E+01, 4.721E+01, 2.766E+01, 3.011E+01, 4.304E+01, 3.916E+01, 3.676E+01, 3.267E+01, 2.818E+01, 2.991E+01, 4.190E+01, 3.646E+01, 3.455E+01, 3.172E+01, 2.869E+01, 0.000E+00
 7.200E+01, 3.169E+01, 5.099E+01, 5.095E+01, 5.023E+01, 4.577E+01, 2.776E+01, 3.187E+01, 4.737E+01, 4.895E+01, 4.987E+01, 4.755E+01, 2.765E+01, 3.081E+01, 4.694E+01, 4.292E+01, 3.771E+01, 3.261E+01, 2.847E+01, 3.054E+01, 4.642E+01, 4.157E+01, 3.797E+01, 3.271E+01, 2.845E+01, 0.000E+00
 7.601E+01, 3.262E+01, 4.951E+01, 4.961E+01, 4.888E+01, 4.730E+01, 2.775E+01, 3.249E+01, 4.871E+01, 4.914E+01, 4.803E+01, 4.696E+01, 2.760E+01, 3.153E+01, 4.587E+01, 4.226E+01, 3.878E+01, 3.357E+01, 2.963E+01, 3.126E+01, 4.732E+01, 4.143E+01, 3.892E+01, 3.267E+01, 2.862E+01, 0.000E+00
 8.001E+01, 3.325E+01, 5.127E+01, 5.334E+01, 5.364E+01, 5.023E+01, 2.797E+01, 3.327E+01, 5.343E+01, 5.386E+01, 5.362E+01, 5.280E+01, 2.763E+01, 3.226E+01, 4.961E+01, 4.301E+01, 3.901E+01, 3.525E+01, 3.010E+01, 3.201E+01, 5.243E+01, 4.731E+01, 4.329E+01, 3.559E+01, 2.881E+01, 0.000E+00
 8.401E+01, 3.411E+01, 5.369E+01, 5.405E+01, 5.194E+01, 4.997E+01, 2.859E+01, 3.410E+01, 5.263E+01, 5.254E+01, 5.434E+01, 5.288E+01, 2.773E+01, 3.321E+01, 5.295E+01, 4.263E+01, 3.855E+01, 3.627E+01, 2.980E+01, 3.301E+01, 5.245E+01, 5.044E+01, 4.564E+01, 3.839E+01, 2.901E+01, 0.000E+00
 8.801E+01, 3.486E+01, 5.150E+01, 5.291E+01, 5.460E+01, 5.170E+01, 2.859E+01, 3.474E+01, 5.418E+01, 5.475E+01, 5.597E+01, 5.507E+01, 2.927E+01, 3.421E+01, 5.337E+01, 4.856E+01, 4.453E+01, 3.835E+01, 3.037E+01, 3.405E+01, 5.617E+01, 5.202E+01, 4.905E+01, 4.072E+01, 2.927E+01, 0.000E+00
 9.201E+01, 3.556E+01, 5.500E+01, 5.760E+01, 5.879E+01, 5.540E+01, 2.972E+01, 3.541E+01, 5.324E+01, 5.423E+01, 5.678E+01, 5.598E+01, 3.032E+01, 3.534E+01, 5.754E+01, 5.368E+01, 4.638E+01, 3.874E+01, 3.083E+01, 3.519E+01, 5.949E+01, 5.167E+01, 4.804E+01, 4.112E+01, 2.968E+01, 0.000E+00
 9.601E+01, 3.615E+01, 5.603E+01, 5.692E+01, 5.814E+01, 5.498E+01, 2.987E+01, 3.605E+01, 5.744E+01, 5.850E+01, 6.038E+01, 5.958E+01, 3.013E+01, 3.670E+01, 6.242E+01, 5.689E+01, 4.941E+01, 4.100E+01, 3.041E+01, 3.646E+01, 6.004E+01, 5.723E+01, 5.231E+01, 4.078E+01, 3.097E+01, 0.000E+00
 1.000E+02, 3.676E+01, 5.514E+01, 6.000E+01, 6.180E+01, 5.864E+01, 3.182E+01, 3.689E+01, 5.627E+01, 5.885E+01, 6.144E+01, 5.970E+01, 3.096E+01, 3.798E+01, 5.986E+01, 6.142E+01, 5.490E+01, 4.382E+01, 3.143E+01, 3.766E+01, 5.914E+01, 6.103E+01, 5.645E+01, 4.494E+01, 3.190E+01, 0.000E+00
 1.040E+02, 3.747E+01, 5.716E+01, 6.044E+01, 6.495E+01, 5.900E+01, 3.460E+01, 3.757E+01, 5.915E+01, 6.105E+01, 6.255E+01, 6.037E+01, 3.159E+01, 3.922E+01, 6.076E+01, 6.294E+01, 5.737E+01, 4.460E+01, 3.277E+01, 3.871E+01, 5.963E+01, 6.143E+01, 5.796E+01, 4.527E+01, 3.104E+01, 0.000E+00
 1.080E+02, 3.833E+01, 6.304E+01, 6.492E+01, 6.513E+01, 6.185E+01, 3.165E+01, 3.839E+01, 6.256E+01, 6.431E+01, 6.510E+01, 6.529E+01, 3.170E+01, 4.034E+01, 6.406E+01, 6.336E+01, 5.505E+01, 4.569E+01, 3.457E+01, 3.991E+01, 6.318E+01, 6.359E+01, 5.974E+01, 4.972E+01, 3.528E+01, 0.000E+00
 1.120E+02, 3.951E+01, 6.481E+01, 6.426E+01, 6.659E+01, 6.079E+01, 3.561E+01, 3.925E+01, 5.892E+01, 6.572E+01, 6.628E+01, 6.432E+01, 3.425E+01, 4.176E+01, 6.798E+01, 6.603E+01, 5.414E+01, 4.630E+01, 3.384E+01, 4.101E+01, 5.968E+01, 6.401E+01, 6.204E+01, 4.798E+01, 3.725E+01, 0.000E+00
 1.160E+02, 4.049E+01, 6.574E+01, 6.727E+01, 6.818E+01, 6.314E+01, 3.595E+01, 3.995E+01, 6.024E+01, 6.481E+01, 6.707E+01, 6.742E+01, 3.619E+01, 4.321E+01, 6.829E+01, 7.075E+01, 6.392E+01, 4.701E+01, 3.856E+01, 4.193E+01, 5.952E+01, 6.276E+01, 6.169E+01, 5.075E+01, 3.596E+01, 0.000E+00
 1.200E+02, 4.158E+01, 6.715E+01, 6.917E+01, 6.965E+01, 6.807E+01, 3.692E+01, 4.060E+01, 6.078E+01, 6.316E+01, 6.773E+01, 7.294E+01, 3.595E+01, 4.457E+01, 6.629E+01, 6.682E+01, 6.390E+01, 5.069E+01, 4.069E+01, 4.304E+01, 6.561E+01, 6.682E+01, 6.498E+01, 5.331E+01, 3.920E+01, 0.000E+00
 1.240E+02, 4.245E+01, 6.555E+01, 6.688E+01, 6.813E+01, 6.902E+01, 3.795E+01, 4.145E+01, 6.933E+01, 7.099E+01, 7.226E+01, 7.101E+01, 3.666E+01, 4.576E+01, 6.873E+01, 7.409E+01, 6.904E+01, 5.350E+01, 4.081E+01, 4.449E+01, 7.151E+01, 7.618E+01, 7.136E+01, 5.520E+01, 4.065E+01, 0.000E+00
 1.280E+02, 4.327E+01, 6.733E+01, 7.288E+01, 7.542E+01, 7.511E+01, 3.861E+01, 4.286E+01, 7.216E+01, 7.368E+01, 7.408E+01, 6.868E+01, 3.883E+01, 4.703E+01, 7.094E+01, 6.730E+01, 6.333E+01, 5.269E+01, 4.267E+01, 4.608E+01, 7.507E+01, 7.727E+01, 7.004E+01, 5.828E+01, 4.047E+01, 0.000E+00
 1.320E+02, 4.444E+01, 7.252E+01, 7.471E+01, 7.482E+01, 7.124E+01, 3.915E+01, 4.417E+01, 7.182E+01, 7.298E+01, 7.429E+01, 7.152E+01, 4.173E+01, 4.856E+01, 7.744E+01, 7.899E+01, 6.822E+01, 5.483E+01, 4.363E+01, 4.772E+01, 7.341E+01, 7.615E+01, 6.918E+01, 5.781E+01, 4.270E+01, 0.000E+00
 1.360E+02, 4.553E+01, 6.952E+01, 7.312E+01, 7.664E+01, 7.710E+01, 4.251E+01, 4.517E+01, 7.112E+01, 7.492E+01, 7.587E+01, 7.618E+01, 4.254E+01, 5.026E+01, 7.723E+01, 8.087E+01, 7.504E+01, 6.286E+01, 4.538E+01, 4.902E+01, 6.920E+01, 7.476E+01, 7.391E+01, 5.904E+01, 4.245E+01, 0.000E+00
 1.400E+02, 4.657E+01, 7.406E+01, 7.761E+01, 7.852E+01, 7.957E+01, 4.459E+01, 4.622E+01, 7.484E+01, 7.686E+01, 7.837E+01, 7.652E+01, 4.028E+01, 5.191E+01, 7.739E+01, 7.712E+01, 7.276E+01, 6.030E+01, 4.571E+01, 5.024E+01, 7.592E+01, 7.439E+01, 7.200E+01, 6.264E+01, 4.428E+01, 0.000E+00
 1.440E+02, 4.804E+01, 8.133E+01, 8.259E+01, 7.962E+01, 7.679E+01, 4.668E+01, 4.742E+01, 7.757E+01, 8.039E+01, 7.956E+01, 7.723E+01, 4.640E+01, 5.326E+01, 8.168E+01, 8.117E+01, 7.023E+01, 6.084E+01, 4.536E+01, 5.191E+01, 8.302E+01, 8.366E+01, 8.150E+01, 6.311E+01, 4.471E+01, 0.000E+00
 1.480E+02, 4.946E+01, 7.489E+01, 7.641E+01, 7.820E+01, 7.493E+01, 4.745E+01, 4.891E+01, 7.893E+01, 8.335E+01, 8.329E+01, 8.147E+01, 4.341E+01, 5.492E+01, 7.994E+01, 8.395E+01, 7.819E+01, 6.187E+01, 4.599E+01, 5.362E+01, 8.171E+01, 8.200E+01, 7.926E+01, 6.599E+01, 4.867E+01, 0.000E+00
 1.520E+02, 5.066E+01, 7.837E+01, 8.177E+01, 8.406E+01, 8.326E+01, 5.143E+01, 5.002E+01, 7.943E+01, 8.170E+01, 8.273E+01, 8.157E+01, 4.951E+01, 5.650E+01, 8.543E+01, 9.018E+01, 8.413E+01, 6.418E+01, 4.929E+01, 5.530E+01, 8.144E+01, 8.580E+01, 8.259E+01, 6.316E+01, 4.868E+01, 0.000E+00
 1.560E+02, 5.203E+01, 8.176E+01, 8.532E+01, 8.611E+01, 8.077E+01, 4.682E+01, 5.083E+01, 7.399E+01, 7.785E+01, 8.184E+01, 8.029E+01, 4.809E+01, 5.816E+01, 7.943E+01, 8.734E+01, 8.023E+01, 6.236E+01, 5.056E+01, 5.674E+01, 8.051E+01, 8.228E+01, 7.889E+01, 6.343E+01, 5.299E+01, 0.000E+00
 1.600E+02, 5.332E+01, 8.248E+01, 8.394E+01, 8.484E+01, 8.173E+01, 5.343E+01, 5.209E+01, 8.455E+01, 8.764E+01, 9.009E+01, 8.693E+01, 4.985E+01, 5.932E+01, 8.197E+01, 8.479E+01, 8.224E+01, 7.145E+01, 5.230E+01, 5.833E+01, 8.581E+01, 9.095E+01, 8.447E+01, 6.725E+01, 5.275E+01, 0.000E+00
 1.640E+02, 5.448E+01, 8.482E+01, 8.638E+01, 8.440E+01, 8.364E+01, 5.180E+01, 5.387E+01, 8.804E+01, 8.988E+01, 9.078E+01, 9.089E+01, 5.108E+01, 6.142E+01, 9.420E+01, 8.854E+01, 8.597E+01, 7.398E+01, 5.250E+01, 6.002E+01, 8.624E+01, 8.848E+01, 8.518E+01, 6.659E+01, 5.345E+01, 0.000E+00
 1.680E+02, 5.543E+01, 8.303E+01, 8.848E+01, 8.961E+01, 9.068E+01, 5.505E+01, 5.526E+01, 8.883E+01, 8.979E+01, 9.182E+01, 8.957E+01, 5.130E+01, 6.294E+01, 7.969E+01, 8.506E+01, 8.359E+01, 7.015E+01, 5.391E+01, 6.154E+01, 8.306E+01, 8.706E+01, 8.677E+01, 7.403E+01, 5.397E+01, 0.000E+00
 1.720E+02, 5.689E+01, 8.741E+01, 9.039E+01, 9.216E+01, 9.201E+01, 5.379E+01, 5.653E+01, 8.482E+01, 9.096E+01, 9.223E+01, 8.609E+01, 5.347E+01, 6.432E+01, 9.099E+01, 9.471E+01, 9.009E+01, 7.530E+01, 5.523E+01, 6.269E+01, 8.302E+01, 8.977E+01, 8.758E+01, 7.490E+01, 5.632E+01, 0.000E+00
 1.760E+02, 5.824E+01, 8.857E+01, 9.105E+01, 9.217E+01, 8.791E+01, 5.940E+01, 5.795E+01, 9.104E+01, 9.210E+01, 9.369E+01, 9.270E+01, 5.453E+01, 6.580E+01, 8.625E+01, 9.556E+01, 9.399E+01, 7.814E+01, 5.532E+01, 6.393E+01, 8.544E+01, 9.251E+01, 9.198E+01, 7.603E+01, 5.631E+01, 0.000E+00
 1.800E+02, 5.964E+01, 9.582E+01, 9.675E+01, 9.562E+01, 9.699E+01, 5.917E+01, 5.978E+01, 9.718E+01, 9.844E+01, 9.837E+01, 9.644E+01, 5.832E+01, 6.716E+01, 9.218E+01, 9.573E+01, 8.966E+01, 7.432E+01, 5.883E+01, 6.550E+01, 9.262E+01, 9.514E+01, 9.154E+01, 7.784E+01, 5.893E+01, 0.000E+00
 1.840E+02, 6.184E+01, 9.863E+01, 9.824E+01, 9.599E+01, 9.136E+01, 5.904E+01, 6.177E+01, 9.387E+01, 9.607E+01, 9.813E+01, 9.608E+01, 5.840E+01, 6.908E+01, 1.008E+02, 1.046E+02, 9.747E+01, 7.383E+01, 6.251E+01, 6.732E+01, 9.534E+01, 9.935E+01, 9.604E+01, 7.860E+01, 5.784E+01, 0.000E+00
 1.880E+02, 6.378E+01, 9.636E+01, 9.723E+01, 9.499E+01, 9.417E+01, 6.109E+01, 6.283E+01, 9.226E+01, 9.630E+01, 1.005E+02, 9.774E+01, 6.050E+01, 7.095E+01, 9.365E+01, 9.741E+01, 9.392E+01, 7.737E+01, 6.334E+01, 6.894E+01, 9.220E+01, 9.724E+01, 9.535E+01, 7.963E+01, 6.021E+01, 0.000E+00
 1.920E+02, 6.575E+01, 1.040E+02, 1.063E+02, 1.032E+02, 9.471E+01, 6.194E+01, 6.400E+01, 9.928E+01, 1.032E+02, 1.049E+02, 9.848E+01, 5.929E+01, 7.244E+01, 1.009E+02, 1.024E+02, 9.332E+01, 8.024E+01, 6.215E+01, 7.068E+01, 9.912E+01, 1.053E+02, 1.030E+02, 8.774E+01, 6.126E+01, 0.000E+00
 1.960E+02, 6.745E+01, 1.015E+02, 1.060E+02, 1.050E+02, 9.663E+01, 6.139E+01, 6.575E+01, 1.007E+02, 1.020E+02, 1.030E+02, 9.956E+01, 6.510E+01, 7.465E+01, 1.078E+02, 1.082E+02, 1.020E+02, 7.751E+01, 6.531E+01, 7.258E+01, 9.999E+01, 1.070E+02, 1.059E+02, 8.686E+01, 6.040E+01, 0.000E+00
