s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 5.601E+01, 3.705E+01, 9.082E+01, 9.193E+01, 8.476E+01, 7.029E+01, 6.919E+01, 1.238E+02, 2.389E+02, 2.118E+02, 1.758E+02, 8.182E+01, 6.229E+01, 7.736E+01, 1.643E+02, 1.650E+02, 1.389E+02, 1.020E+02, 7.860E+01, 3.438E+01, 9.072E+01, 9.053E+01, 9.099E+01, 9.571E+01, 7.628E+01, 0.000E+00
 6.001E+01, 4.002E+01, 1.024E+02, 1.037E+02, 8.561E+01, 7.370E+01, 6.821E+01, 1.391E+02, 2.606E+02, 2.192E+02, 1.645E+02, 9.406E+01, 7.263E+01, 8.599E+01, 1.866E+02, 1.854E+02, 1.575E+02, 1.393E+02, 8.254E+01, 3.684E+01, 9.089E+01, 9.024E+01, 9.328E+01, 1.025E+02, 7.982E+01, 0.000E+00
 6.400E+01, 4.362E+01, 1.186E+02, 1.156E+02, 9.516E+01, 7.959E+01, 7.540E+01, 1.545E+02, 2.867E+02, 2.407E+02, 2.013E+02, 9.828E+01, 7.641E+01, 9.642E+01, 2.041E+02, 2.030E+02, 1.701E+02, 1.175E+02, 9.992E+01, 3.954E+01, 1.029E+02, 1.021E+02, 1.116E+02, 1.056E+02, 9.482E+01, 0.000E+00
 6.800E+01, 4.745E+01, 1.128E+02, 1.070E+02, 9.762E+01, 8.862E+01, 8.449E+01, 1.741E+02, 3.333E+02, 2.884E+02, 2.081E+02, 1.112E+02, 7.998E+01, 1.066E+02, 2.212E+02, 2.089E+02, 1.920E+02, 1.416E+02, 1.100E+02, 4.277E+01, 1.156E+02, 1.181E+02, 1.177E+02, 1.200E+02, 1.068E+02, 0.000E+00
 7.200E+01, 5.201E+01, 1.370E+02, 1.315E+02, 1.091E+02, 9.921E+01, 9.015E+01, 1.942E+02, 3.455E+02, 3.138E+02, 2.377E+02, 1.354E+02, 9.555E+01, 1.169E+02, 2.321E+02, 2.382E+02, 1.983E+02, 1.622E+02, 1.248E+02, 4.658E+01, 1.296E+02, 1.310E+02, 1.334E+02, 1.270E+02, 9.690E+01, 0.000E+00
 7.600E+01, 5.689E+01, 1.420E+02, 1.405E+02, 1.142E+02, 1.033E+02, 9.679E+01, 2.181E+02, 4.112E+02, 3.581E+02, 2.565E+02, 1.361E+02, 1.008E+02, 1.295E+02, 2.698E+02, 2.679E+02, 2.256E+02, 1.626E+02, 1.275E+02, 5.052E+01, 1.353E+02, 1.355E+02, 1.484E+02, 1.466E+02, 1.076E+02, 0.000E+00
 8.001E+01, 6.135E+01, 1.443E+02, 1.444E+02, 1.319E+02, 1.171E+02, 1.067E+02, 2.462E+02, 4.436E+02, 3.746E+02, 2.829E+02, 1.493E+02, 1.103E+02, 1.448E+02, 2.920E+02, 2.898E+02, 2.358E+02, 1.698E+02, 1.375E+02, 5.488E+01, 1.436E+02, 1.466E+02, 1.564E+02, 1.598E+02, 1.174E+02, 0.000E+00
 8.400E+01, 6.637E+01, 1.615E+02, 1.566E+02, 1.395E+02, 1.227E+02, 1.174E+02, 2.746E+02, 4.541E+02, 3.823E+02, 3.165E+02, 1.686E+02, 1.137E+02, 1.596E+02, 3.017E+02, 2.975E+02, 2.290E+02, 1.993E+02, 1.600E+02, 5.999E+01, 1.635E+02, 1.656E+02, 1.770E+02, 1.728E+02, 1.316E+02, 0.000E+00
 8.801E+01, 7.234E+01, 1.744E+02, 1.627E+02, 1.364E+02, 1.300E+02, 1.232E+02, 3.009E+02, 5.119E+02, 4.595E+02, 3.355E+02, 1.983E+02, 1.338E+02, 1.742E+02, 3.071E+02, 3.083E+02, 2.671E+02, 1.959E+02, 1.504E+02, 6.534E+01, 1.763E+02, 1.788E+02, 1.906E+02, 1.753E+02, 1.370E+02, 0.000E+00
 9.201E+01, 7.869E+01, 1.810E+02, 1.824E+02, 1.527E+02, 1.375E+02, 1.337E+02, 3.336E+02, 5.448E+02, 5.016E+02, 3.747E+02, 1.961E+02, 1.351E+02, 1.891E+02, 3.527E+02, 3.417E+02, 2.824E+02, 2.037E+02, 1.683E+02, 7.123E+01, 1.768E+02, 1.771E+02, 1.969E+02, 1.883E+02, 1.425E+02, 0.000E+00
 9.600E+01, 8.411E+01, 1.770E+02, 1.800E+02, 1.607E+02, 1.515E+02, 1.427E+02, 3.688E+02, 6.053E+02, 5.609E+02, 3.910E+02, 2.108E+02, 1.509E+02, 2.082E+02, 3.771E+02, 3.836E+02, 3.323E+02, 2.226E+02, 1.725E+02, 7.713E+01, 1.845E+02, 1.875E+02, 1.868E+02, 2.145E+02, 1.556E+02, 0.000E+00
 1.000E+02, 8.921E+01, 1.867E+02, 1.896E+02, 1.758E+02, 1.526E+02, 1.479E+02, 3.999E+02, 6.026E+02, 5.772E+02, 4.744E+02, 2.058E+02, 1.566E+02, 2.262E+02, 3.754E+02, 3.707E+02, 2.989E+02, 2.268E+02, 1.769E+02, 8.389E+01, 1.967E+02, 1.980E+02, 1.977E+02, 2.261E+02, 1.874E+02, 0.000E+00
 1.040E+02, 9.575E+01, 2.103E+02, 2.123E+02, 1.869E+02, 1.642E+02, 1.523E+02, 4.292E+02, 6.031E+02, 5.628E+02, 4.220E+02, 2.420E+02, 1.707E+02, 2.426E+02, 3.990E+02, 3.983E+02, 3.282E+02, 2.488E+02, 1.948E+02, 9.124E+01, 2.094E+02, 2.114E+02, 2.251E+02, 2.241E+02, 1.680E+02, 0.000E+00
 1.080E+02, 1.009E+02, 1.858E+02, 1.982E+02, 1.875E+02, 1.686E+02, 1.587E+02, 4.613E+02, 6.791E+02, 6.009E+02, 3.961E+02, 2.613E+02, 1.909E+02, 2.599E+02, 4.021E+02, 3.931E+02, 3.420E+02, 2.800E+02, 1.866E+02, 9.888E+01, 2.211E+02, 2.167E+02, 2.266E+02, 2.380E+02, 1.765E+02, 0.000E+00
 1.120E+02, 1.052E+02, 1.895E+02, 1.944E+02, 1.823E+02, 1.726E+02, 1.691E+02, 4.923E+02, 6.933E+02, 6.176E+02, 4.537E+02, 2.690E+02, 1.880E+02, 2.757E+02, 4.152E+02, 4.040E+02, 3.066E+02, 2.312E+02, 2.012E+02, 1.061E+02, 2.197E+02, 2.260E+02, 2.322E+02, 2.422E+02, 1.931E+02, 0.000E+00
 1.160E+02, 1.095E+02, 1.974E+02, 1.957E+02, 1.858E+02, 1.720E+02, 1.653E+02, 5.183E+02, 6.528E+02, 5.684E+02, 4.040E+02, 2.511E+02, 1.939E+02, 2.905E+02, 4.317E+02, 4.236E+02, 3.295E+02, 2.415E+02, 2.010E+02, 1.130E+02, 2.126E+02, 2.183E+02, 2.147E+02, 2.442E+02, 2.001E+02, 0.000E+00
 1.200E+02, 1.142E+02, 1.997E+02, 1.971E+02, 1.923E+02, 1.834E+02, 1.672E+02, 5.394E+02, 6.631E+02, 5.861E+02, 3.876E+02, 2.631E+02, 1.734E+02, 3.063E+02, 4.210E+02, 3.923E+02, 3.136E+02, 2.114E+02, 1.902E+02, 1.192E+02, 2.114E+02, 2.190E+02, 2.162E+02, 2.417E+02, 2.018E+02, 0.000E+00
