m,kW/m2
z,HF
 2.500E-02, 1.329E+01
 7.500E-02, 1.327E+01
 1.250E-01, 1.327E+01
 1.750E-01, 1.466E+01
 2.250E-01, 1.542E+01
 2.750E-01, 1.644E+01
 3.250E-01, 1.775E+01
 3.750E-01, 1.873E+01
 4.250E-01, 1.987E+01
 4.750E-01, 2.095E+01
 5.250E-01, 2.190E+01
 5.750E-01, 2.279E+01
 6.250E-01, 2.353E+01
 6.750E-01, 2.409E+01
 7.250E-01, 2.478E+01
 7.750E-01, 2.541E+01
 8.250E-01, 2.612E+01
 8.750E-01, 2.672E+01
 9.250E-01, 2.738E+01
 9.750E-01, 2.804E+01
 1.025E+00, 2.858E+01
 1.075E+00, 2.933E+01
 1.125E+00, 3.007E+01
 1.175E+00, 3.071E+01
 1.225E+00, 3.130E+01
 1.275E+00, 3.174E+01
 1.325E+00, 3.247E+01
 1.375E+00, 3.425E+01
 1.425E+00, 3.538E+01
 1.475E+00, 3.627E+01
 1.525E+00, 3.706E+01
 1.575E+00, 3.761E+01
 1.625E+00, 3.822E+01
 1.675E+00, 3.894E+01
 1.725E+00, 3.926E+01
 1.775E+00, 3.949E+01
 1.825E+00, 3.939E+01
 1.875E+00, 3.894E+01
 1.925E+00, 3.721E+01
 1.975E+00, 3.215E+01
