m,kW/m2
z,HF
 2.500E-02, 1.888E+01
 7.500E-02, 1.967E+01
 1.250E-01, 2.246E+01
 1.750E-01, 2.274E+01
 2.250E-01, 2.311E+01
 2.750E-01, 2.424E+01
 3.250E-01, 2.574E+01
 3.750E-01, 2.703E+01
 4.250E-01, 2.841E+01
 4.750E-01, 2.946E+01
 5.250E-01, 3.026E+01
 5.750E-01, 3.153E+01
 6.250E-01, 3.288E+01
 6.750E-01, 3.442E+01
 7.250E-01, 3.597E+01
 7.750E-01, 3.655E+01
 8.250E-01, 3.699E+01
 8.750E-01, 3.715E+01
 9.250E-01, 3.751E+01
 9.750E-01, 3.793E+01
 1.025E+00, 3.833E+01
 1.075E+00, 3.854E+01
 1.125E+00, 3.888E+01
 1.175E+00, 3.912E+01
 1.225E+00, 3.955E+01
 1.275E+00, 3.988E+01
 1.325E+00, 4.039E+01
 1.375E+00, 4.015E+01
 1.425E+00, 3.945E+01
 1.475E+00, 3.902E+01
 1.525E+00, 3.895E+01
 1.575E+00, 3.874E+01
 1.625E+00, 3.848E+01
 1.675E+00, 3.822E+01
 1.725E+00, 3.812E+01
 1.775E+00, 3.798E+01
 1.825E+00, 3.748E+01
 1.875E+00, 3.665E+01
 1.925E+00, 3.483E+01
 1.975E+00, 3.019E+01
