g/m2/s,mm,mm,mm,mm,mm
mdot,365 mm,527 mm,771 mm,1022 mm,1317 mm
2.000,  4.5,  4.5,  4.5,  4.5,  4.5
4.000, 13.5, 19.5, 19.5, 13.5, 19.5
6.000, 22.5, 28.5, 34.5, 34.5, 34.5
8.000, 22.5, 28.5, 43.5, 49.5, 49.5
10.000, 28.5, 28.5, 43.5, 49.5, 58.5
12.000, 34.5, 34.5, 43.5, 49.5, 52.5
14.000, 28.5, 43.5, 52.5, 64.5, 58.5
16.000, 28.5, 37.5, 52.5, 67.5, 82.5
18.000, 34.5, 43.5, 52.5, 64.5, 67.5
20.000, 34.5, 49.5, 67.5, 67.5, 73.5
22.000, 28.5, 49.5, 64.5, 67.5, 79.5
24.000, 28.5, 37.5, 64.5, 73.5, 82.5
26.000, 28.5, 43.5, 58.5, 88.5, 97.5
28.000, 28.5, 43.5, 52.5, 79.5, 94.5
30.000, 28.5, 43.5, 73.5, 82.5,112.5
32.000, 28.5, 43.5, 73.5, 94.5,118.5
34.000, 28.5, 49.5, 67.5, 82.5,112.5
36.000, 34.5, 49.5, 67.5, 97.5,118.5
38.000, 37.5, 52.5, 73.5, 97.5,103.5
40.000, 37.5, 58.5, 82.5,109.5,127.5
42.000, 43.5, 58.5, 73.5, 94.5,112.5
44.000, 43.5, 58.5, 82.5,112.5,133.5
46.000, 43.5, 58.5, 88.5,109.5,118.5
48.000, 49.5, 58.5, 94.5,103.5,127.5
50.000, 49.5, 67.5, 94.5,118.5,133.5
52.000, 49.5, 67.5, 94.5,118.5,118.5
54.000, 49.5, 64.5, 94.5,118.5,139.5
56.000, 49.5, 73.5, 97.5,118.5,139.5
58.000, 58.5, 79.5, 94.5,112.5,133.5
60.000, 58.5, 82.5,103.5,133.5,142.5
62.000, 67.5, 82.5,103.5,127.5,139.5
64.000, 52.5, 73.5, 94.5,109.5,133.5
