mm,K,K,K,K,K
x,T-10,T-12,T-14,T-18,T-20
1.500,892.35,844.85,854.25,840.45,808.15
4.500,892.35,844.85,854.25,840.45,808.15
7.500,986.55,963.65,985.25,987.15,984.35
10.500,988.75,1000.45,1013.45,1012.25,1004.15
13.500,988.75,1000.45,1013.45,1012.25,1004.15
16.500,966.95,1008.65,996.85,1027.05,1013.75
19.500,966.95,1008.65,996.85,1027.05,1013.75
22.500,920.85,994.35,973.35,1013.85,1010.45
25.500,864.95,954.65,951.95,1002.95,993.65
28.500,864.95,954.65,951.95,1002.95,993.65
31.500,823.45,913.45,929.75,998.15,985.75
34.500,823.45,913.45,929.75,998.15,985.75
37.500,786.65,869.25,893.15,974.35,967.65
40.500,747.95,825.45,854.55,947.65,948.45
43.500,747.95,825.45,854.55,947.65,948.45
46.500,709.95,792.85,827.35,914.05,929.75
49.500,709.95,792.85,827.35,914.05,929.75
52.500,678.45,765.65,805.35,876.85,905.35
55.500,656.65,741.15,779.95,839.95,866.05
58.500,656.65,741.15,779.95,839.95,866.05
61.500,641.25,717.25,756.45,811.15,834.45
64.500,641.25,717.25,756.45,811.15,834.45
67.500,631.45,701.55,738.35,791.65,814.95
70.500,613.05,678.95,709.45,774.05,793.45
73.500,613.05,678.95,709.45,774.05,793.45
76.500,589.25,655.95,681.55,760.45,778.25
79.500,589.25,655.95,681.55,760.45,778.25
82.500,570.55,636.95,657.25,745.25,766.95
85.500,558.05,619.25,642.35,728.35,753.65
88.500,558.05,619.25,642.35,728.35,753.65
91.500,543.75,601.85,627.85,709.05,734.85
94.500,543.75,601.85,627.85,709.05,734.85
97.500,525.15,582.05,609.45,691.25,709.45
100.500,507.85,562.45,589.05,673.65,678.85
103.500,507.85,562.45,589.05,673.65,678.85
106.500,491.75,542.95,566.95,647.45,650.25
109.500,491.75,542.95,566.95,647.45,650.25
112.500,474.45,522.25,542.85,618.25,624.15
115.500,459.15,505.55,519.75,597.55,600.75
118.500,459.15,505.55,519.75,597.55,600.75
121.500,446.15,492.55,502.55,585.55,582.95
124.500,446.15,492.55,502.55,585.55,582.95
127.500,431.85,478.75,488.05,569.75,566.15
130.500,418.65,464.05,470.95,550.35,548.25
133.500,418.65,464.05,470.95,550.35,548.25
136.500,405.55,448.35,452.35,527.65,529.75
139.500,405.55,448.35,452.35,527.65,529.75
142.500,396.55,438.35,441.25,508.65,509.25
145.500,382.15,420.75,423.45,475.75,472.85
148.500,382.15,420.75,423.45,475.75,472.85
