m,kW/m2
z,HF
 2.500E-02, 2.381E+01
 7.500E-02, 2.509E+01
 1.250E-01, 2.750E+01
 1.750E-01, 2.765E+01
 2.250E-01, 2.722E+01
 2.750E-01, 2.818E+01
 3.250E-01, 2.988E+01
 3.750E-01, 3.173E+01
 4.250E-01, 3.357E+01
 4.750E-01, 3.519E+01
 5.250E-01, 3.672E+01
 5.750E-01, 3.850E+01
 6.250E-01, 4.070E+01
 6.750E-01, 4.196E+01
 7.250E-01, 4.354E+01
 7.750E-01, 4.471E+01
 8.250E-01, 4.513E+01
 8.750E-01, 4.559E+01
 9.250E-01, 4.621E+01
 9.750E-01, 4.661E+01
 1.025E+00, 4.729E+01
 1.075E+00, 4.820E+01
 1.125E+00, 4.852E+01
 1.175E+00, 4.907E+01
 1.225E+00, 4.959E+01
 1.275E+00, 5.067E+01
 1.325E+00, 5.198E+01
 1.375E+00, 5.306E+01
 1.425E+00, 5.350E+01
 1.475E+00, 5.423E+01
 1.525E+00, 5.470E+01
 1.575E+00, 5.484E+01
 1.625E+00, 5.491E+01
 1.675E+00, 5.479E+01
 1.725E+00, 5.475E+01
 1.775E+00, 5.386E+01
 1.825E+00, 5.237E+01
 1.875E+00, 5.024E+01
 1.925E+00, 4.619E+01
 1.975E+00, 3.839E+01
