s,m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,Length,R1,R2,R5,R6,R9,R10,R11
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000857E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0001324E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0000229E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0000150E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0000072E+000, 0.0000000E+000, 1.5054506E+000, 1.8635153E+000, 3.4894389E+000, 1.9056247E+000, 3.7178243E+000, 1.1915672E+000, 1.6438342E+000
 6.0001234E+000, 3.1697776E+000, 1.6357665E+000, 1.8937674E+000, 3.7934260E+000, 2.1411079E+000, 3.7841298E+000, 1.2510440E+000, 1.7381940E+000
 7.0001155E+000, 3.0976673E+000, 1.5906060E+000, 1.8770210E+000, 3.6791658E+000, 2.0564934E+000, 3.7743849E+000, 1.2498582E+000, 1.7062249E+000
 8.0001077E+000, 3.0994832E+000, 1.5756387E+000, 1.8557180E+000, 3.6406485E+000, 2.0392066E+000, 3.7319521E+000, 1.2349368E+000, 1.6877929E+000
 9.0000999E+000, 3.1046111E+000, 1.5814438E+000, 1.8612844E+000, 3.6552611E+000, 2.0498463E+000, 3.7373226E+000, 1.2394760E+000, 1.6925573E+000
 1.0000000E+001, 3.1186010E+000, 1.5873931E+000, 1.8586744E+000, 3.6687060E+000, 2.0666415E+000, 3.7180349E+000, 1.2338648E+000, 1.6929561E+000
