s,m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,Length,R1,R2,R5,R6,R9,R10,R11
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000277E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0001173E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0000761E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0000349E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0003396E+000, 0.0000000E+000, 3.3692248E-001, 5.3898139E-001, 7.5413436E-001, 3.6518642E-001, 1.6071030E+000, 3.5836560E-001, 4.3070075E-001
 6.0002984E+000, 1.9729311E+000, 3.6835293E-001, 5.5836885E-001, 7.9408867E-001, 3.9069566E-001, 1.5899980E+000, 3.8203143E-001, 4.5932895E-001
 7.0002572E+000, 1.9519418E+000, 3.5579941E-001, 5.4322164E-001, 7.6749568E-001, 3.7558558E-001, 1.5585462E+000, 3.7328649E-001, 4.4568496E-001
 8.0002161E+000, 1.9410468E+000, 3.5404590E-001, 5.4157534E-001, 7.6333355E-001, 3.7366018E-001, 1.5580368E+000, 3.6862560E-001, 4.4353849E-001
 9.0001749E+000, 1.9384535E+000, 3.5820130E-001, 5.4683831E-001, 7.7299688E-001, 3.7828945E-001, 1.5716500E+000, 3.7251746E-001, 4.4846540E-001
 1.0000000E+001, 1.9353881E+000, 3.5775893E-001, 5.4592718E-001, 7.7121950E-001, 3.7756320E-001, 1.5698601E+000, 3.7329388E-001, 4.4793721E-001
