s,m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,Length,R1,R2,R5,R6,R9,R10,R11
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0005737E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000081E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0002558E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0002943E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0003327E+000, 0.0000000E+000, 1.7596812E-001, 3.0676567E-001, 3.8011583E-001, 1.7730896E-001, 9.8937812E-001, 2.2508549E-001, 2.3502286E-001
 6.0003711E+000, 1.4782659E+000, 1.7854360E-001, 3.0791099E-001, 3.7328261E-001, 1.7648235E-001, 9.5480297E-001, 2.2050466E-001, 2.3645981E-001
 7.0004095E+000, 1.4785157E+000, 1.7927474E-001, 3.0820538E-001, 3.7333591E-001, 1.7690385E-001, 9.5519651E-001, 2.1989077E-001, 2.3697914E-001
 8.0004479E+000, 1.4669600E+000, 1.7441177E-001, 3.0032455E-001, 3.6193333E-001, 1.7141989E-001, 9.2680822E-001, 2.1565835E-001, 2.3090437E-001
 9.0004863E+000, 1.4710251E+000, 1.7110199E-001, 2.9503925E-001, 3.5468771E-001, 1.6785910E-001, 9.1118212E-001, 2.1220190E-001, 2.2672218E-001
 1.0000000E+001, 1.4601432E+000, 1.7011142E-001, 2.9333289E-001, 3.5237320E-001, 1.6679299E-001, 9.0800335E-001, 2.1117018E-001, 2.2543625E-001
