s,m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,Length,R1,R2,R5,R6,R9,R10,R11
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0004666E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0001283E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0000948E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0004939E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0000361E+000, 0.0000000E+000, 1.7378892E-001, 2.9498713E-001, 3.5356124E-001, 1.7140222E-001, 9.0014289E-001, 2.1005161E-001, 2.2772058E-001
 6.0000847E+000, 1.5390763E+000, 1.8647465E-001, 3.1899835E-001, 3.8898364E-001, 1.8417290E-001, 9.8193520E-001, 2.2793291E-001, 2.4625479E-001
 7.0001332E+000, 1.5462989E+000, 1.9239108E-001, 3.2708885E-001, 4.0206503E-001, 1.9111291E-001, 1.0058674E+000, 2.3061958E-001, 2.5279911E-001
 8.0001818E+000, 1.5494886E+000, 1.9135724E-001, 3.2496591E-001, 3.9981761E-001, 1.9010367E-001, 9.9881254E-001, 2.2949008E-001, 2.5132947E-001
 9.0002304E+000, 1.5376523E+000, 1.9219176E-001, 3.2652846E-001, 4.0063036E-001, 1.9054334E-001, 1.0015566E+000, 2.3050829E-001, 2.5253518E-001
 1.0000000E+001, 1.5379554E+000, 1.9081421E-001, 3.2431326E-001, 3.9824092E-001, 1.8930721E-001, 9.9745794E-001, 2.2910298E-001, 2.5071023E-001
