s,m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,Length,R1,R2,R5,R6,R9,R10,R11
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0001415E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0001480E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0000541E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0000662E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0000166E+000, 0.0000000E+000, 8.0319715E-001, 1.0637193E+000, 1.8300677E+000, 9.3659517E-001, 2.5584774E+000, 7.9546132E-001, 9.2927040E-001
 6.0001387E+000, 2.6760874E+000, 9.6043726E-001, 1.2551194E+000, 2.1885585E+000, 1.1515762E+000, 2.8401718E+000, 8.4088532E-001, 1.0912205E+000
 7.0000891E+000, 2.6731610E+000, 9.4972539E-001, 1.2514848E+000, 2.1617671E+000, 1.1374426E+000, 2.8267108E+000, 8.2101332E-001, 1.0797651E+000
 8.0000396E+000, 2.6913568E+000, 9.7792153E-001, 1.2779330E+000, 2.2186559E+000, 1.1758807E+000, 2.8762362E+000, 8.4054263E-001, 1.1079532E+000
 9.0001617E+000, 2.6879861E+000, 9.7963368E-001, 1.2848860E+000, 2.2244739E+000, 1.1761388E+000, 2.8921181E+000, 8.4883650E-001, 1.1117298E+000
 1.0000000E+001, 2.6879428E+000, 9.7881391E-001, 1.2833723E+000, 2.2224420E+000, 1.1725526E+000, 2.8950553E+000, 8.5240448E-001, 1.1124343E+000
