s,m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,Length,R1,R2,R5,R6,R9,R10,R11
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000838E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000386E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0000080E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0000359E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0000639E+000, 0.0000000E+000, 3.2943714E+000, 2.9946142E+000, 8.0923329E+000, 5.2855053E+000, 5.2366260E+000, 2.0091056E+000, 3.0670001E+000
 6.0000181E+000, 3.9622046E+000, 3.5862855E+000, 3.1802957E+000, 8.2058336E+000, 5.6106068E+000, 5.3620302E+000, 2.1070961E+000, 3.3558671E+000
 7.0000461E+000, 3.9275655E+000, 3.4878470E+000, 3.1346346E+000, 8.0109356E+000, 5.4107121E+000, 5.3135704E+000, 2.0756290E+000, 3.2848861E+000
 8.0000003E+000, 3.9164065E+000, 3.4652132E+000, 3.1231521E+000, 7.9417383E+000, 5.3568597E+000, 5.2975684E+000, 2.0703959E+000, 3.2682383E+000
 9.0000283E+000, 3.9339887E+000, 3.4732321E+000, 3.1065781E+000, 7.9412588E+000, 5.3955696E+000, 5.2647295E+000, 2.0603080E+000, 3.2639042E+000
 1.0000000E+001, 3.9166139E+000, 3.4581588E+000, 3.1081581E+000, 7.9188742E+000, 5.3557512E+000, 5.2699386E+000, 2.0612452E+000, 3.2584665E+000
