s,m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,Length,R1,R2,R5,R6,R9,R10,R11
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0002200E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0001783E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0001580E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0001964E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0001429E+000, 0.0000000E+000, 8.6664340E-001, 1.1728180E+000, 1.9436328E+000, 1.0083410E+000, 2.6730831E+000, 7.6707433E-001, 1.0026691E+000
 6.0000894E+000, 2.4739036E+000, 7.5821479E-001, 1.0504695E+000, 1.7058064E+000, 8.7311172E-001, 2.4892649E+000, 7.0331593E-001, 8.8816578E-001
 7.0000359E+000, 2.4741208E+000, 7.2625374E-001, 1.0114178E+000, 1.6325951E+000, 8.3584477E-001, 2.4150549E+000, 6.8289115E-001, 8.5255714E-001
 8.0001835E+000, 2.4521672E+000, 7.2271091E-001, 1.0091940E+000, 1.6213709E+000, 8.2870812E-001, 2.4181072E+000, 6.8255597E-001, 8.4998177E-001
 9.0001300E+000, 2.4626614E+000, 7.2981509E-001, 1.0186785E+000, 1.6409168E+000, 8.3759079E-001, 2.4362692E+000, 6.8274731E-001, 8.5796749E-001
 1.0000000E+001, 2.4574227E+000, 7.2865149E-001, 1.0184691E+000, 1.6389424E+000, 8.3605859E-001, 2.4467753E+000, 6.8538887E-001, 8.5737751E-001
