s,m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,Length,R1,R2,R5,R6,R9,R10,R11
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0002359E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000308E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0000690E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0001555E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0000483E+000, 0.0000000E+000, 8.2930563E-001, 1.1108648E+000, 1.8538913E+000, 9.7548653E-001, 2.5980237E+000, 8.3167674E-001, 9.5638948E-001
 6.0001347E+000, 2.5326565E+000, 7.7729896E-001, 1.0829977E+000, 1.7505740E+000, 8.9582819E-001, 2.5803719E+000, 7.1458932E-001, 9.1204493E-001
 7.0000275E+000, 2.5072253E+000, 7.7866914E-001, 1.0864069E+000, 1.7538270E+000, 8.9688566E-001, 2.5904352E+000, 7.1636409E-001, 9.1358600E-001
 8.0001140E+000, 2.4830063E+000, 7.7482316E-001, 1.0801142E+000, 1.7420093E+000, 8.9158573E-001, 2.5765404E+000, 7.1921212E-001, 9.0963450E-001
 9.0000067E+000, 2.4883018E+000, 7.8455927E-001, 1.0895203E+000, 1.7649429E+000, 9.0532278E-001, 2.5877390E+000, 7.2629960E-001, 9.1873337E-001
 1.0000000E+001, 2.4874283E+000, 7.8355346E-001, 1.0874814E+000, 1.7609500E+000, 9.0475323E-001, 2.5725508E+000, 7.2102951E-001, 9.1634430E-001
