m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib
-1.2500000E-001, 2.4167337E+000,-1.5000000E-002, 8.1163590E+000,-1.2500000E-001, 2.1018939E+000,-1.5000000E-002, 2.3373448E+000, 3.0000000E-002,-8.3767977E-015, 3.0000000E-002, 7.2965866E-015
-1.2437500E-001, 2.4167337E+000,-1.4375000E-002, 7.7723985E+000,-1.2437500E-001, 2.1018939E+000,-1.4375000E-002, 3.0652996E+000, 3.0729167E-002,-2.8667047E+000, 3.0729167E-002, 2.6050058E+000
-1.2375000E-001, 2.4337494E+000,-1.3750000E-002, 6.6546302E+000,-1.2375000E-001, 2.0840746E+000,-1.3750000E-002, 3.4254506E+000, 3.1458333E-002,-1.8052931E+000, 3.1458333E-002, 2.8790675E+000
-1.2312500E-001, 2.4507652E+000,-1.3125000E-002, 5.5368620E+000,-1.2312500E-001, 2.0965276E+000,-1.3125000E-002, 4.0299912E+000, 3.2187500E-002,-7.2594366E-001, 3.2187500E-002, 3.3189437E+000
-1.2250000E-001, 2.4718927E+000,-1.2500000E-002, 4.5614725E+000,-1.2250000E-001, 2.0787702E+000,-1.2500000E-002, 3.9885441E+000, 3.2916667E-002, 3.7732304E-001, 3.2916667E-002, 3.7667825E+000
-1.2187500E-001, 2.4930202E+000,-1.1875000E-002, 3.5860831E+000,-1.2187500E-001, 2.0909903E+000,-1.1875000E-002, 4.2167116E+000, 3.3645833E-002, 1.5906022E+000, 3.3645833E-002, 4.0033113E+000
-1.2125000E-001, 2.5158556E+000,-1.1250000E-002, 2.9490638E+000,-1.2125000E-001, 2.0722260E+000,-1.1250000E-002, 4.0240581E+000, 3.4375000E-002, 2.8478865E+000, 3.4375000E-002, 4.5277711E+000
-1.2062500E-001, 2.5386911E+000,-1.0625000E-002, 2.3120444E+000,-1.2062500E-001, 2.0833960E+000,-1.0625000E-002, 4.0865091E+000, 3.5104167E-002, 4.1929710E+000, 3.5104167E-002, 4.4732009E+000
-1.2000000E-001, 2.5620210E+000,-1.0000000E-002, 1.9165675E+000,-1.2000000E-001, 2.0684293E+000,-1.0000000E-002, 3.8906634E+000, 3.5833333E-002, 5.4966093E+000, 3.5833333E-002, 4.6472635E+000
-1.1937500E-001, 2.5853510E+000,-9.3750000E-003, 1.5210905E+000,-1.1937500E-001, 2.0833085E+000,-9.3750000E-003, 3.9171256E+000, 3.6562500E-002, 6.6966321E+000, 3.6562500E-002, 4.5312829E+000
-1.1875000E-001, 2.6075335E+000,-8.7500000E-003, 1.2967839E+000,-1.1875000E-001, 2.0681738E+000,-8.7500000E-003, 3.7707603E+000, 3.7291667E-002, 7.7652417E+000, 3.7291667E-002, 4.3542093E+000
-1.1812500E-001, 2.6297160E+000,-8.1250000E-003, 1.0724772E+000,-1.1812500E-001, 2.0829157E+000,-8.1250000E-003, 3.8079612E+000, 3.8020833E-002, 8.7352916E+000, 3.8020833E-002, 4.1871129E+000
-1.1750000E-001, 2.6529570E+000,-7.5000000E-003, 9.4094830E-001,-1.1750000E-001, 2.0672551E+000,-7.5000000E-003, 3.7098899E+000, 3.8750000E-002, 9.4782561E+000, 3.8750000E-002, 3.7690912E+000
-1.1687500E-001, 2.6761979E+000,-6.8750000E-003, 8.0941937E-001,-1.1687500E-001, 2.0808504E+000,-6.8750000E-003, 3.7662782E+000, 3.9479167E-002, 1.0146380E+001, 3.9479167E-002, 3.5289093E+000
-1.1625000E-001, 2.6985070E+000,-6.2500000E-003, 7.2792924E-001,-1.1625000E-001, 2.0613066E+000,-6.2500000E-003, 3.6932017E+000, 4.0208333E-002, 1.0592545E+001, 4.0208333E-002, 3.1390970E+000
-1.1562500E-001, 2.7208161E+000,-5.6250000E-003, 6.4643910E-001,-1.1562500E-001, 2.0706454E+000,-5.6250000E-003, 3.7623483E+000, 4.0937500E-002, 1.0955086E+001, 4.0937500E-002, 2.8787345E+000
-1.1500000E-001, 2.7416152E+000,-5.0000000E-003, 5.9165578E-001,-1.1500000E-001, 2.0529174E+000,-5.0000000E-003, 3.7113946E+000, 4.1666667E-002, 1.1206129E+001, 4.1666667E-002, 2.6191719E+000
-1.1437500E-001, 2.7624142E+000,-4.3750000E-003, 5.3687246E-001,-1.1437500E-001, 2.0639747E+000,-4.3750000E-003, 3.7897784E+000, 4.2395833E-002, 1.1354769E+001, 4.2395833E-002, 2.3824498E+000
-1.1375000E-001, 2.7837154E+000,-3.7500000E-003, 5.1215812E-001,-1.1375000E-001, 2.0472130E+000,-3.7500000E-003, 3.7365362E+000, 4.3125000E-002, 1.1462448E+001, 4.3125000E-002, 2.2626626E+000
-1.1312500E-001, 2.8050166E+000,-3.1250000E-003, 4.8744378E-001,-1.1312500E-001, 2.0588690E+000,-3.1250000E-003, 3.8074617E+000, 4.3854167E-002, 1.1493879E+001, 4.3854167E-002, 2.0338410E+000
-1.1250000E-001, 2.8221527E+000,-2.5000000E-003, 4.7804900E-001,-1.1250000E-001, 2.0454732E+000,-2.5000000E-003, 3.7635593E+000, 4.4583333E-002, 1.1512918E+001, 4.4583333E-002, 1.9285132E+000
-1.1187500E-001, 2.8392888E+000,-1.8750000E-003, 4.6865422E-001,-1.1187500E-001, 2.0608681E+000,-1.8750000E-003, 3.8360910E+000, 4.5312500E-002, 1.1500975E+001, 4.5312500E-002, 1.8145790E+000
-1.1125000E-001, 2.8559525E+000,-1.2500000E-003, 4.8603244E-001,-1.1125000E-001, 2.0464917E+000,-1.2500000E-003, 3.7907307E+000, 4.6041667E-002, 1.1479524E+001, 4.6041667E-002, 1.7320800E+000
-1.1062500E-001, 2.8726161E+000,-6.2500000E-004, 5.0341066E-001,-1.1062500E-001, 2.0606896E+000,-6.2500000E-004, 3.8515281E+000, 4.6770833E-002, 1.1450942E+001, 4.6770833E-002, 1.6970099E+000
-1.1000000E-001, 2.8899410E+000, 0.0000000E+000, 5.0341066E-001,-1.1000000E-001, 2.0448768E+000, 0.0000000E+000, 3.8515281E+000, 4.7500000E-002, 1.1421750E+001, 4.7500000E-002, 1.6092872E+000
-1.0937500E-001, 2.9072659E+000, 6.2500000E-004, 5.6879648E-001,-1.0937500E-001, 2.0572016E+000, 6.2500000E-004, 3.8654697E+000, 4.8229167E-002, 1.1392222E+001, 4.8229167E-002, 1.6024055E+000
