s,m/s,
Time,Ub,FORCE X
 0.0000000E+000,-3.6862874E-019,-6.2000000E-001
 2.5245250E-002, 1.8213827E-002,-6.1817862E-001
 5.0490499E-002, 6.0487384E-002,-6.1395126E-001
 6.2247590E-002, 9.6884592E-002,-6.1031154E-001
 7.1944185E-002, 1.4058560E-001,-6.0594144E-001
 7.9267920E-002, 1.8382537E-001,-6.0161746E-001
 8.5190102E-002, 2.2698423E-001,-5.9730158E-001
 9.0116401E-002, 2.6963279E-001,-5.9303672E-001
 9.4331345E-002, 3.1183877E-001,-5.8881612E-001
 9.8011334E-002, 3.5363075E-001,-5.8463692E-001
 1.0127799E-001, 3.9507630E-001,-5.8049237E-001
 1.1202033E-001, 4.9513732E-001,-5.6394131E-001
 1.2167508E-001, 6.7332690E-001,-5.4450274E-001
 1.3069037E-001, 8.8400870E-001,-5.2171153E-001
 1.4005436E-001, 1.1419431E+000,-4.9258032E-001
 1.5007056E-001, 1.4757681E+000,-4.5448258E-001
 1.6011929E-001, 1.8958367E+000,-4.0827724E-001
 1.7041877E-001, 2.4055844E+000,-3.5227006E-001
 1.8028392E-001, 2.9927318E+000,-2.9097769E-001
 1.9034533E-001, 3.6418712E+000,-2.2249994E-001
 2.0007335E-001, 4.3309720E+000,-1.5355823E-001
 2.1024338E-001, 5.0299466E+000,-8.3210423E-002
 2.2022481E-001, 5.6964282E+000,-2.0529205E-002
 2.3009447E-001, 6.2640112E+000, 2.9811143E-002
 2.4006395E-001, 6.6910738E+000, 6.6129229E-002
 2.5003343E-001, 7.0378261E+000, 9.9349558E-002
 2.6000290E-001, 7.2885994E+000, 1.1541738E-001
 2.7016410E-001, 7.3890434E+000, 1.2194530E-001
 2.8000668E-001, 7.5184733E+000, 1.4002053E-001
 2.9011754E-001, 7.5878277E+000, 1.3887860E-001
 3.0013879E-001, 7.6545490E+000, 1.5172808E-001
 3.1015850E-001, 7.7651519E+000, 1.5474179E-001
 3.2005568E-001, 7.5826413E+000, 1.1934241E-001
 3.3002241E-001, 7.1763391E+000, 7.8051075E-002
 3.4020012E-001, 6.8000408E+000, 4.2326024E-002
 3.5015956E-001, 6.4174396E+000, 1.9447682E-003
 3.6007250E-001, 6.0285091E+000,-3.5827869E-002
 3.7024788E-001, 5.7059539E+000,-5.7214457E-002
 3.8010629E-001, 5.5609804E+000,-7.0669801E-002
 3.9001119E-001, 5.4013806E+000,-8.8345644E-002
 4.0009734E-001, 5.2448019E+000,-1.0097178E-001
 4.1008038E-001, 5.1873540E+000,-1.0116060E-001
 4.2006575E-001, 5.1877449E+000,-9.9278753E-002
 4.3007364E-001, 5.2603342E+000,-8.9309242E-002
 4.4010502E-001, 5.3562104E+000,-7.9242697E-002
 4.5012070E-001, 5.4647668E+000,-6.8396683E-002
 4.6008092E-001, 5.5774976E+000,-5.4993766E-002
 4.7009400E-001, 5.7551174E+000,-3.1993057E-002
 4.8013000E-001, 6.0204237E+000,-6.9012373E-003
 4.9009851E-001, 6.2330862E+000, 1.1823774E-002
 5.0011262E-001, 6.3894574E+000, 2.5854783E-002
 5.1020527E-001, 6.5629656E+000, 4.5680875E-002
 5.2013323E-001, 6.7062873E+000, 5.3026440E-002
 5.3001679E-001, 6.7126883E+000, 4.8507738E-002
 5.4016176E-001, 6.7023628E+000, 5.5581857E-002
 5.5014252E-001, 6.7817864E+000, 5.6999679E-002
 5.6019000E-001, 6.7466391E+000, 5.0907636E-002
 5.7017211E-001, 6.6252651E+000, 3.6217154E-002
 5.8015693E-001, 6.5590371E+000, 3.2191535E-002
 5.9015838E-001, 6.4309401E+000, 1.5605217E-002
 6.0012107E-001, 6.2664703E+000,-1.4708211E-003
 6.1003211E-001, 6.0775992E+000,-2.3924565E-002
 6.2001530E-001, 5.8854148E+000,-4.2585717E-002
 6.3019855E-001, 5.6473642E+000,-6.3930420E-002
 6.4007527E-001, 5.5311811E+000,-6.8515153E-002
 6.5011209E-001, 5.5218123E+000,-6.6393894E-002
 6.6010117E-001, 5.5716228E+000,-5.7974652E-002
 6.7019450E-001, 5.6830011E+000,-4.5612929E-002
 6.8011230E-001, 5.8026474E+000,-3.1925500E-002
 6.9017863E-001, 6.0086821E+000,-7.3437599E-003
 7.0001870E-001, 6.2437985E+000, 1.3934260E-002
 7.1015064E-001, 6.4453270E+000, 3.3909655E-002
 7.2016184E-001, 6.6644070E+000, 5.8672527E-002
 7.3017655E-001, 6.8443663E+000, 6.7997203E-002
 7.4018315E-001, 6.8814290E+000, 6.7868407E-002
 7.5015050E-001, 6.8641825E+000, 6.4055379E-002
 7.6007862E-001, 6.8032747E+000, 5.7592155E-002
 7.7010285E-001, 6.7155587E+000, 4.2403414E-002
 7.8002323E-001, 6.5505115E+000, 3.1252352E-002
 7.9008300E-001, 6.4622995E+000, 2.1363501E-002
 8.0014540E-001, 6.3525115E+000, 6.8037374E-003
 8.1010141E-001, 6.1651870E+000,-1.2640097E-002
 8.2002879E-001, 6.0065184E+000,-2.5105393E-002
 8.3000079E-001, 5.8736911E+000,-4.0088057E-002
 8.4020917E-001, 5.7454786E+000,-4.7344684E-002
 8.5015145E-001, 5.6956488E+000,-5.4352941E-002
 8.6003816E-001, 5.6476302E+000,-5.4723898E-002
 8.7017018E-001, 5.7042864E+000,-4.3916831E-002
 8.8022690E-001, 5.8218295E+000,-3.1890029E-002
 8.9013695E-001, 5.9171679E+000,-2.4991278E-002
 9.0004701E-001, 6.0124213E+000,-1.1596762E-002
 9.1018753E-001, 6.1693021E+000, 4.5229613E-003
 9.2009759E-001, 6.3015314E+000, 1.4579820E-002
 9.3000765E-001, 6.3977991E+000, 2.5455054E-002
 9.4002645E-001, 6.5148490E+000, 3.7490876E-002
 9.5016771E-001, 6.5954535E+000, 3.9254179E-002
 9.6014968E-001, 6.5975544E+000, 3.9487283E-002
 9.7021313E-001, 6.5709188E+000, 3.5876175E-002
 9.8007031E-001, 6.5739092E+000, 3.6338861E-002
 9.9012669E-001, 6.5057578E+000, 2.3793969E-002
 1.0001718E+000, 6.3241139E+000, 1.7846816E-003
 1.0101319E+000, 6.1721751E+000,-7.1673264E-003
 1.0201705E+000, 6.0651196E+000,-1.9517996E-002
 1.0301394E+000, 5.9521457E+000,-3.1605106E-002
 1.0400157E+000, 5.7917133E+000,-4.7864474E-002
 1.0501260E+000, 5.6777189E+000,-5.5779472E-002
 1.0600340E+000, 5.6176771E+000,-6.0932885E-002
 1.0701443E+000, 5.6009655E+000,-5.5032384E-002
 1.0800882E+000, 5.7218965E+000,-4.0533228E-002
 1.0900560E+000, 5.8460030E+000,-3.0783121E-002
 1.1000601E+000, 5.9115543E+000,-2.8998374E-002
 1.1101502E+000, 5.9762726E+000,-1.4141862E-002
 1.1200903E+000, 6.1476537E+000, 6.2006157E-003
 1.1300441E+000, 6.3948793E+000, 2.7404838E-002
 1.1400351E+000, 6.4686109E+000, 2.7747311E-002
 1.1500544E+000, 6.5251110E+000, 3.2327544E-002
 1.1601271E+000, 6.4813678E+000, 2.6462079E-002
 1.1700246E+000, 6.4650045E+000, 2.4465698E-002
 1.1801228E+000, 6.3809489E+000, 1.1423129E-002
 1.1900341E+000, 6.2174009E+000,-5.5027113E-003
 1.2001323E+000, 6.1310962E+000,-7.5428386E-003
 1.2100298E+000, 6.1349136E+000,-4.2495317E-003
 1.2200146E+000, 6.1970204E+000, 5.6328594E-003
 1.2300977E+000, 6.3932000E+000, 3.1131504E-002
 1.2400790E+000, 6.5365294E+000, 3.2990848E-002
 1.2500595E+000, 6.4913241E+000, 2.5881788E-002
 1.2601446E+000, 6.4331022E+000, 1.7792887E-002
 1.2701661E+000, 6.3286039E+000, 1.1471751E-002
 1.2800505E+000, 6.2986050E+000, 6.0893384E-003
 1.2901265E+000, 6.2141047E+000,-2.0450088E-003
 1.3000086E+000, 6.1319706E+000,-1.1550014E-002
 1.3100264E+000, 6.0399987E+000,-1.7715496E-002
 1.3200181E+000, 6.0343459E+000,-1.5476174E-002
 1.3301156E+000, 6.0494053E+000,-1.5582886E-002
 1.3401370E+000, 6.0577759E+000,-1.1943672E-002
 1.3501065E+000, 6.1355880E+000,-1.7854525E-003
 1.3601072E+000, 6.1671789E+000,-6.4319782E-003
 1.3700592E+000, 6.1124182E+000,-9.3866896E-003
 1.3800728E+000, 6.1228507E+000,-5.8349221E-003
 1.3900725E+000, 6.1645377E+000,-9.7958338E-004
 1.4001347E+000, 6.2050194E+000, 4.7063076E-004
 1.4100169E+000, 6.2489831E+000, 1.2990984E-002
 1.4200196E+000, 6.4330489E+000, 3.1316203E-002
 1.4300759E+000, 6.5383105E+000, 3.5236061E-002
 1.4401313E+000, 6.5396748E+000, 3.1942676E-002
 1.4501088E+000, 6.4751268E+000, 2.1795468E-002
 1.4601564E+000, 6.3790484E+000, 1.5597621E-002
 1.4700230E+000, 6.3404973E+000, 1.2938714E-002
 1.4801617E+000, 6.2924757E+000, 4.8189207E-003
 1.4900452E+000, 6.1858060E+000,-8.3952334E-003
 1.5001603E+000, 6.0858614E+000,-1.0826865E-002
 1.5101482E+000, 6.0870855E+000,-1.2869486E-002
 1.5202014E+000, 6.0552744E+000,-1.6236985E-002
 1.5300405E+000, 6.0520016E+000,-1.3093524E-002
 1.5401073E+000, 6.1038275E+000,-4.6265795E-003
 1.5501289E+000, 6.2129231E+000, 4.2700156E-003
 1.5601363E+000, 6.2619756E+000, 8.6816144E-003
 1.5701243E+000, 6.2631372E+000, 2.2630352E-003
 1.5800512E+000, 6.2138119E+000, 2.2858043E-003
 1.5901910E+000, 6.2236521E+000, 1.3640292E-003
 1.6000609E+000, 6.1828649E+000,-4.5731001E-003
 1.6101323E+000, 6.1516258E+000,-3.1420332E-003
 1.6201094E+000, 6.2026447E+000, 1.2675817E-003
 1.6300315E+000, 6.1728950E+000,-9.0375558E-003
 1.6400434E+000, 6.0277951E+000,-2.5157958E-002
 1.6501467E+000, 5.8742542E+000,-3.6664766E-002
 1.6601073E+000, 5.8292370E+000,-3.8703562E-002
 1.6700077E+000, 5.7818713E+000,-4.0615798E-002
 1.6801233E+000, 5.7940523E+000,-4.4130043E-002
 1.6900287E+000, 5.7274689E+000,-4.6976141E-002
 1.7000616E+000, 5.8236692E+000,-2.6539138E-002
 1.7101163E+000, 6.0357428E+000,-7.6737864E-003
 1.7200391E+000, 6.1817233E+000, 1.7978901E-003
 1.7301499E+000, 6.2950778E+000, 2.0159510E-002
 1.7400595E+000, 6.5027761E+000, 3.6708586E-002
 1.7500414E+000, 6.5970839E+000, 4.0982778E-002
 1.7600415E+000, 6.5624875E+000, 3.2141953E-002
 1.7700301E+000, 6.5210425E+000, 3.5869635E-002
 1.7800696E+000, 6.5665508E+000, 3.4379572E-002
 1.7900523E+000, 6.5038510E+000, 2.4260185E-002
 1.8002318E+000, 6.3941079E+000, 1.8881838E-002
 1.8100307E+000, 6.3692979E+000, 1.3703815E-002
 1.8201482E+000, 6.3154870E+000, 1.0957509E-002
 1.8300903E+000, 6.3104811E+000, 9.6204939E-003
 1.8400313E+000, 6.2620934E+000, 4.0315756E-003
 1.8500710E+000, 6.2552654E+000, 9.0867338E-003
 1.8600425E+000, 6.2729874E+000, 3.0675777E-003
 1.8701963E+000, 6.1635985E+000,-9.8174991E-003
