m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib
 5.0000000E-002,-1.0595871E+000,NaN,NaN, 5.0000000E-002, 6.9686443E-001,NaN,NaN,NaN,NaN,NaN,NaN
 5.5000000E-002,-1.1315714E+000,NaN,NaN, 5.5000000E-002, 6.6115064E-001,NaN,NaN,NaN,NaN,NaN,NaN
 6.0000000E-002,-1.2035558E+000,NaN,NaN, 6.0000000E-002, 6.7361404E-001,NaN,NaN,NaN,NaN,NaN,NaN
 6.5000000E-002,-1.2485637E+000,NaN,NaN, 6.5000000E-002, 6.5654283E-001,NaN,NaN,NaN,NaN,NaN,NaN
 7.0000000E-002,-1.2935717E+000,NaN,NaN, 7.0000000E-002, 6.8264953E-001,NaN,NaN,NaN,NaN,NaN,NaN
 7.5000000E-002,-1.3329878E+000,NaN,NaN, 7.5000000E-002, 6.6112400E-001,NaN,NaN,NaN,NaN,NaN,NaN
 8.0000000E-002,-1.3724039E+000,NaN,NaN, 8.0000000E-002, 6.8037877E-001,NaN,NaN,NaN,NaN,NaN,NaN
 8.5000000E-002,-1.3802520E+000,NaN,NaN, 8.5000000E-002, 6.5948869E-001,NaN,NaN,NaN,NaN,NaN,NaN
 9.0000000E-002,-1.3881000E+000,NaN,NaN, 9.0000000E-002, 6.7863824E-001,NaN,NaN,NaN,NaN,NaN,NaN
 9.5000000E-002,-1.3940493E+000,NaN,NaN, 9.5000000E-002, 6.6531644E-001,NaN,NaN,NaN,NaN,NaN,NaN
 1.0000000E-001,-1.3999986E+000,NaN,NaN, 1.0000000E-001, 6.9257335E-001,NaN,NaN,NaN,NaN,NaN,NaN
 1.0500000E-001,-1.3619433E+000,NaN,NaN, 1.0500000E-001, 6.7917375E-001,NaN,NaN,NaN,NaN,NaN,NaN
 1.1000000E-001,-1.3238881E+000,NaN,NaN, 1.1000000E-001, 7.1056258E-001,NaN,NaN,NaN,NaN,NaN,NaN
 1.1500000E-001,-1.3183407E+000,NaN,NaN, 1.1500000E-001, 6.9786075E-001,NaN,NaN,NaN,NaN,NaN,NaN
 1.2000000E-001,-1.3127933E+000,NaN,NaN, 1.2000000E-001, 7.2417181E-001,NaN,NaN,NaN,NaN,NaN,NaN
 1.2500000E-001,-1.2097498E+000,NaN,NaN, 1.2500000E-001, 7.3308168E-001,NaN,NaN,NaN,NaN,NaN,NaN
 1.3000000E-001,-1.1067064E+000,NaN,NaN, 1.3000000E-001, 7.9250592E-001,NaN,NaN,NaN,NaN,NaN,NaN
 1.3500000E-001,-1.0911363E+000,NaN,NaN, 1.3500000E-001, 7.7655026E-001,NaN,NaN,NaN,NaN,NaN,NaN
 1.4000000E-001,-1.0755663E+000,NaN,NaN, 1.4000000E-001, 8.0148911E-001,NaN,NaN,NaN,NaN,NaN,NaN
 1.4500000E-001,-9.0780291E-001,NaN,NaN, 1.4500000E-001, 8.2932734E-001,NaN,NaN,NaN,NaN,NaN,NaN
 1.5000000E-001,-7.4003953E-001,NaN,NaN, 1.5000000E-001, 9.0603945E-001,NaN,NaN,NaN,NaN,NaN,NaN
 1.5500000E-001,-7.2154594E-001,NaN,NaN, 1.5500000E-001, 8.9689240E-001,NaN,NaN,NaN,NaN,NaN,NaN
 1.6000000E-001,-7.0305236E-001,NaN,NaN, 1.6000000E-001, 9.2712332E-001,NaN,NaN,NaN,NaN,NaN,NaN
 1.6500000E-001,-5.0777210E-001,NaN,NaN, 1.6500000E-001, 9.5038719E-001,NaN,NaN,NaN,NaN,NaN,NaN
 1.7000000E-001,-3.1249185E-001,NaN,NaN, 1.7000000E-001, 1.0249440E+000,NaN,NaN,NaN,NaN,NaN,NaN
 1.7500000E-001,-3.1249185E-001,NaN,NaN, 1.7500000E-001, 1.0249440E+000,NaN,NaN,NaN,NaN,NaN,NaN
