m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib
-1.2500000E-001, 2.3487952E+000,-1.5000000E-002, 5.8562635E+000,-1.2500000E-001, 2.2207861E+000,-1.5000000E-002, 2.0789827E+000, 3.0000000E-002, 0.0000000E+000, 3.0000000E-002, 0.0000000E+000
-1.2375000E-001, 2.3487952E+000,-1.3750000E-002, 4.5712254E+000,-1.2375000E-001, 2.2207861E+000,-1.3750000E-002, 2.5576861E+000, 3.1521739E-002,-2.4380266E+000, 3.1521739E-002, 2.3437525E+000
-1.2250000E-001, 2.3946375E+000,-1.2500000E-002, 3.3665802E+000,-1.2250000E-001, 2.1986094E+000,-1.2500000E-002, 2.6848175E+000, 3.3043478E-002,-4.5912360E-001, 3.3043478E-002, 2.7862996E+000
-1.2125000E-001, 2.4404798E+000,-1.1250000E-002, 2.1619349E+000,-1.2125000E-001, 2.2116175E+000,-1.1250000E-002, 3.1065397E+000, 3.4565217E-002, 1.8685301E+000, 3.4565217E-002, 3.3522995E+000
-1.2000000E-001, 2.4848366E+000,-1.0000000E-002, 1.4154985E+000,-1.2000000E-001, 2.1918861E+000,-1.0000000E-002, 2.9599067E+000, 3.6086957E-002, 4.4984345E+000, 3.6086957E-002, 4.2060584E+000
-1.1875000E-001, 2.5291934E+000,-8.7500000E-003, 6.6906198E-001,-1.1875000E-001, 2.2071850E+000,-8.7500000E-003, 3.1187029E+000, 3.7608696E-002, 6.8638555E+000, 3.7608696E-002, 3.7967876E+000
-1.1750000E-001, 2.5664087E+000,-7.5000000E-003, 3.2818561E-001,-1.1750000E-001, 2.1928936E+000,-7.5000000E-003, 2.8994369E+000, 3.9130435E-002, 8.9405048E+000, 3.9130435E-002, 3.5736149E+000
-1.1625000E-001, 2.6036240E+000,-6.2500000E-003,-1.2690770E-002,-1.1625000E-001, 2.2127436E+000,-6.2500000E-003, 2.9171144E+000, 4.0652174E-002, 1.0246053E+001, 4.0652174E-002, 2.8815015E+000
-1.1500000E-001, 2.6424087E+000,-5.0000000E-003,-1.6896161E-001,-1.1500000E-001, 2.1940259E+000,-5.0000000E-003, 2.7783040E+000, 4.2173913E-002, 1.1056818E+001, 4.2173913E-002, 2.3921372E+000
-1.1375000E-001, 2.6811935E+000,-3.7500000E-003,-3.2523245E-001,-1.1375000E-001, 2.2103506E+000,-3.7500000E-003, 2.8072299E+000, 4.3695652E-002, 1.1547428E+001, 4.3695652E-002, 2.0552432E+000
-1.1250000E-001, 2.7219162E+000,-2.5000000E-003,-4.0243298E-001,-1.1250000E-001, 2.1890136E+000,-2.5000000E-003, 2.7292980E+000, 4.5217391E-002, 1.1665608E+001, 4.5217391E-002, 1.7458716E+000
-1.1125000E-001, 2.7626390E+000,-1.2500000E-003,-4.7963351E-001,-1.1125000E-001, 2.2004997E+000,-1.2500000E-003, 2.7893856E+000, 4.6739130E-002, 1.1726371E+001, 4.6739130E-002, 1.6078922E+000
-1.1000000E-001, 2.8043458E+000, 0.0000000E+000,-5.1566368E-001,-1.1000000E-001, 2.1737989E+000, 0.0000000E+000, 2.7585099E+000, 4.8260870E-002, 1.1695043E+001, 4.8260870E-002, 1.5017750E+000
-1.0875000E-001, 2.8460527E+000, 1.2500000E-003,-5.5169386E-001,-1.0875000E-001, 2.1812330E+000, 1.2500000E-003, 2.8431274E+000, 4.9782609E-002, 1.1684973E+001, 4.9782609E-002, 1.5172334E+000
-1.0750000E-001, 2.8867155E+000, 2.5000000E-003,-5.1171358E-001,-1.0750000E-001, 2.1533431E+000, 2.5000000E-003, 2.8203271E+000, 5.1304348E-002, 1.1573633E+001, 5.1304348E-002, 1.4170767E+000
-1.0625000E-001, 2.9273784E+000, 3.7500000E-003,-4.7173330E-001,-1.0625000E-001, 2.1587573E+000, 3.7500000E-003, 2.9026152E+000, 5.2826087E-002, 1.1511370E+001, 5.2826087E-002, 1.3193471E+000
