s,m/s
Time,"Ub"
 0.0000000E+000,-1.5876786E-019
 1.0173461E-002, 2.4429774E-001
 2.0331874E-002, 6.5522664E-001
 3.0278197E-002, 1.0592955E+000
 4.0153115E-002, 1.4506186E+000
 5.0253254E-002, 1.8350935E+000
 6.0016628E-002, 2.2025440E+000
 7.0116609E-002, 2.5524157E+000
 8.0023323E-002, 2.8922172E+000
 9.0084033E-002, 3.2016001E+000
 1.0009413E-001, 3.4517963E+000
 1.1007677E-001, 3.7050034E+000
 1.2003819E-001, 3.9317133E+000
 1.3016562E-001, 4.1292164E+000
 1.4008360E-001, 4.2862894E+000
 1.5005956E-001, 4.4316384E+000
 1.6003553E-001, 4.5912470E+000
 1.7009210E-001, 4.7415920E+000
 1.8009162E-001, 4.8756659E+000
 1.9001470E-001, 4.9912545E+000
 2.0008961E-001, 5.1371079E+000
 2.1004814E-001, 5.2786103E+000
 2.2001221E-001, 5.4441305E+000
 2.3006353E-001, 5.6393848E+000
 2.4009276E-001, 5.8233996E+000
 2.5006132E-001, 5.9434711E+000
 2.6006516E-001, 5.9619501E+000
 2.7003427E-001, 5.9765453E+000
 2.8007032E-001, 5.9857097E+000
 2.9005908E-001, 5.9714383E+000
 3.0008838E-001, 6.0419878E+000
 3.1000892E-001, 6.1122188E+000
 3.2006653E-001, 6.1617710E+000
 3.3003962E-001, 6.2335350E+000
 3.4007206E-001, 6.2260669E+000
 3.5005501E-001, 6.2248987E+000
 3.6006185E-001, 6.3208313E+000
 3.7008445E-001, 6.3922803E+000
 3.8002682E-001, 6.3635693E+000
 3.9000049E-001, 6.3986922E+000
 4.0003595E-001, 6.4816749E+000
 4.1002554E-001, 6.5168883E+000
 4.2004233E-001, 6.4894798E+000
 4.3003052E-001, 6.4986723E+000
 4.4007064E-001, 6.5080096E+000
 4.5000596E-001, 6.4925290E+000
 4.6000324E-001, 6.4811508E+000
 4.7006139E-001, 6.4207195E+000
 4.8000144E-001, 6.4015796E+000
 4.9004275E-001, 6.4304499E+000
 5.0003607E-001, 6.4634959E+000
 5.1001140E-001, 6.5205764E+000
 5.2005858E-001, 6.6241613E+000
 5.3007179E-001, 6.6812288E+000
