s,m/s,
Time,Ub,FORCE X
 0.0000000E+000, 9.3105862E-020,-6.2000000E-001
 1.2622625E-002, 9.8637850E-003,-6.1848340E-001
 2.4190012E-002, 4.1451946E-002,-6.1469217E-001
 3.0794557E-002, 8.2130981E-002,-6.1066422E-001
 4.1148767E-002, 1.5441084E-001,-5.9909094E-001
 5.0453402E-002, 3.0421780E-001,-5.8028487E-001
 6.0216193E-002, 5.5792618E-001,-5.4724899E-001
 7.0166562E-002, 9.8527979E-001,-4.9376084E-001
 8.0039457E-002, 1.6411313E+000,-4.1496559E-001
 9.0103955E-002, 2.5916172E+000,-3.0250806E-001
 1.0000195E-001, 3.8823387E+000,-1.5721605E-001
 1.1000947E-001, 5.4006672E+000,-7.7090079E-003
 1.2001081E-001, 6.7490575E+000, 1.1081798E-001
 1.3000034E-001, 7.6895608E+000, 1.7671689E-001
 1.4002627E-001, 8.0150668E+000, 1.7557222E-001
 1.5001068E-001, 7.7228796E+000, 1.2433810E-001
 1.6002249E-001, 7.1014948E+000, 5.5358008E-002
 1.7000123E-001, 6.3569419E+000,-2.5047949E-002
 1.8003732E-001, 5.6467383E+000,-7.4636790E-002
 1.9005055E-001, 5.4293578E+000,-7.5916570E-002
 2.0004229E-001, 5.4371160E+000,-7.2858142E-002
 2.1004362E-001, 5.5707946E+000,-4.6963325E-002
 2.2000336E-001, 5.9024884E+000,-1.6171556E-002
 2.3005077E-001, 6.1182414E+000,-1.1487066E-003
 2.4002672E-001, 6.2288862E+000, 4.3231540E-003
 2.5002660E-001, 6.2845736E+000, 1.5181110E-002
 2.6003117E-001, 6.3821043E+000, 2.1845363E-002
 2.7004956E-001, 6.4495446E+000, 2.7305647E-002
 2.8001107E-001, 6.4615113E+000, 2.4542687E-002
 2.9001741E-001, 6.3812556E+000, 1.1242459E-002
 3.0004874E-001, 6.2398152E+000,-1.0055176E-003
 3.1005562E-001, 6.1474439E+000,-7.0166558E-003
 3.2002677E-001, 6.1093052E+000,-9.9675958E-003
 3.3000426E-001, 6.1339894E+000,-3.7800186E-003
 3.4003372E-001, 6.1304857E+000,-1.2072502E-002
 3.5002734E-001, 6.0827669E+000,-7.9364956E-003
 3.6002441E-001, 6.2182179E+000, 1.1299757E-002
 3.7000782E-001, 6.3513653E+000, 1.4592421E-002
 3.8000674E-001, 6.2723243E+000,-2.1796689E-005
 3.9000644E-001, 6.1651905E+000,-1.5152722E-003
 4.0003780E-001, 6.2281885E+000, 6.5046343E-003
 4.1005548E-001, 6.2661092E+000, 4.9875101E-003
 4.2004662E-001, 6.2438178E+000, 3.6010411E-003
 4.3000488E-001, 6.2269713E+000,-4.2214254E-004
 4.4001463E-001, 6.1579527E+000,-5.8277238E-003
 4.5004807E-001, 6.1380097E+000,-6.9260814E-003
 4.6004298E-001, 6.1174237E+000,-1.0032265E-002
 4.7003279E-001, 6.0387613E+000,-2.2339291E-002
 4.8001067E-001, 5.9594971E+000,-2.2934640E-002
 4.9004062E-001, 6.0031240E+000,-1.8580014E-002
 5.0004267E-001, 5.9942136E+000,-2.1449354E-002
 5.1001270E-001, 6.1032782E+000, 8.1831203E-003
 5.2005226E-001, 6.4469059E+000, 3.6750495E-002
 5.3001718E-001, 6.5936425E+000, 3.5261067E-002
 5.4000307E-001, 6.4419413E+000, 1.5040870E-002
 5.5003866E-001, 6.3535534E+000, 1.9647752E-002
 5.6000678E-001, 6.3926062E+000, 1.3950322E-002
 5.7001481E-001, 6.2458227E+000,-3.5154960E-003
 5.8002614E-001, 6.1068507E+000,-1.1495365E-002
 5.9000580E-001, 6.0711244E+000,-1.1139233E-002
 6.0001681E-001, 6.0987511E+000,-1.2513381E-002
 6.1002586E-001, 6.0276177E+000,-2.3339510E-002
