m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib
-1.2500000E-001, 1.2920566E+000,-1.5000000E-002, 4.4686470E+000,-1.2500000E-001, 2.4390303E+000,-1.5000000E-002, 2.1839953E+000, 3.0000000E-002, 0.0000000E+000, 3.0000000E-002, 0.0000000E+000
-1.2250000E-001, 1.2920566E+000,-1.2500000E-002, 2.4304556E+000,-1.2250000E-001, 2.4390303E+000,-1.2500000E-002, 2.8134573E+000, 3.2500000E-002,-1.1032177E+000, 3.2500000E-002, 2.4566095E+000
-1.2000000E-001, 1.3837225E+000,-1.0000000E-002, 1.4151241E+000,-1.2000000E-001, 2.4310597E+000,-1.0000000E-002, 2.7760302E+000, 3.5000000E-002, 2.4789912E+000, 3.5000000E-002, 2.5437980E+000
-1.1750000E-001, 1.4753884E+000,-7.5000000E-003, 3.9979264E-001,-1.1750000E-001, 2.4726694E+000,-7.5000000E-003, 2.9972519E+000, 3.7500000E-002, 6.0612001E+000, 3.7500000E-002, 3.6988451E+000
-1.1500000E-001, 1.6216154E+000,-5.0000000E-003, 1.0874886E-002,-1.1500000E-001, 2.4125405E+000,-5.0000000E-003, 2.6994523E+000, 4.0000000E-002, 8.3294957E+000, 4.0000000E-002, 2.7327576E+000
-1.1250000E-001, 1.7678424E+000,-2.5000000E-003,-3.7804287E-001,-1.1250000E-001, 2.4099739E+000,-2.5000000E-003, 2.6224386E+000, 4.2500000E-002, 1.0597791E+001, 4.2500000E-002, 2.2259240E+000
-1.1000000E-001, 1.8624927E+000, 0.0000000E+000,-3.8677589E-001,-1.1000000E-001, 2.4000743E+000, 0.0000000E+000, 2.3622363E+000, 4.5000000E-002, 1.1140336E+001, 4.5000000E-002, 1.7691798E+000
-1.0750000E-001, 1.9571430E+000, 2.5000000E-003,-3.9550892E-001,-1.0750000E-001, 2.4405120E+000, 2.5000000E-003, 2.2790254E+000, 4.7500000E-002, 1.1682881E+001, 4.7500000E-002, 1.5950464E+000
-1.0500000E-001, 2.0790121E+000, 5.0000000E-003,-3.8793539E-001,-1.0500000E-001, 2.3969963E+000, 5.0000000E-003, 2.0986078E+000, 5.0000000E-002, 1.1709910E+001, 5.0000000E-002, 1.4158524E+000
