s,m/s,
Time,Ub,FORCE X
 1.0600905E+000, 6.5991566E+000, 3.9636186E-002
 1.0700473E+000, 6.5771225E+000, 3.4039107E-002
 1.0800333E+000, 6.4179290E+000, 9.1234504E-003
 1.0900674E+000, 6.2340820E+000, 3.0833908E-003
 1.1000190E+000, 6.2134940E+000, 1.5204557E-003
 1.1100356E+000, 6.2071281E+000,-1.4854435E-003
 1.1200522E+000, 6.1673092E+000,-6.3245199E-003
 1.1300086E+000, 6.1512948E+000,-1.6107378E-003
 1.1400991E+000, 6.2064933E+000, 1.4012050E-003
 1.1500016E+000, 6.2005773E+000,-1.1035022E-003
 1.1600956E+000, 6.1353669E+000,-1.2757813E-002
 1.1701123E+000, 6.0551970E+000,-1.3894785E-002
 1.1800337E+000, 6.0921022E+000,-1.1218374E-002
 1.1900631E+000, 6.0499480E+000,-1.9561743E-002
 1.2000461E+000, 5.9724411E+000,-2.4934537E-002
 1.2100178E+000, 6.0033539E+000,-1.3509737E-002
 1.2200477E+000, 6.0945217E+000,-1.0972787E-002
 1.2300787E+000, 6.1230940E+000, 1.3762525E-004
 1.2400905E+000, 6.3286510E+000, 2.2580073E-002
 1.2500596E+000, 6.4812844E+000, 3.2864744E-002
 1.2600537E+000, 6.5435703E+000, 3.2168390E-002
 1.2700755E+000, 6.5101560E+000, 3.4017395E-002
 1.2800972E+000, 6.5826839E+000, 4.0380940E-002
 1.2900047E+000, 6.5702087E+000, 3.2600005E-002
 1.3000598E+000, 6.4123756E+000, 6.8938159E-003
 1.3101019E+000, 6.1594219E+000,-9.5400550E-003
 1.3200974E+000, 6.0339757E+000,-2.0897598E-002
 1.3300981E+000, 5.9666787E+000,-2.6665219E-002
 1.3401092E+000, 5.9264297E+000,-2.5841013E-002
 1.3500925E+000, 5.9433889E+000,-2.8642505E-002
 1.3600013E+000, 5.8645806E+000,-3.3067764E-002
 1.3701013E+000, 5.9648505E+000,-1.6291869E-002
 1.3801145E+000, 6.0521250E+000,-1.6995846E-002
 1.3900906E+000, 5.9907926E+000,-2.4487372E-002
 1.4000165E+000, 5.9734387E+000,-1.7859254E-002
 1.4100599E+000, 6.1407755E+000, 3.2416243E-003
 1.4200703E+000, 6.2096574E+000,-4.6816570E-003
 1.4300392E+000, 6.1417662E+000,-7.0085678E-003
 1.4400906E+000, 6.1513426E+000, 1.0109857E-003
 1.4500501E+000, 6.2484804E+000, 3.5619054E-003
 1.4600030E+000, 6.2511860E+000, 1.3579360E-002
 1.4700492E+000, 6.4363501E+000, 2.9379191E-002
 1.4800101E+000, 6.5284837E+000, 3.7462295E-002
 1.4900289E+000, 6.5303062E+000, 2.8704877E-002
 1.5000521E+000, 6.4706191E+000, 2.2741875E-002
 1.5100881E+000, 6.3675412E+000, 1.4169962E-002
 1.5200825E+000, 6.3355157E+000, 1.2515823E-002
 1.5300206E+000, 6.2837772E+000, 4.5447046E-003
 1.5400911E+000, 6.1520510E+000,-1.0026287E-002
 1.5501145E+000, 6.0836872E+000,-1.4166575E-002
 1.5600347E+000, 5.9714269E+000,-3.0318749E-002
 1.5700313E+000, 5.8670439E+000,-3.7701194E-002
 1.5800680E+000, 5.7456702E+000,-4.8582528E-002
 1.5901047E+000, 5.7963913E+000,-3.4441362E-002
 1.6000428E+000, 5.8891969E+000,-2.6220752E-002
 1.6100379E+000, 5.9736946E+000,-1.5809379E-002
 1.6200647E+000, 6.1706687E+000, 9.5884929E-003
 1.6301049E+000, 6.3319824E+000, 1.3657952E-002
 1.6400222E+000, 6.3527058E+000, 1.7722845E-002
 1.6500067E+000, 6.4383822E+000, 2.8213423E-002
 1.6600346E+000, 6.4370738E+000, 1.8382902E-002
 1.6700300E+000, 6.3212215E+000, 9.9823740E-004
 1.6801009E+000, 6.1039952E+000,-1.4676304E-002
 1.6900404E+000, 5.9992941E+000,-2.2906247E-002
 1.7000471E+000, 6.0446080E+000,-4.6693802E-003
 1.7100684E+000, 6.1986499E+000, 3.2075736E-003
 1.7200527E+000, 6.2307827E+000, 3.4641204E-003
 1.7300231E+000, 6.2691426E+000, 1.3198432E-002
 1.7400440E+000, 6.4146637E+000, 2.8488664E-002
 1.7500935E+000, 6.5141372E+000, 3.2375505E-002
 1.7600170E+000, 6.4597697E+000, 1.8456971E-002
 1.7701031E+000, 6.3650187E+000, 1.9877494E-002
 1.7800516E+000, 6.3987012E+000, 1.7722965E-002
 1.7900381E+000, 6.3985493E+000, 2.1333757E-002
 1.8000350E+000, 6.4362491E+000, 2.4537845E-002
 1.8100182E+000, 6.4210398E+000, 1.7284147E-002
 1.8200050E+000, 6.2884916E+000, 2.4686586E-005
 1.8300139E+000, 6.1337593E+000,-1.1829913E-002
 1.8400418E+000, 6.0609477E+000,-1.5772630E-002
 1.8500316E+000, 6.0844049E+000,-1.0344363E-002
 1.8600113E+000, 6.0332419E+000,-2.4443418E-002
 1.8700226E+000, 5.9283425E+000,-2.3440216E-002
 1.8800847E+000, 6.0012102E+000,-1.8555127E-002
 1.8900555E+000, 6.0331967E+000,-1.5587838E-002
 1.9000453E+000, 6.0446855E+000,-1.4849942E-002
 1.9100174E+000, 6.0790067E+000,-8.6633164E-003
 1.9200763E+000, 6.1423075E+000,-2.0914169E-003
 1.9300264E+000, 6.2116932E+000, 3.9832910E-003
 1.9400374E+000, 6.2294372E+000, 1.6368169E-003
 1.9500579E+000, 6.2490581E+000, 1.1145778E-002
 1.9600385E+000, 6.3019089E+000, 8.6906129E-003
 1.9700603E+000, 6.3214769E+000, 1.2512644E-002
 1.9800603E+000, 6.3079516E+000, 1.0229983E-002
 1.9900882E+000, 6.3071501E+000, 1.0004177E-002
 2.0001231E+000, 6.2753675E+000, 4.9453940E-003
 2.0100728E+000, 6.2685580E+000, 8.7437524E-003
 2.0200110E+000, 6.3044705E+000, 1.4060410E-002
 2.0300444E+000, 6.3491898E+000, 1.2146086E-002
 2.0400520E+000, 6.2512484E+000,-2.5164029E-005
 2.0500199E+000, 6.2237587E+000, 4.7675160E-003
 2.0600563E+000, 6.2003401E+000,-6.6651636E-003
 2.0701032E+000, 6.0241709E+000,-2.8320646E-002
 2.0800523E+000, 5.8438142E+000,-4.1785520E-002
 2.0900845E+000, 5.7789618E+000,-4.1501208E-002
 2.1001022E+000, 5.8565988E+000,-2.4999035E-002
 2.1100709E+000, 6.0396916E+000,-8.8144136E-003
 2.1201224E+000, 6.1827766E+000, 5.2244781E-003
 2.1300791E+000, 6.3696717E+000, 2.8196554E-002
 2.1400854E+000, 6.5221521E+000, 3.1278577E-002
 2.1500653E+000, 6.4958138E+000, 2.8999584E-002
 2.1601241E+000, 6.5078662E+000, 3.1126106E-002
 2.1700278E+000, 6.4943496E+000, 2.6107408E-002
 2.1800409E+000, 6.4047441E+000, 1.8169761E-002
 2.1900984E+000, 6.3845219E+000, 1.8207270E-002
 2.2000777E+000, 6.3621387E+000, 1.3453603E-002
 2.2100010E+000, 6.2967566E+000, 4.6729980E-003
 2.2200359E+000, 6.1579479E+000,-1.2743350E-002
 2.2300591E+000, 5.9490717E+000,-3.6189620E-002
 2.2400706E+000, 5.7821002E+000,-4.4144644E-002
 2.2500704E+000, 5.7938806E+000,-3.6291543E-002
 2.2600703E+000, 5.8768977E+000,-2.9692373E-002
 2.2700220E+000, 5.9505743E+000,-1.9303728E-002
 2.2800521E+000, 6.0688390E+000,-6.4716213E-003
 2.2900456E+000, 6.1915727E+000, 3.8718857E-003
 2.3000531E+000, 6.2932446E+000, 1.7659637E-002
 2.3100387E+000, 6.4258984E+000, 2.7233569E-002
 2.3200133E+000, 6.5085564E+000, 3.2257767E-002
 2.3300664E+000, 6.4880606E+000, 2.8371248E-002
 2.3400081E+000, 6.4279076E+000, 1.4216075E-002
 2.3500850E+000, 6.2478439E+000,-3.7440694E-003
 2.3601052E+000, 6.1332257E+000,-1.0924626E-002
 2.3700604E+000, 6.1016572E+000,-4.9491922E-003
 2.3801101E+000, 6.1961445E+000, 2.9511420E-003
 2.3900827E+000, 6.2400688E+000, 2.7494885E-004
 2.4000631E+000, 6.1513754E+000,-8.7265882E-003
 2.4101009E+000, 6.0227925E+000,-2.6862847E-002
 2.4200405E+000, 5.8645606E+000,-3.8018174E-002
 2.4300442E+000, 5.8337975E+000,-3.2168582E-002
 2.4400506E+000, 5.9681633E+000,-1.3543671E-002
 2.4500370E+000, 6.1266243E+000,-1.2064759E-003
 2.4600809E+000, 6.2577507E+000, 1.2986925E-002
