s,m/s,
Time,Ub,FORCE X
 0.0000000E+000, 2.8622937E-019,-6.2000000E-001
 5.0490499E-002, 3.6291443E-002,-6.1637086E-001
 8.5875113E-002, 1.1207353E-001,-6.0879265E-001
 1.0429209E-001, 1.7716556E-001,-6.0228344E-001
 1.1928122E-001, 2.5047990E-001,-5.9495201E-001
 1.3121732E-001, 3.2443159E-001,-5.8755684E-001
 1.4045681E-001, 3.9328346E-001,-5.8067165E-001
 1.4819480E-001, 4.6041835E-001,-5.7395816E-001
 1.5488760E-001, 5.2651198E-001,-5.6734880E-001
 1.6083194E-001, 5.9223884E-001,-5.6077612E-001
 1.6677628E-001, 6.6227901E-001,-5.5377210E-001
 1.7164411E-001, 7.2521673E-001,-5.4747833E-001
 1.7651194E-001, 7.9159640E-001,-5.4084036E-001
 1.8077872E-001, 8.5450257E-001,-5.3454974E-001
 1.8504549E-001, 9.2022659E-001,-5.2797734E-001
 1.8885900E-001, 9.8291038E-001,-5.2170896E-001
 1.9267252E-001, 1.0478298E+000,-5.1521702E-001
 1.9648603E-001, 1.1147932E+000,-5.0852068E-001
 1.9973494E-001, 1.1747803E+000,-5.0252197E-001
 2.0298385E-001, 1.2363818E+000,-4.9636182E-001
 2.0623276E-001, 1.2995042E+000,-4.9004958E-001
 2.1190315E-001, 1.3863625E+000,-4.7842520E-001
 2.2228212E-001, 1.5569512E+000,-4.5556724E-001
 2.3156755E-001, 1.7812289E+000,-4.3347410E-001
 2.4173155E-001, 2.0185999E+000,-4.0770334E-001
 2.5097124E-001, 2.2696820E+000,-3.8311598E-001
 2.6097838E-001, 2.5285473E+000,-3.5560338E-001
 2.7024482E-001, 2.7948512E+000,-3.2973202E-001
 2.8003183E-001, 3.0595529E+000,-3.0232252E-001
 2.9018637E-001, 3.3353478E+000,-2.7418438E-001
 3.0079966E-001, 3.6179959E+000,-2.4552958E-001
 3.1051700E-001, 3.8862579E+000,-2.2017087E-001
 3.2046953E-001, 4.1382970E+000,-1.9478771E-001
 3.3021749E-001, 4.3892402E+000,-1.6977410E-001
 3.4004007E-001, 4.6450036E+000,-1.4331637E-001
 3.5012053E-001, 4.9308530E+000,-1.1191105E-001
 3.6013320E-001, 5.2933938E+000,-7.0525603E-002
 3.7019862E-001, 5.7807691E+000,-1.5271941E-002
 3.8051086E-001, 6.3802140E+000, 4.7269572E-002
 3.9010413E-001, 6.9567166E+000, 9.8579066E-002
 4.0023868E-001, 7.3966980E+000, 1.3670523E-001
 4.1036521E-001, 7.6572475E+000, 1.4825942E-001
 4.2028938E-001, 7.6705723E+000, 1.4614903E-001
 4.3021355E-001, 7.6654796E+000, 1.4620683E-001
 4.4013773E-001, 7.6674588E+000, 1.4822561E-001
 4.5006190E-001, 7.7424737E+000, 1.6230306E-001
 4.6043717E-001, 7.9190522E+000, 1.8109707E-001
 4.7045156E-001, 8.1173559E+000, 2.0113677E-001
 4.8037573E-001, 8.1234703E+000, 1.7374833E-001
 4.9046257E-001, 7.7024372E+000, 1.2544619E-001
 5.0038879E-001, 7.1728391E+000, 7.4150927E-002
 5.1031500E-001, 6.7929981E+000, 4.8052411E-002
 5.2024122E-001, 6.5898284E+000, 3.0859846E-002
 5.3012017E-001, 6.4449236E+000, 2.0786499E-002
 5.4051906E-001, 6.4331862E+000, 2.6170998E-002
 5.5039801E-001, 6.3620168E+000,-1.2349074E-003
 5.6027695E-001, 5.9401961E+000,-5.0419464E-002
 5.7025989E-001, 5.4787426E+000,-8.8102905E-002
 5.8055479E-001, 5.2211641E+000,-1.0276366E-001
 5.9044934E-001, 5.1820216E+000,-9.9794440E-002
 6.0051547E-001, 5.1525641E+000,-1.1322839E-001
 6.1058159E-001, 4.9793864E+000,-1.2552377E-001
 6.2001859E-001, 4.9491457E+000,-1.2433473E-001
 6.3008472E-001, 5.0155148E+000,-1.1139583E-001
 6.4015084E-001, 5.1165824E+000,-1.0921162E-001
 6.5021697E-001, 5.0455711E+000,-1.2105314E-001
 6.6028310E-001, 4.9063916E+000,-1.3587744E-001
 6.7028631E-001, 4.8330793E+000,-1.3575831E-001
 6.8066701E-001, 4.8486685E+000,-1.3612884E-001
 6.9038100E-001, 4.8130781E+000,-1.4095587E-001
 7.0057748E-001, 4.7577548E+000,-1.4603050E-001
 7.1009420E-001, 4.7783050E+000,-1.3598149E-001
 7.2029068E-001, 4.9655519E+000,-1.1242670E-001
 7.3048716E-001, 5.2000855E+000,-8.7704031E-002
 7.4000388E-001, 5.5028016E+000,-5.2493706E-002
 7.5020036E-001, 5.9090104E+000,-8.9999541E-003
 7.6011851E-001, 6.2879131E+000, 2.0919354E-002
 7.7049164E-001, 6.5346024E+000, 4.5416010E-002
 7.8025458E-001, 6.7629699E+000, 6.4537268E-002
 7.9029718E-001, 6.8799869E+000, 6.6811059E-002
 8.0007101E-001, 6.8458819E+000, 6.4778666E-002
 8.1038783E-001, 6.9070402E+000, 7.6514101E-002
 8.2016166E-001, 7.0394671E+000, 9.1649127E-002
 8.3047848E-001, 7.2565885E+000, 1.1952458E-001
 8.4025231E-001, 7.5422901E+000, 1.4687268E-001
 8.5043357E-001, 7.7863665E+000, 1.6503481E-001
 8.6041294E-001, 7.6922224E+000, 1.2519368E-001
 8.7039231E-001, 7.1853346E+000, 7.7146339E-002
 8.8037168E-001, 6.8302545E+000, 5.2439279E-002
 8.9035105E-001, 6.6343298E+000, 3.6559966E-002
 9.0023538E-001, 6.5609815E+000, 4.0336365E-002
 9.1016723E-001, 6.6810139E+000, 5.1130622E-002
 9.2009908E-001, 6.6660003E+000, 3.9809896E-002
 9.3003093E-001, 6.4894523E+000, 1.6184187E-002
 9.4048551E-001, 6.1646746E+000,-2.1617722E-002
 9.5041736E-001, 5.8150481E+000,-5.1094086E-002
 9.6055830E-001, 5.6214610E+000,-6.2131567E-002
 9.7033333E-001, 5.5149938E+000,-7.5539196E-002
 9.8010836E-001, 5.3979007E+000,-8.1825161E-002
 9.9045839E-001, 5.4242532E+000,-7.1950679E-002
 1.0002909E+000, 5.5225208E+000,-6.5058454E-002
 1.0104110E+000, 5.5654056E+000,-6.3144557E-002
 1.0205310E+000, 5.5760641E+000,-6.2334648E-002
 1.0300185E+000, 5.5975160E+000,-5.7260870E-002
 1.0401386E+000, 5.6641325E+000,-5.0980640E-002
 1.0501459E+000, 5.6780232E+000,-5.5923899E-002
 1.0601504E+000, 5.6010894E+000,-6.2674487E-002
 1.0704298E+000, 5.5891082E+000,-5.4866610E-002
 1.0801045E+000, 5.7587116E+000,-3.4719010E-002
 1.0903839E+000, 5.9824891E+000,-1.0133859E-002
 1.1000586E+000, 6.1785429E+000, 4.4976734E-003
 1.1103380E+000, 6.3244967E+000, 1.9005920E-002
 1.1200788E+000, 6.4335066E+000, 2.4971030E-002
 1.1303700E+000, 6.3763791E+000, 8.2022053E-003
 1.1403411E+000, 6.1829633E+000,-7.7298983E-003
 1.1503123E+000, 6.1348064E+000,-4.3109899E-003
 1.1602835E+000, 6.1846198E+000, 2.5008376E-003
 1.1702547E+000, 6.3130112E+000, 2.1826505E-002
 1.1802259E+000, 6.5815788E+000, 5.1957809E-002
 1.1901971E+000, 6.8284735E+000, 7.0710376E-002
 1.2001682E+000, 6.9407651E+000, 7.6031690E-002
 1.2100594E+000, 6.9387635E+000, 6.9112372E-002
 1.2200524E+000, 6.8010291E+000, 5.0630923E-002
 1.2300454E+000, 6.5483023E+000, 2.0281483E-002
 1.2400384E+000, 6.2859708E+000,-2.6994679E-003
 1.2500315E+000, 6.0681606E+000,-2.2305766E-002
 1.2604384E+000, 5.8674523E+000,-4.0683662E-002
 1.2704008E+000, 5.7503888E+000,-4.8474947E-002
 1.2803257E+000, 5.6613020E+000,-6.1211370E-002
 1.2905608E+000, 5.4392116E+000,-8.9201262E-002
 1.3002272E+000, 5.1989496E+000,-1.0644928E-001
 1.3104622E+000, 5.1234761E+000,-1.0771717E-001
 1.3201286E+000, 5.1243393E+000,-1.0786994E-001
 1.3304421E+000, 5.0877541E+000,-1.1329254E-001
 1.3405498E+000, 5.0833514E+000,-1.0628017E-001
 1.3503206E+000, 5.2867201E+000,-7.6979485E-002
 1.3602038E+000, 5.5681787E+000,-5.2227788E-002
 1.3700869E+000, 5.7650705E+000,-3.6034330E-002
 1.3805877E+000, 5.8886625E+000,-3.0384516E-002
 1.3904708E+000, 5.8951915E+000,-2.8800450E-002
 1.4003540E+000, 5.9322330E+000,-2.4707776E-002
 1.4101711E+000, 5.9528854E+000,-2.5642789E-002
 1.4201014E+000, 5.9505348E+000,-2.0652728E-002
 1.4300317E+000, 6.0910284E+000,-8.5978045E-004
 1.4402252E+000, 6.3242000E+000, 2.3891479E-002
 1.4500059E+000, 6.5873000E+000, 5.3580846E-002
 1.4603299E+000, 6.8227376E+000, 6.6997527E-002
 1.4704314E+000, 6.9466585E+000, 8.0413334E-002
 1.4804537E+000, 7.0446198E+000, 8.9513604E-002
 1.4904761E+000, 7.0928005E+000, 8.3381180E-002
 1.5004984E+000, 6.9635054E+000, 7.2833034E-002
 1.5105208E+000, 6.9793152E+000, 8.6079183E-002
 1.5200156E+000, 7.1158653E+000, 9.3507643E-002
 1.5300380E+000, 7.2063698E+000, 1.1201037E-001
 1.5403815E+000, 7.4910210E+000, 1.3870920E-001
 1.5501396E+000, 7.5143106E+000, 1.1791019E-001
 1.5604340E+000, 7.1496631E+000, 7.6993336E-002
 1.5701466E+000, 6.8439499E+000, 5.2649713E-002
 1.5804857E+000, 6.6158064E+000, 3.3524865E-002
 1.5903326E+000, 6.5330265E+000, 3.3354739E-002
 1.6001794E+000, 6.4859778E+000, 2.1545812E-002
 1.6100262E+000, 6.3198499E+000, 6.3814209E-003
 1.6200700E+000, 6.1639608E+000,-1.5523585E-002
 1.6303599E+000, 5.8177479E+000,-6.0657151E-002
 1.6401083E+000, 5.3887296E+000,-9.7158238E-002
 1.6500191E+000, 5.1218459E+000,-1.1465918E-001
 1.6601465E+000, 4.9567127E+000,-1.3398768E-001
 1.6705719E+000, 4.7221009E+000,-1.5826184E-001
 1.6804015E+000, 4.5812830E+000,-1.6215642E-001
 1.6902311E+000, 4.6027015E+000,-1.5701866E-001
 1.7004422E+000, 4.6910609E+000,-1.4353897E-001
 1.7101696E+000, 4.8974024E+000,-1.1559755E-001
 1.7205919E+000, 5.2694651E+000,-7.3814605E-002
 1.7302365E+000, 5.6250322E+000,-4.4822203E-002
 1.7400292E+000, 5.8369737E+000,-3.0993878E-002
 1.7504340E+000, 5.9830547E+000,-1.1095909E-002
 1.7602267E+000, 6.2188151E+000, 1.2971757E-002
 1.7700194E+000, 6.4351578E+000, 3.0244067E-002
