s,m/s,
Time,Ub,FORCE X
 0.0000000E+000, 9.3105862E-020,-6.2000000E-001
 1.2622625E-002, 9.8638037E-003,-6.1848340E-001
 2.3478197E-002, 3.9485923E-002,-6.1497978E-001
 3.1676551E-002, 8.4257300E-002,-6.0949128E-001
 4.0173999E-002, 1.6244433E-001,-5.9875286E-001
 5.0064290E-002, 3.2447221E-001,-5.7556966E-001
 6.0074254E-002, 6.4841629E-001,-5.3208385E-001
 7.0132191E-002, 1.2320269E+000,-4.5672597E-001
 8.0002032E-002, 2.1776799E+000,-3.4212610E-001
 9.0055841E-002, 3.5536114E+000,-1.8098851E-001
 1.0000447E-001, 5.3081895E+000,-1.4913335E-003
 1.1001417E-001, 6.9578923E+000, 1.4124438E-001
 1.2001413E-001, 8.0215948E+000, 2.0824183E-001
 1.3001409E-001, 8.2717636E+000, 1.9485693E-001
 1.4003825E-001, 7.8500978E+000, 1.3079741E-001
 1.5002278E-001, 7.0712323E+000, 4.0800485E-002
 1.6000458E-001, 6.1614318E+000,-4.7011169E-002
 1.7004047E-001, 5.4043639E+000,-1.0781302E-001
 1.8005220E-001, 4.9411906E+000,-1.3498755E-001
 1.9002543E-001, 4.9090011E+000,-1.1751902E-001
 2.0004900E-001, 5.2514748E+000,-6.8487507E-002
 2.1002076E-001, 5.7955754E+000,-1.4453812E-002
 2.2002614E-001, 6.2851680E+000, 2.9602072E-002
 2.3003393E-001, 6.6545131E+000, 5.8006904E-002
 2.4001044E-001, 6.8275047E+000, 6.2573592E-002
 2.5001534E-001, 6.6922359E+000, 3.1835941E-002
 2.6004104E-001, 6.3559146E+000,-4.3876697E-005
 2.7004804E-001, 6.0277838E+000,-3.1993017E-002
 2.8001627E-001, 5.8132660E+000,-4.2500831E-002
 2.9003761E-001, 5.7976277E+000,-3.7745722E-002
 3.0000787E-001, 5.8727637E+000,-2.7252842E-002
 3.1001709E-001, 6.0039299E+000,-1.0215892E-002
 3.2003840E-001, 6.2280544E+000, 1.1854899E-002
 3.3002635E-001, 6.3939544E+000, 2.7307937E-002
 3.4003584E-001, 6.5064847E+000, 3.0847923E-002
 3.5002724E-001, 6.4108791E+000, 7.7835092E-003
 3.6000544E-001, 6.1578519E+000,-1.2795938E-002
 3.7000351E-001, 6.0452589E+000,-1.6301009E-002
 3.8001678E-001, 6.0381583E+000,-1.4686508E-002
 3.9002279E-001, 6.1092923E+000,-2.1266061E-003
 4.0003265E-001, 6.2804297E+000, 1.6970188E-002
 4.1003973E-001, 6.4139835E+000, 2.3746348E-002
 4.2004268E-001, 6.3875323E+000, 1.3370651E-002
 4.3001509E-001, 6.2800799E+000, 2.7006862E-003
 4.4000728E-001, 6.1951383E+000,-4.4331956E-003
 4.5003016E-001, 6.1294976E+000,-9.2871080E-003
 4.6001182E-001, 6.0738502E+000,-1.5482186E-002
 4.7003189E-001, 6.0326969E+000,-1.5975706E-002
 4.8002523E-001, 6.1096621E+000,-3.6197363E-003
 4.9001317E-001, 6.1689637E+000,-3.2364565E-003
 5.0003710E-001, 6.2031938E+000, 6.0577410E-003
 5.1000219E-001, 6.3186870E+000, 1.5467916E-002
 5.2003022E-001, 6.3243188E+000, 5.4728591E-003
 5.3003674E-001, 6.1601489E+000,-1.1930829E-002
 5.4000323E-001, 6.0562441E+000,-1.4386720E-002
 5.5002806E-001, 6.1054263E+000,-5.3716340E-003
 5.6003625E-001, 6.1992876E+000, 4.2176046E-003
 5.7000367E-001, 6.2522841E+000, 5.9344873E-003
 5.8003742E-001, 6.2594618E+000, 3.8080086E-003
 5.9001432E-001, 6.2026812E+000,-8.6553722E-004
 6.0002721E-001, 6.2159421E+000, 3.7155069E-003
 6.1002342E-001, 6.2323245E+000, 3.2568247E-003
