m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib
-1.2500000E-001, 1.2422776E+000,-1.5000000E-002, 8.8302716E+000,-1.2500000E-001, 2.0379376E+000,-1.5000000E-002, 1.9727638E+000, 3.0000000E-002, 4.5500462E+000, 3.0000000E-002, 3.0075747E+000
-1.2250000E-001, 1.2422776E+000,-1.2500000E-002, 7.5326636E+000,-1.2250000E-001, 2.0379376E+000,-1.2500000E-002, 2.2734248E+000, 3.2500000E-002, 4.5500462E+000, 3.2500000E-002, 3.0075747E+000
-1.2000000E-001, 1.3506187E+000,-1.0000000E-002, 6.8154060E+000,-1.2000000E-001, 2.0352852E+000,-1.0000000E-002, 2.4203435E+000, 3.5000000E-002, 6.8116427E+000, 3.5000000E-002, 2.5214982E+000
-1.1750000E-001, 1.4589599E+000,-7.5000000E-003, 6.0981484E+000,-1.1750000E-001, 2.0748523E+000,-7.5000000E-003, 2.7141133E+000, 3.7500000E-002, 9.0732391E+000, 3.7500000E-002, 2.3922234E+000
-1.1500000E-001, 1.5767935E+000,-5.0000000E-003, 5.6689007E+000,-1.1500000E-001, 2.0555246E+000,-5.0000000E-003, 2.7551808E+000, 4.0000000E-002, 9.7578924E+000, 4.0000000E-002, 1.8816435E+000
-1.1250000E-001, 1.6946270E+000,-2.5000000E-003, 5.2396529E+000,-1.1250000E-001, 2.0797992E+000,-2.5000000E-003, 2.9213176E+000, 4.2500000E-002, 1.0442546E+001, 4.2500000E-002, 1.6091388E+000
-1.1000000E-001, 1.7988891E+000, 0.0000000E+000, 5.0023655E+000,-1.1000000E-001, 2.0718128E+000, 0.0000000E+000, 2.8885652E+000, 4.5000000E-002, 1.0548239E+001, 4.5000000E-002, 1.3785425E+000
-1.0750000E-001, 1.9031511E+000, 2.5000000E-003, 4.7650781E+000,-1.0750000E-001, 2.1054918E+000, 2.5000000E-003, 2.9569968E+000, 4.7500000E-002, 1.0653932E+001, 4.7500000E-002, 1.3051554E+000
-1.0500000E-001, 2.0142916E+000, 5.0000000E-003, 4.6083966E+000,-1.0500000E-001, 2.0784424E+000, 5.0000000E-003, 2.9081025E+000, 5.0000000E-002, 1.0630875E+001, 5.0000000E-002, 1.1780541E+000
