s,m/s,
Time,Ub,FORCE X
 0.0000000E+000, 2.8622937E-019,-6.2000000E-001
 5.0490499E-002, 3.6292921E-002,-6.1637071E-001
 8.3149591E-002, 1.0628325E-001,-6.0937167E-001
 1.0096338E-001, 1.6948867E-001,-6.0305113E-001
 1.1488004E-001, 2.3814514E-001,-5.9618549E-001
 1.2582977E-001, 3.0706189E-001,-5.8929381E-001
 1.3468822E-001, 3.7463848E-001,-5.8253615E-001
 1.4211084E-001, 4.4096626E-001,-5.7590337E-001
 1.4848709E-001, 5.0611149E-001,-5.6938885E-001
 1.5407975E-001, 5.7027914E-001,-5.6297209E-001
 1.5906643E-001, 6.3365668E-001,-5.5663433E-001
 1.6405312E-001, 7.0092766E-001,-5.4990723E-001
 1.6812010E-001, 7.6063891E-001,-5.4393611E-001
 1.7218708E-001, 8.2341056E-001,-5.3765894E-001
 1.7571092E-001, 8.8185911E-001,-5.3181409E-001
 1.7923475E-001, 9.4284182E-001,-5.2571582E-001
 1.8235717E-001, 1.0003383E+000,-5.1996617E-001
 1.8547959E-001, 1.0599693E+000,-5.1400307E-001
 1.8860201E-001, 1.1216569E+000,-5.0783431E-001
 1.9126955E-001, 1.1771245E+000,-5.0228755E-001
 2.0129022E-001, 1.3155531E+000,-4.7977229E-001
 2.1199488E-001, 1.5636140E+000,-4.5243821E-001
 2.2096604E-001, 1.8277302E+000,-4.2676044E-001
 2.3045251E-001, 2.1045266E+000,-3.9687729E-001
 2.4014535E-001, 2.4192454E+000,-3.6356543E-001
 2.5103320E-001, 2.7874607E+000,-3.2295090E-001
 2.6059219E-001, 3.1804435E+000,-2.8482338E-001
 2.7003824E-001, 3.5672119E+000,-2.4540564E-001
 2.8019766E-001, 3.9819076E+000,-2.0172580E-001
 2.9002440E-001, 4.4123002E+000,-1.5911230E-001
 3.0009856E-001, 4.8409611E+000,-1.1589835E-001
 3.1058819E-001, 5.2778812E+000,-7.1383639E-002
 3.2042222E-001, 5.7061463E+000,-3.0247561E-002
 3.3025625E-001, 6.1141302E+000, 1.0293568E-002
 3.4009029E-001, 6.5165637E+000, 5.0153202E-002
 3.5057992E-001, 6.9191542E+000, 9.0771703E-002
 3.6041395E-001, 7.3043249E+000, 1.2755073E-001
 3.7024798E-001, 7.6628976E+000, 1.6204611E-001
 3.8052948E-001, 7.9811791E+000, 1.9109516E-001
 3.9054522E-001, 8.2268556E+000, 2.1181894E-001
 4.0056096E-001, 8.3984151E+000, 2.2606199E-001
 4.1033526E-001, 8.5076194E+000, 2.3403164E-001
 4.2040208E-001, 8.5522488E+000, 2.3495593E-001
 4.3043747E-001, 8.5120093E+000, 2.2578151E-001
 4.4025432E-001, 8.3435435E+000, 2.0185453E-001
 4.5007117E-001, 8.0453835E+000, 1.6812430E-001
 4.6035549E-001, 7.6868379E+000, 1.3250033E-001
 4.7021909E-001, 7.3581804E+000, 1.0133225E-001
 4.8050341E-001, 7.0543234E+000, 7.0983902E-002
 4.9027352E-001, 6.7584524E+000, 4.2258604E-002
 5.0045499E-001, 6.4753416E+000, 1.4429769E-002
 5.1007083E-001, 6.1938173E+000,-1.4832343E-002
 5.2022251E-001, 5.9081478E+000,-3.9915992E-002
 5.3018493E-001, 5.6761832E+000,-6.3888346E-002
 5.4031345E-001, 5.4618640E+000,-8.1380980E-002
 5.5006408E-001, 5.3206113E+000,-9.3036499E-002
 5.6051119E-001, 5.2117326E+000,-1.0263107E-001
 5.7026182E-001, 5.1468877E+000,-1.0658818E-001
 5.8015175E-001, 5.1364375E+000,-1.0623930E-001
 5.9011133E-001, 5.1279641E+000,-1.0788218E-001
 6.0007091E-001, 5.1174732E+000,-1.0858655E-001
 6.1071884E-001, 5.1262585E+000,-1.0595677E-001
 6.2026681E-001, 5.1656982E+000,-1.0087377E-001
 6.3054924E-001, 5.2243381E+000,-9.4329768E-002
 6.4009721E-001, 5.3068183E+000,-8.6128515E-002
 6.5033230E-001, 5.3404549E+000,-8.5131915E-002
 6.6065633E-001, 5.3830643E+000,-7.9090446E-002
 6.7021403E-001, 5.4166711E+000,-7.6972416E-002
 6.8033860E-001, 5.4636929E+000,-6.9783849E-002
 6.9002296E-001, 5.5374165E+000,-6.3968193E-002
 7.0025560E-001, 5.5887429E+000,-5.8386658E-002
 7.1000379E-001, 5.6511499E+000,-5.1265201E-002
 7.2004442E-001, 5.7402901E+000,-4.0541579E-002
 7.3023129E-001, 5.8686427E+000,-2.6599766E-002
 7.4041815E-001, 5.9960924E+000,-1.4937398E-002
 7.5006886E-001, 6.1128184E+000,-2.8804805E-003
 7.6047018E-001, 6.2434815E+000, 9.5145516E-003
 7.7028623E-001, 6.3148028E+000, 1.1422061E-002
 7.8016023E-001, 6.3318855E+000, 1.5494322E-002
 7.9045541E-001, 6.3905631E+000, 2.2108455E-002
 8.0027511E-001, 6.4549529E+000, 2.6491349E-002
 8.1016780E-001, 6.4235742E+000, 1.6521308E-002
 8.2030029E-001, 6.3291974E+000, 1.3023554E-002
 8.3011673E-001, 6.2973357E+000, 3.8868956E-003
 8.4000925E-001, 6.2025433E+000,-3.9747627E-003
 8.5024988E-001, 6.1279892E+000,-7.1102018E-003
 8.6004239E-001, 6.1445740E+000,-6.6047923E-003
 8.7023336E-001, 6.1018587E+000,-1.1239075E-002
 8.8008158E-001, 6.0814960E+000,-1.2917499E-002
 8.9019473E-001, 6.0970143E+000,-8.2392808E-003
 9.0020934E-001, 6.1296802E+000,-6.8958338E-003
 9.1008090E-001, 6.1256281E+000,-6.2793024E-003
 9.2010028E-001, 6.1755378E+000, 7.0366901E-004
 9.3048687E-001, 6.2419393E+000, 7.3022208E-003
 9.4029642E-001, 6.3182542E+000, 1.6930148E-002
 9.5010598E-001, 6.4155851E+000, 2.4954045E-002
 9.6026175E-001, 6.5147863E+000, 3.8477858E-002
 9.7041753E-001, 6.6645971E+000, 5.3308059E-002
 9.8057330E-001, 6.7934221E+000, 6.3356425E-002
 9.9045034E-001, 6.8797402E+000, 7.1973185E-002
 1.0001692E+000, 6.9534570E+000, 7.7685702E-002
 1.0103770E+000, 7.0003827E+000, 7.9762738E-002
 1.0204807E+000, 6.9488465E+000, 7.1077527E-002
 1.0301861E+000, 6.8660087E+000, 6.1444692E-002
 1.0404826E+000, 6.7586876E+000, 5.2290903E-002
 1.0502373E+000, 6.6695177E+000, 4.3007580E-002
 1.0605339E+000, 6.6045942E+000, 4.1354863E-002
 1.0702885E+000, 6.6460114E+000, 4.4843575E-002
 1.0804153E+000, 6.5739600E+000, 2.9298799E-002
 1.0900818E+000, 6.3861828E+000, 8.8586100E-003
 1.1001165E+000, 6.2067675E+000,-5.8488089E-003
 1.1101597E+000, 6.0850636E+000,-1.7665065E-002
 1.1200664E+000, 5.9216362E+000,-3.6370625E-002
 1.1300425E+000, 5.7668146E+000,-4.6722050E-002
 1.1402317E+000, 5.7445816E+000,-4.4377297E-002
 1.1504208E+000, 5.7492607E+000,-4.5553860E-002
 1.1600105E+000, 5.7665334E+000,-4.0840091E-002
 1.1704015E+000, 5.7892034E+000,-4.3621850E-002
 1.1800686E+000, 5.7389695E+000,-4.7863096E-002
 1.1905413E+000, 5.7235291E+000,-4.6288241E-002
 1.2005843E+000, 5.7294329E+000,-4.8833001E-002
 1.2102416E+000, 5.7007632E+000,-5.0638408E-002
 1.2203672E+000, 5.7239703E+000,-4.2736718E-002
 1.2305482E+000, 5.8564865E+000,-2.6828119E-002
 1.2400691E+000, 5.9756186E+000,-1.9545768E-002
 1.2505702E+000, 6.0506042E+000,-1.0332822E-002
 1.2604535E+000, 6.1368642E+000,-2.8834292E-003
 1.2702742E+000, 6.2254527E+000, 6.9384804E-003
 1.2802089E+000, 6.3255448E+000, 1.8161652E-002
 1.2904643E+000, 6.4304399E+000, 2.6882699E-002
 1.3005118E+000, 6.4613008E+000, 2.4035777E-002
 1.3100833E+000, 6.4157962E+000, 1.9703891E-002
 1.3205538E+000, 6.4043834E+000, 2.2531834E-002
 1.3304426E+000, 6.4300849E+000, 2.3141937E-002
 1.3403315E+000, 6.4461999E+000, 2.4713047E-002
 1.3500124E+000, 6.4278811E+000, 2.0549674E-002
 1.3602030E+000, 6.3598600E+000, 1.2684976E-002
 1.3702312E+000, 6.2825045E+000, 1.9887823E-003
 1.3801982E+000, 6.1435470E+000,-1.1499125E-002
 1.3900471E+000, 6.0226003E+000,-2.2940411E-002
 1.4003885E+000, 5.9129136E+000,-3.4494413E-002
 1.4101815E+000, 5.7985337E+000,-4.4479117E-002
 1.4200904E+000, 5.7315271E+000,-4.8222361E-002
 1.4301739E+000, 5.7049303E+000,-5.0795319E-002
 1.4400174E+000, 5.6977322E+000,-4.8922090E-002
 1.4500529E+000, 5.7242707E+000,-4.6139347E-002
 1.4603333E+000, 5.7631658E+000,-4.1113081E-002
 1.4703849E+000, 5.8367781E+000,-3.1421964E-002
 1.4803315E+000, 5.9298495E+000,-2.2245157E-002
 1.4902781E+000, 6.0402295E+000,-1.2370620E-002
 1.5000562E+000, 6.1042866E+000,-5.8867945E-003
 1.5105265E+000, 6.2040269E+000, 7.1428302E-003
 1.5205672E+000, 6.3609070E+000, 2.4162481E-002
 1.5300173E+000, 6.5127340E+000, 3.6826098E-002
 1.5400580E+000, 6.6382924E+000, 4.9321031E-002
 1.5500987E+000, 6.7837434E+000, 6.6488858E-002
 1.5601394E+000, 6.9036270E+000, 7.2054389E-002
 1.5702246E+000, 6.9325535E+000, 7.3275075E-002
 1.5803860E+000, 6.8892518E+000, 6.4361268E-002
 1.5902924E+000, 6.7757622E+000, 5.0657253E-002
 1.6003885E+000, 6.6317785E+000, 3.7152306E-002
 1.6100257E+000, 6.5480967E+000, 3.3931841E-002
 1.6200759E+000, 6.4976794E+000, 2.5576261E-002
 1.6302226E+000, 6.4158479E+000, 1.9113426E-002
 1.6402177E+000, 6.3791301E+000, 1.5595638E-002
 1.6502129E+000, 6.3280391E+000, 1.1018373E-002
 1.6603382E+000, 6.2686653E+000, 3.5847328E-003
 1.6700214E+000, 6.2146548E+000, 3.9949149E-004
 1.6802836E+000, 6.1991104E+000,-1.3207068E-003
 1.6900315E+000, 6.1646828E+000,-5.2058129E-003
 1.7004686E+000, 6.1042268E+000,-1.2591819E-002
 1.7104619E+000, 6.0676256E+000,-1.3803628E-002
 1.7202870E+000, 6.0629905E+000,-1.3189800E-002
 1.7303136E+000, 6.0606914E+000,-1.5363447E-002
 1.7403841E+000, 6.0390539E+000,-1.5769978E-002
 1.7503913E+000, 6.0716122E+000,-1.1662307E-002
 1.7603985E+000, 6.0504448E+000,-1.8008774E-002
 1.7704057E+000, 5.9956832E+000,-2.1643983E-002
