s,m/s,
Time,Ub,FORCE X
 0.0000000E+000,-3.6862874E-019,-6.2000000E-001
 2.5245250E-002, 1.8213799E-002,-6.1817862E-001
 5.0490499E-002, 6.0483577E-002,-6.1395164E-001
 6.3583832E-002, 1.0097418E-001,-6.0990258E-001
 7.3893551E-002, 1.4730128E-001,-6.0526987E-001
 8.2046041E-002, 1.9515680E-001,-6.0048432E-001
 8.8269212E-002, 2.4010613E-001,-5.9598939E-001
 9.3434329E-002, 2.8430710E-001,-5.9156929E-001
 9.7864901E-002, 3.2806872E-001,-5.8719313E-001
 1.0179357E-001, 3.7200901E-001,-5.8279910E-001
 1.0572225E-001, 4.1925187E-001,-5.7807481E-001
 1.1212928E-001, 4.8453870E-001,-5.6928137E-001
 1.2023961E-001, 5.9347517E-001,-5.5607722E-001
 1.3109536E-001, 7.6539853E-001,-5.3440230E-001
 1.4124374E-001, 9.9772207E-001,-5.0941219E-001
 1.5088998E-001, 1.2651330E+000,-4.8086407E-001
 1.6083950E-001, 1.5800837E+000,-4.4609329E-001
 1.7010419E-001, 1.9399270E+000,-4.0886928E-001
 1.8014147E-001, 2.3518252E+000,-3.6346392E-001
 1.9018101E-001, 2.8265683E+000,-3.1407202E-001
 2.0006838E-001, 3.3242691E+000,-2.6392561E-001
 2.1025002E-001, 3.8308831E+000,-2.1266446E-001
 2.2026426E-001, 4.3269799E+000,-1.6426502E-001
 2.3028713E-001, 4.8156715E+000,-1.1499536E-001
 2.4005780E-001, 5.2753931E+000,-7.2522838E-002
 2.5013109E-001, 5.6766343E+000,-3.3947422E-002
 2.6011589E-001, 6.0267036E+000,-3.1360668E-003
 2.7009542E-001, 6.2934003E+000, 2.1000092E-002
 2.8017537E-001, 6.5048945E+000, 3.7688372E-002
 2.9019083E-001, 6.6548040E+000, 5.5343900E-002
 3.0008084E-001, 6.9471438E+000, 1.0040643E-001
 3.1018128E-001, 7.5456837E+000, 1.6109855E-001
 3.2007129E-001, 8.1452823E+000, 2.2263643E-001
 3.3017173E-001, 8.5058424E+000, 2.2547282E-001
 3.4006174E-001, 8.2216560E+000, 1.7317962E-001
 3.5016218E-001, 7.6480311E+000, 1.2220386E-001
 3.6015768E-001, 7.2422813E+000, 8.3506644E-002
 3.7014266E-001, 6.7782875E+000, 3.7426171E-002
 3.8014644E-001, 6.4784432E+000, 2.4334247E-002
 3.9015021E-001, 6.3105798E+000,-8.6493326E-003
 4.0019159E-001, 5.8402052E+000,-6.2496440E-002
 4.1008416E-001, 5.3563436E+000,-1.0204421E-001
 4.2028270E-001, 5.0704323E+000,-1.2005423E-001
 4.3021565E-001, 5.0016405E+000,-1.1829939E-001
 4.4014861E-001, 5.0248112E+000,-1.1700948E-001
 4.5005235E-001, 5.0401567E+000,-1.1372524E-001
 4.6001452E-001, 5.1033041E+000,-1.0339098E-001
 4.7030306E-001, 5.2763295E+000,-8.1238756E-002
 4.8019806E-001, 5.5107465E+000,-5.9088975E-002
 4.9009305E-001, 5.6873328E+000,-4.5336941E-002
 5.0029160E-001, 5.7805015E+000,-3.8870419E-002
 5.1021546E-001, 5.8748697E+000,-2.4558338E-002
 5.2025834E-001, 6.0404394E+000,-1.0168941E-002
 5.3002980E-001, 6.0832801E+000,-1.4324050E-002
 5.4012551E-001, 6.0956497E+000,-3.4633359E-003
 5.5011332E-001, 6.2312867E+000, 1.1489841E-002
 5.6010113E-001, 6.3916269E+000, 2.0315603E-002
 5.7020910E-001, 6.4138795E+000, 2.6066487E-002
 5.8016664E-001, 6.5765714E+000, 5.0727596E-002
 5.9004660E-001, 6.7363741E+000, 4.9512525E-002
 6.0009817E-001, 6.5920015E+000, 2.8881259E-002
 6.1008360E-001, 6.4701057E+000, 2.9984144E-002
 6.2002801E-001, 6.5032500E+000, 2.7993078E-002
 6.3022741E-001, 6.3954874E+000, 9.8652748E-003
 6.4017182E-001, 6.2050386E+000,-7.6074802E-003
 6.5011623E-001, 6.0978553E+000,-1.0871607E-002
 6.6018718E-001, 6.0513771E+000,-2.4666454E-002
 6.7017866E-001, 5.8708513E+000,-3.9993836E-002
 6.8019291E-001, 5.8247389E+000,-3.5235749E-002
 6.9020715E-001, 5.8476677E+000,-3.5449157E-002
 7.0022140E-001, 5.8522348E+000,-3.1757954E-002
 7.1023564E-001, 5.9765580E+000,-8.5630539E-003
 7.2024989E-001, 6.2495252E+000, 1.2693207E-002
 7.3001378E-001, 6.3078656E+000, 6.4333276E-003
 7.4002802E-001, 6.2297680E+000, 3.8022510E-003
 7.5004227E-001, 6.3411149E+000, 2.5590530E-002
 7.6005651E-001, 6.5123740E+000, 3.0715580E-002
 7.7007076E-001, 6.4333349E+000, 1.8749638E-002
 7.8008500E-001, 6.4610962E+000, 3.2986192E-002
 7.9011828E-001, 6.5152735E+000, 2.2927553E-002
 8.0007991E-001, 6.2332624E+000,-1.1187622E-002
 8.1019431E-001, 6.0385840E+000,-1.8604360E-002
 8.2020896E-001, 5.9804827E+000,-2.6363735E-002
 8.3000153E-001, 5.8213110E+000,-5.1329116E-002
 8.4021008E-001, 5.5460494E+000,-7.4916495E-002
 8.5014641E-001, 5.4224379E+000,-7.9304057E-002
 8.6012810E-001, 5.4625358E+000,-6.4141518E-002
 8.7023457E-001, 5.6852832E+000,-3.9260789E-002
 8.8011645E-001, 5.9748205E+000,-6.1531386E-003
 8.9023184E-001, 6.2851936E+000, 2.1202845E-002
 9.0026449E-001, 6.5503655E+000, 5.0735697E-002
 9.1012753E-001, 6.8138140E+000, 6.7467795E-002
 9.2016586E-001, 6.9064063E+000, 7.2988487E-002
 9.3008004E-001, 6.8607662E+000, 5.5595324E-002
 9.4007847E-001, 6.6488844E+000, 3.8561492E-002
 9.5015645E-001, 6.5763176E+000, 3.4706225E-002
 9.6002001E-001, 6.4541294E+000, 1.4673381E-002
 9.7014087E-001, 6.3012003E+000, 1.3429714E-002
 9.8004731E-001, 6.3506982E+000, 1.1168815E-002
 9.9018962E-001, 6.1976465E+000,-1.1352503E-002
 1.0000961E+000, 5.9534757E+000,-3.6724424E-002
 1.0100261E+000, 5.7675688E+000,-4.6114783E-002
 1.0201448E+000, 5.7507468E+000,-4.3298075E-002
 1.0300041E+000, 5.7988198E+000,-3.6524941E-002
 1.0401747E+000, 5.9231288E+000,-1.6776714E-002
 1.0501637E+000, 6.1554599E+000, 5.9901594E-003
 1.0602332E+000, 6.3056648E+000, 1.3440284E-002
 1.0700822E+000, 6.3244112E+000, 1.2503685E-002
 1.0800180E+000, 6.3604056E+000, 1.8389762E-002
 1.0902022E+000, 6.3929272E+000, 1.7430716E-002
 1.1001381E+000, 6.2888338E+000, 1.9572460E-003
 1.1100739E+000, 6.2336932E+000, 4.7332393E-003
 1.1200097E+000, 6.2534842E+000, 6.4781995E-003
 1.1301691E+000, 6.2416286E+000,-1.5117720E-003
 1.1400459E+000, 6.1366516E+000,-9.9983865E-003
 1.1501127E+000, 6.0228358E+000,-2.2354491E-002
 1.1600557E+000, 6.0191568E+000,-1.1048491E-002
 1.1700943E+000, 6.1602549E+000, 3.7804511E-003
 1.1800425E+000, 6.3786957E+000, 2.7967019E-002
 1.1902333E+000, 6.4414779E+000, 1.7379770E-002
 1.2001815E+000, 6.2637175E+000,-7.3068704E-003
 1.2101297E+000, 6.0106588E+000,-2.4223243E-002
 1.2200342E+000, 5.9715930E+000,-2.1555720E-002
 1.2301045E+000, 5.9569072E+000,-2.7436386E-002
 1.2401805E+000, 5.9966755E+000,-1.0870042E-002
 1.2500153E+000, 6.1836321E+000, 4.5050560E-003
 1.2601090E+000, 6.2200459E+000,-1.3738052E-003
 1.2702026E+000, 6.1864734E+000, 3.6774893E-003
 1.2801628E+000, 6.3875670E+000, 3.0261476E-002
 1.2901542E+000, 6.4913447E+000, 2.2846334E-002
 1.3002142E+000, 6.3853556E+000, 2.0524856E-002
 1.3100234E+000, 6.3830998E+000, 1.2311595E-002
 1.3201725E+000, 6.1848742E+000,-1.3505848E-002
 1.3301875E+000, 5.9830029E+000,-2.6171443E-002
 1.3400495E+000, 5.9852068E+000,-1.4169080E-002
 1.3501711E+000, 6.0913021E+000,-1.0166428E-002
 1.3600331E+000, 6.1023906E+000,-9.0268688E-003
 1.3701546E+000, 6.1362091E+000,-1.3557184E-003
 1.3800167E+000, 6.2377637E+000, 5.5494461E-003
 1.3901382E+000, 6.2554105E+000, 5.0124489E-003
 1.4002060E+000, 6.2433642E+000, 5.2715882E-003
 1.4102335E+000, 6.2670936E+000, 7.1203221E-003
 1.4202144E+000, 6.3042062E+000, 1.6741094E-002
 1.4301953E+000, 6.3318259E+000, 4.9561448E-003
 1.4401336E+000, 6.1550362E+000,-7.3123898E-003
 1.4501568E+000, 6.1531045E+000,-5.1631190E-003
 1.4602024E+000, 6.0517345E+000,-2.7459882E-002
 1.4700029E+000, 5.8363115E+000,-4.2133402E-002
 1.4800485E+000, 5.7660053E+000,-4.1581712E-002
 1.4901921E+000, 5.8624251E+000,-2.3362853E-002
 1.5001641E+000, 6.0535829E+000,-1.0113300E-002
 1.5101362E+000, 6.1196548E+000,-4.3287599E-003
 1.5202023E+000, 6.2680360E+000, 1.7449181E-002
 1.5302089E+000, 6.5294442E+000, 4.5455110E-002
 1.5401714E+000, 6.6374626E+000, 3.9399874E-002
 1.5500574E+000, 6.5085162E+000, 2.5161957E-002
 1.5600181E+000, 6.3980685E+000, 1.4369932E-002
 1.5700450E+000, 6.2462761E+000,-5.0181856E-003
 1.5802097E+000, 6.0532949E+000,-2.2596724E-002
 1.5902014E+000, 5.9719144E+000,-2.0372412E-002
 1.6001693E+000, 6.0063620E+000,-1.8120705E-002
 1.6101134E+000, 6.0558735E+000,-8.9574093E-003
 1.6200575E+000, 6.1750205E+000, 2.6256753E-004
 1.6300704E+000, 6.1937255E+000,-3.5034101E-003
 1.6400528E+000, 6.2235203E+000, 1.1287979E-002
 1.6501966E+000, 6.3652734E+000, 1.6148375E-002
 1.6601949E+000, 6.3276367E+000, 8.4780963E-003
 1.6700509E+000, 6.2142781E+000,-5.2874961E-003
 1.6800110E+000, 6.1368857E+000,-5.6674170E-003
 1.6901242E+000, 6.1543495E+000,-8.6861845E-004
 1.7000564E+000, 6.2782134E+000, 1.4172047E-002
 1.7101304E+000, 6.2720995E+000,-9.7768461E-004
 1.7202043E+000, 6.1777199E+000, 2.7200772E-004
 1.7300439E+000, 6.3071676E+000, 2.0100372E-002
 1.7401178E+000, 6.3724626E+000, 7.5002707E-003
 1.7501393E+000, 6.1173962E+000,-2.0371642E-002
 1.7600298E+000, 5.9739290E+000,-1.9751558E-002
 1.7701503E+000, 6.0963181E+000,-2.1850851E-004
 1.7802183E+000, 6.2299909E+000, 3.3225539E-003
 1.7901919E+000, 6.2840512E+000, 1.6126371E-002
 1.8001654E+000, 6.4694202E+000, 3.8791567E-002
 1.8101390E+000, 6.6786682E+000, 5.4500680E-002
 1.8201240E+000, 6.8304254E+000, 7.0339652E-002
 1.8302278E+000, 6.9466887E+000, 7.5931466E-002
 1.8400786E+000, 6.8854365E+000, 5.5502829E-002
 1.8501351E+000, 6.5966814E+000, 2.5280454E-002
 1.8600006E+000, 6.3459548E+000, 3.3279839E-003
 1.8702163E+000, 6.1037479E+000,-2.0885240E-002
