s,m,m,m,m,deg,deg,m/m,m/m
Time,x_max,y_max,L_F_p1,L_F_p2,tilt_p1,tilt_p2,drag_p1,drag_p2
 0.0000000E+000,-9.9500000E+001,-9.9500000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0177218E+000, 3.6539946E+001, 1.4042400E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000569E+001,-2.4192260E+000,-1.1053850E+000, 0.0000000E+000, 0.0000000E+000, 1.6540685E+001, 0.0000000E+000, 1.0000000E+000, 0.0000000E+000
 1.5002326E+001,-8.9936950E+000,-8.8451289E+000, 6.5571178E+001, 0.0000000E+000, 1.5403311E+001, 0.0000000E+000, 1.0189531E+000, 0.0000000E+000
 2.0000720E+001,-7.6009768E+000,-6.7693013E+000, 5.9799306E+001, 0.0000000E+000, 1.4385421E+001, 0.0000000E+000, 1.0190653E+000, 0.0000000E+000
 2.5005724E+001,-7.4303626E+000,-4.9639197E+000, 5.7449040E+001, 0.0000000E+000, 1.3622731E+001, 0.0000000E+000, 1.0187178E+000, 0.0000000E+000
 3.0007747E+001,-4.1533675E+000,-7.1782890E+000, 5.6974075E+001, 0.0000000E+000, 1.3564557E+001, 0.0000000E+000, 1.0182335E+000, 0.0000000E+000
 3.5005887E+001,-3.8567410E+000,-6.2762021E+000, 5.6974075E+001, 0.0000000E+000, 1.3564557E+001, 0.0000000E+000, 1.0182335E+000, 0.0000000E+000
 4.0006833E+001,-6.3451116E+000,-3.2061360E+000, 5.6974075E+001, 8.2599563E+001, 1.3564557E+001, 5.4193566E+000, 1.0182335E+000, 1.0184909E+000
 4.5006242E+001,-2.8968975E+000,-9.0449391E+000, 5.6974075E+001, 6.3725026E+001, 1.3564557E+001, 1.2096608E+001, 1.0182335E+000, 1.0199120E+000
 5.0004204E+001,-6.9267442E+000,-4.4871532E+000, 5.6974075E+001, 6.3671829E+001, 1.3564557E+001, 1.2370528E+001, 1.0182335E+000, 1.0194203E+000
 5.5001547E+001,-6.4504241E+000,-4.5767881E+000, 5.6974075E+001, 6.2859215E+001, 1.3564557E+001, 1.2701792E+001, 1.0182335E+000, 1.0185425E+000
 6.0000000E+001,-6.6303219E+000,-2.4060176E+000, 5.6974075E+001, 6.3605687E+001, 1.3564557E+001, 1.2207735E+001, 1.0182335E+000, 1.0182561E+000
