m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW,m,kW
r_0,HF_p1_0,HF_p2_0,HF_p3_0,HF_p4_0,r_33,HF_p1_33,HF_p2_33,HF_p3_33,HF_p4_33,r_61,HF_p1_61,HF_p2_61,HF_p3_61,HF_p4_61,r_90,HF_p1_90,HF_p2_90,HF_p3_90,HF_p4_90,r_120,HF_p1_120,HF_p2_120,HF_p3_120,HF_p4_120,r_225,HF_p1_225,HF_p2_225,HF_p3_225,HF_p4_225,r_270,HF_p1_270,HF_p2_270,HF_p3_270,HF_p4_270,r_315,HF_p1_315,HF_p2_315,HF_p3_315,HF_p4_315,z_HRRPUL,HRRPUL,r_HRR,HRR
 5.2509523E+001, 1.4543825E+001, 1.4185350E+001, 1.4389959E+001, 1.4324349E+001, 6.9987856E+001, 1.3801155E+001, 1.4913365E+001, 1.6657368E+001, 1.6218599E+001, 1.0497166E+002, 7.9266643E+000, 9.9043128E+000, 1.2777200E+001, 1.2035330E+001, 1.0500476E+002, 9.7590677E+000, 1.2521750E+001, 1.5629263E+001, 1.3994117E+001, 1.0497647E+002, 7.8445832E+000, 9.2463607E+000, 1.0154266E+001, 9.0172495E+000, 1.0493941E+002, 3.1574095E+000, 3.1272002E+000, 2.9367871E+000, 2.8902299E+000, 7.0007142E+001, 6.2248708E+000, 6.0383404E+000, 5.1625227E+000, 4.9082050E+000, 1.0493941E+002, 3.1693783E+000, 3.2628403E+000, 3.3545540E+000, 3.2643079E+000, 5.0000000E-001, 5.6416886E+005, 7.0710678E-001, 6.8249543E+002
 7.0007142E+001, 9.1133584E+000, 9.3109316E+000, 9.7608553E+000, 9.5478999E+000, 1.0504499E+002, 5.9744781E+000, 6.9618745E+000, 8.2222362E+000, 7.8352072E+000, 1.3997561E+002, 3.8690265E+000, 4.7930764E+000, 5.9536115E+000, 5.5426076E+000, 1.2250408E+002, 6.7708511E+000, 8.5995378E+000, 1.0279254E+001, 9.1050212E+000, 1.3996585E+002, 3.8574647E+000, 4.6413423E+000, 5.2240584E+000, 4.6186380E+000, 1.4001071E+002, 1.8632328E+000, 1.8600567E+000, 1.8014271E+000, 1.8187538E+000, 8.7505714E+001, 4.3517655E+000, 4.3364239E+000, 3.5877838E+000, 3.3921112E+000, 1.4001071E+002, 1.8539322E+000, 1.9268285E+000, 2.0518269E+000, 2.0282995E+000, 1.5000000E+000, 6.2962354E+005, 1.5811388E+000, 6.7337074E+002
 1.0500476E+002, 4.3683310E+000, 4.7151840E+000, 5.1466890E+000, 4.9551603E+000, 1.3996500E+002, 3.1473538E+000, 3.7161947E+000, 4.4174155E+000, 4.1975226E+000, 1.7501900E+002, 2.1787411E+000, 2.6568493E+000, 3.1809092E+000, 3.0209824E+000, 1.4000357E+002, 4.8212684E+000, 6.0785245E+000, 6.8876641E+000, 6.0526097E+000, 1.7504231E+002, 2.1764628E+000, 2.6254322E+000, 2.9551570E+000, 2.6686816E+000, 1.7494108E+002, 1.2064910E+000, 1.1972558E+000, 1.2091661E+000, 1.2031782E+000, 1.0500476E+002, 3.2541391E+000, 3.2807920E+000, 2.6886575E+000, 2.5401853E+000, 1.7494108E+002, 1.2149945E+000, 1.2545713E+000, 1.3713386E+000, 1.3422890E+000, 2.5000000E+000, 4.7321621E+005, 2.5495098E+000, 6.1278481E+002
 1.4000357E+002, 2.4242417E+000, 2.6987424E+000, 3.0059457E+000, 2.9276368E+000, 1.7502380E+002, 1.8734996E+000, 2.2082824E+000, 2.6036416E+000, 2.5187488E+000, 2.1002364E+002, 1.3847086E+000, 1.6508903E+000, 1.9198410E+000, 1.8685850E+000, 1.5750317E+002, 3.6247996E+000, 4.5570003E+000, 4.9200395E+000, 4.2847318E+000, 2.1003240E+002, 1.3900852E+000, 1.6467599E+000, 1.8347451E+000, 1.7056321E+000, 2.1001309E+002, 8.5488378E-001, 8.4173962E-001, 8.7094507E-001, 8.3033126E-001, 1.2250408E+002, 2.4350050E+000, 2.4606781E+000, 2.0654483E+000, 1.9503054E+000, 2.1001309E+002, 8.6306582E-001, 8.7916528E-001, 9.6872897E-001, 9.1631522E-001, 3.5000000E+000, 3.7871934E+005, 3.5355339E+000, 6.1593519E+002
 1.5750317E+002, 1.8847549E+000, 2.1370358E+000, 2.3892707E+000, 2.3450549E+000, 2.0999898E+002, 1.2232287E+000, 1.4021328E+000, 1.6497273E+000, 1.6087431E+000, 2.2752602E+002, 1.1270921E+000, 1.3206333E+000, 1.5270552E+000, 1.4895003E+000, 1.7499286E+002, 2.7808823E+000, 3.5005512E+000, 3.6366102E+000, 3.1443645E+000, 2.2750921E+002, 1.1359714E+000, 1.3261198E+000, 1.4688104E+000, 1.3820034E+000,NaN,NaN,NaN,NaN,NaN, 1.4000357E+002, 1.8651434E+000, 1.8760687E+000, 1.6549764E+000, 1.5606044E+000,NaN,NaN,NaN,NaN,NaN, 4.5000000E+000, 3.2014619E+005, 4.5276926E+000, 5.5369208E+002
 1.7499286E+002, 1.4853839E+000, 1.7247472E+000, 1.9412715E+000, 1.9122981E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.1000238E+002, 1.6430288E+000, 2.0865950E+000, 2.0976734E+000, 1.8140671E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.7501286E+002, 1.0815340E+000, 1.0596839E+000, 1.0831943E+000, 1.0089615E+000,NaN,NaN,NaN,NaN,NaN, 5.5000000E+000, 2.8244521E+005, 5.5226805E+000, 5.6505075E+002
 2.1000238E+002, 9.1789535E-001, 1.1264760E+000, 1.3395314E+000, 1.3038419E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.4500204E+002, 1.0199381E+000, 1.2818235E+000, 1.3504835E+000, 1.1866811E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.1000238E+002, 6.5325364E-001, 6.2432204E-001, 7.3708839E-001, 6.7902541E-001,NaN,NaN,NaN,NaN,NaN, 6.5000000E+000, 2.5704059E+005, 6.5192024E+000, 5.0621878E+002
 2.2450223E+002, 7.6249822E-001, 9.5514402E-001, 1.1821592E+000, 1.1367950E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.7499182E+002, 6.9420979E-001, 8.5509558E-001, 9.9363208E-001, 8.8071466E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 7.5000000E+000, 2.3912491E+005, 7.5166482E+000, 5.3269647E+002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 8.5000000E+000, 2.2552904E+005, 8.5146932E+000, 4.4428368E+002
