s,m,m,m,m,m,deg,deg,deg,m/m,m/m,m/m
Time,"x_max","y_max","L_F_p1","L_F_p2","L_F_p3","tilt_p1","tilt_p2","tilt_p3","drag_p1","drag_p2","drag_p3"
 0.0000000E+000,-9.9500000E+001,-9.9500000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0207774E+000, 5.2294322E-001,-3.8585936E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0008872E+001,-2.8896589E+000, 3.0816516E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0846346E+001, 0.0000000E+000, 0.0000000E+000, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5009451E+001,-1.0545589E+001,-2.3720662E+000, 6.0773216E+001, 0.0000000E+000, 0.0000000E+000, 1.4835946E+001, 0.0000000E+000, 0.0000000E+000, 1.0091001E+000, 0.0000000E+000, 0.0000000E+000
 2.0001790E+001,-1.1855369E+000,-1.7016645E+000, 6.0181026E+001, 0.0000000E+000, 0.0000000E+000, 1.1872173E+001, 0.0000000E+000, 0.0000000E+000, 1.0096330E+000, 0.0000000E+000, 0.0000000E+000
 2.5005258E+001, 6.9396694E-001,-1.7988188E+000, 6.1548181E+001, 0.0000000E+000, 0.0000000E+000, 1.0336018E+001, 0.0000000E+000, 0.0000000E+000, 1.0102977E+000, 0.0000000E+000, 0.0000000E+000
 3.0012835E+001,-6.2777373E+000,-1.1237569E+000, 6.0032835E+001, 0.0000000E+000, 0.0000000E+000, 1.0678991E+001, 0.0000000E+000, 0.0000000E+000, 1.0106017E+000, 0.0000000E+000, 0.0000000E+000
 3.5007314E+001,-2.9199069E+000, 1.1751471E+000, 6.0032835E+001, 0.0000000E+000, 0.0000000E+000, 1.0678991E+001, 0.0000000E+000, 0.0000000E+000, 1.0106017E+000, 0.0000000E+000, 0.0000000E+000
 4.0008893E+001,-2.5221638E+000,-3.6862917E+000, 6.0032835E+001, 5.4612191E+001, 0.0000000E+000, 1.0678991E+001, 4.0447068E+000, 0.0000000E+000, 1.0106017E+000, 1.0120640E+000, 0.0000000E+000
 4.5003549E+001,-3.2082763E+000,-2.7289504E+000, 6.0032835E+001, 6.5830497E+001, 0.0000000E+000, 1.0678991E+001, 8.8157693E+000, 0.0000000E+000, 1.0106017E+000, 1.0121561E+000, 0.0000000E+000
 5.0001662E+001,-3.0788201E+000, 9.8371386E-001, 6.0032835E+001, 6.7215482E+001, 0.0000000E+000, 1.0678991E+001, 8.5472891E+000, 0.0000000E+000, 1.0106017E+000, 1.0116611E+000, 0.0000000E+000
 5.5009958E+001,-6.1916725E+000, 6.3082885E-001, 6.0032835E+001, 6.5102316E+001, 0.0000000E+000, 1.0678991E+001, 9.1878344E+000, 0.0000000E+000, 1.0106017E+000, 1.0117476E+000, 0.0000000E+000
 6.0008960E+001,-4.3652553E+000, 1.3913910E+000, 6.0032835E+001, 6.7111992E+001, 0.0000000E+000, 1.0678991E+001, 9.2097459E+000, 0.0000000E+000, 1.0106017E+000, 1.0109629E+000, 0.0000000E+000
 6.5003196E+001,-5.0910007E+000,-4.3881701E+000, 6.0032835E+001, 6.7111992E+001, 0.0000000E+000, 1.0678991E+001, 9.2097459E+000, 0.0000000E+000, 1.0106017E+000, 1.0109629E+000, 0.0000000E+000
 7.0006829E+001,-2.9959137E+000,-7.4021707E-001, 6.0032835E+001, 6.7111992E+001, 5.4376574E+001, 1.0678991E+001, 9.2097459E+000, 4.3551264E+000, 1.0106017E+000, 1.0109629E+000, 1.0064028E+000
 7.5000070E+001,-5.5924429E+000, 9.2476563E-001, 6.0032835E+001, 6.7111992E+001, 6.8307445E+001, 1.0678991E+001, 9.2097459E+000, 9.7400754E+000, 1.0106017E+000, 1.0109629E+000, 1.0084305E+000
 8.0010115E+001,-4.1203182E+000, 2.6417901E+000, 6.0032835E+001, 6.7111992E+001, 6.6807903E+001, 1.0678991E+001, 9.2097459E+000, 9.9876517E+000, 1.0106017E+000, 1.0109629E+000, 1.0095702E+000
 8.5008712E+001,-7.1197753E+000,-1.0435335E+000, 6.0032835E+001, 6.7111992E+001, 6.5441149E+001, 1.0678991E+001, 9.2097459E+000, 1.0020279E+001, 1.0106017E+000, 1.0109629E+000, 1.0096182E+000
 9.0000000E+001,-8.7068391E+000, 3.7247176E-001, 6.0032835E+001, 6.7111992E+001, 6.6614353E+001, 1.0678991E+001, 9.2097459E+000, 1.0611810E+001, 1.0106017E+000, 1.0109629E+000, 1.0097809E+000
