m,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,m,kW,m,kW
r_0,HF_p1_0,HF_p2_0,HF_p3_0,r_33,HF_p1_33,HF_p2_33,HF_p3_33,r_61,HF_p1_61,HF_p2_61,HF_p3_61,r_90,HF_p1_90,HF_p2_90,HF_p3_90,r_120,HF_p1_120,HF_p2_120,HF_p3_120,r_225,HF_p1_225,HF_p2_225,HF_p3_225,r_270,HF_p1_270,HF_p2_270,HF_p3_270,r_315,HF_p1_315,HF_p2_315,HF_p3_315,z_HRRPUL,HRRPUL,r_HRR,HRR
 5.2509523E+001, 1.2581175E+001, 1.3250644E+001, 1.3129849E+001, 6.9987856E+001, 7.0538679E+000, 7.7239371E+000, 7.5615513E+000, 1.0497166E+002, 3.3543028E+000, 3.8677340E+000, 3.7432159E+000, 1.0500476E+002, 3.6429176E+000, 4.1464170E+000, 3.8825098E+000, 1.0497647E+002, 3.3764827E+000, 3.9167664E+000, 3.6622705E+000, 1.0493941E+002, 3.5357148E+000, 4.2185120E+000, 4.0538991E+000, 7.0007142E+001, 8.5675571E+000, 9.4917493E+000, 9.4831463E+000, 1.0493941E+002, 3.4781205E+000, 4.0244890E+000, 4.0208549E+000, 5.0000000E-001, 5.9080816E+005, 7.0710678E-001, 8.0220602E+001
 7.0007142E+001, 7.4970266E+000, 8.2576135E+000, 8.1005884E+000, 1.0504499E+002, 3.2880698E+000, 3.7825845E+000, 3.7008217E+000, 1.3997561E+002, 1.8584432E+000, 2.2060003E+000, 2.1341993E+000, 1.2250408E+002, 2.6235778E+000, 3.0733193E+000, 2.8358291E+000, 1.3996585E+002, 1.8749598E+000, 2.2364149E+000, 2.0829801E+000, 1.4001071E+002, 1.9814772E+000, 2.4358687E+000, 2.3256647E+000, 8.7505714E+001, 5.6983148E+000, 6.5131686E+000, 6.4100453E+000, 1.4001071E+002, 1.9302132E+000, 2.3060155E+000, 2.2875898E+000, 1.5000000E+000, 4.8000333E+005, 7.2168182E-001, 2.2151270E+002
 1.0500476E+002, 3.3088627E+000, 3.9806979E+000, 3.8084464E+000, 1.3996500E+002, 1.8387136E+000, 2.1832874E+000, 2.1339484E+000, 1.7501900E+002, 1.1473690E+000, 1.3793532E+000, 1.3368070E+000, 1.4000357E+002, 1.8436870E+000, 2.2655888E+000, 2.0249346E+000, 1.7504231E+002, 1.1615200E+000, 1.3993508E+000, 1.3046923E+000, 1.7494108E+002, 1.2127954E+000, 1.5060670E+000, 1.4402114E+000, 1.0500476E+002, 4.0675094E+000, 4.7628802E+000, 4.6234804E+000, 1.7494108E+002, 1.1908227E+000, 1.4471241E+000, 1.4303102E+000, 2.5000000E+000, 2.5578987E+005, 1.6199120E+000, 3.3197173E+002
 1.4000357E+002, 1.6039584E+000, 2.1607952E+000, 2.0204300E+000, 1.7502380E+002, 1.1495768E+000, 1.3799169E+000, 1.3489165E+000, 2.1002364E+002, 7.6619222E-001, 9.2363335E-001, 9.1248708E-001, 1.5750317E+002, 1.3220243E+000, 1.7088461E+000, 1.4792814E+000, 2.1003240E+002, 7.6915887E-001, 9.2303642E-001, 8.7218784E-001, 2.1001309E+002, 7.9652192E-001, 9.8873700E-001, 9.5417329E-001, 1.2250408E+002, 2.8937899E+000, 3.4850069E+000, 3.3214746E+000, 2.1001309E+002, 7.8170377E-001, 9.4454765E-001, 9.4712407E-001, 3.5000000E+000, 1.6411749E+005, 2.6095729E+000, 4.9797019E+002
 1.5750317E+002, 1.1552159E+000, 1.6480409E+000, 1.5293531E+000, 2.0999898E+002, 7.7117629E-001, 9.2161679E-001, 9.1787788E-001, 2.2752602E+002, 6.2907730E-001, 7.5397425E-001, 7.4812874E-001, 1.7499286E+002, 9.4252010E-001, 1.2885687E+000, 1.0860045E+000, 2.2750921E+002, 6.2728215E-001, 7.4452500E-001, 7.0477369E-001,NaN,NaN,NaN,NaN, 1.4000357E+002, 2.0889628E+000, 2.6125291E+000, 2.4311037E+000,NaN,NaN,NaN,NaN, 4.5000000E+000, 1.2448697E+005, 3.6163645E+000, 7.0314885E+002
 1.7499286E+002, 8.4126607E-001, 1.2688375E+000, 1.1717307E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.1000238E+002, 4.5390895E-001, 6.7988778E-001, 5.5229690E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.7501286E+002, 1.0407127E+000, 1.4379402E+000, 1.2711464E+000,NaN,NaN,NaN,NaN, 5.5000000E+000, 1.0474406E+005, 4.6291230E+000, 9.3272733E+002
 2.1000238E+002, 4.5105584E-001, 7.3202246E-001, 6.8785140E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.4500204E+002, 2.2324350E-001, 3.4340923E-001, 2.7480845E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.1000238E+002, 5.3345097E-001, 8.1526412E-001, 6.9069213E-001,NaN,NaN,NaN,NaN, 6.5000000E+000, 9.3528078E+004, 5.6446375E+000, 1.1990619E+003
 2.2450223E+002, 3.5764423E-001, 5.8648482E-001, 5.5929700E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.7499182E+002, 1.2327189E-001, 2.0130498E-001, 1.6635077E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 7.5000000E+000, 8.6268086E+004, 6.6616478E+000, 1.4731287E+003
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 8.5000000E+000, 8.1281971E+004, 7.6795596E+000, 1.7088209E+003
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.5000000E+000, 7.7551731E+004, 8.6980564E+000, 1.9316584E+003
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.0500000E+001, 7.4678699E+004, 9.7169543E+000, 2.2145600E+003
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.1500000E+001, 7.2268577E+004, 1.0736139E+001, 2.5585812E+003
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2500000E+001, 7.0521543E+004, 1.1755536E+001, 2.9366734E+003
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.3500000E+001, 6.9454197E+004, 1.2775095E+001, 3.2730493E+003
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4500000E+001, 6.8773621E+004, 1.3794779E+001, 3.5579463E+003
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.5500000E+001, 6.8374031E+004, 1.4814562E+001, 3.8863338E+003
