cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 2.5000000E-001, 4.7921815E+002, 3.6533984E-006, 6.2456867E-003, 9.0156995E-003, 9.1456132E-001, 1.1656194E-002, 5.3033527E-003, 5.1446315E-002, 3.6083530E-004
 7.5000000E-001, 5.4904951E+002, 1.9733025E-005, 1.7650576E-002, 2.4290206E-002, 7.6397144E-001, 3.2243464E-002, 1.4288356E-002, 1.4277344E-001, 1.1120152E-003
 1.2500000E+000, 6.2768335E+002, 8.0723936E-005, 2.8539987E-002, 3.7793713E-002, 6.2494304E-001, 5.1266654E-002, 2.2231596E-002, 2.2773376E-001, 1.9135217E-003
 1.7500000E+000, 6.8980284E+002, 2.7616076E-004, 3.7031853E-002, 4.7471708E-002, 5.1974152E-001, 6.5603290E-002, 2.7924534E-002, 2.9264276E-001, 2.5572474E-003
 2.2500000E+000, 7.3916897E+002, 6.3942798E-004, 4.3295152E-002, 5.3831577E-002, 4.4468389E-001, 7.5723838E-002, 3.1665634E-002, 3.3960527E-001, 3.0229999E-003
 2.7500000E+000, 7.7663400E+002, 1.1221495E-003, 4.7841473E-002, 5.7521103E-002, 3.9342166E-001, 8.2529136E-002, 3.3835943E-002, 3.7244988E-001, 3.3139305E-003
 3.2500000E+000, 8.0677925E+002, 1.3803406E-003, 5.1340517E-002, 5.9959372E-002, 3.5635626E-001, 8.7529611E-002, 3.5270219E-002, 3.9640694E-001, 3.5240266E-003
 3.7500000E+000, 8.3411077E+002, 1.4390160E-003, 5.4185907E-002, 6.1762622E-002, 3.2776364E-001, 9.1488420E-002, 3.6330954E-002, 4.1491912E-001, 3.6949538E-003
 4.2500000E+000, 8.5982220E+002, 1.6043135E-003, 5.6710644E-002, 6.2992261E-002, 3.0355705E-001, 9.4785331E-002, 3.7054271E-002, 4.3094471E-001, 3.8297024E-003
 4.7500000E+000, 8.8423902E+002, 1.7444734E-003, 5.8941347E-002, 6.3916371E-002, 2.8294471E-001, 9.7602926E-002, 3.7597865E-002, 4.4471969E-001, 3.9441532E-003
 5.2500000E+000, 9.0600908E+002, 1.9080132E-003, 6.1011946E-002, 6.4364467E-002, 2.6553749E-001, 9.9978322E-002, 3.7861451E-002, 4.5671783E-001, 4.0183250E-003
 5.7500000E+000, 9.2262014E+002, 2.2064344E-003, 6.2749286E-002, 6.4619672E-002, 2.5071793E-001, 1.0190282E-001, 3.8011572E-002, 4.6712176E-001, 4.0737740E-003
 6.2500000E+000, 9.3587812E+002, 2.5633756E-003, 6.4207172E-002, 6.4755221E-002, 2.3813518E-001, 1.0347316E-001, 3.8091307E-002, 4.7607748E-001, 4.1167501E-003
 6.7500000E+000, 9.4748097E+002, 2.9369979E-003, 6.5481600E-002, 6.4782403E-002, 2.2726189E-001, 1.0479317E-001, 3.8107296E-002, 4.8393421E-001, 4.1488689E-003
 7.2500000E+000, 9.5841797E+002, 3.2264227E-003, 6.6610516E-002, 6.4805743E-002, 2.1783185E-001, 1.0596144E-001, 3.8121026E-002, 4.9073599E-001, 4.1786221E-003
 7.7500000E+000, 9.6899070E+002, 3.4550758E-003, 6.7697425E-002, 6.4717452E-002, 2.0950121E-001, 1.0702052E-001, 3.8069090E-002, 4.9684954E-001, 4.1978275E-003
 8.2500000E+000, 9.7868184E+002, 3.6834670E-003, 6.8711987E-002, 6.4572294E-002, 2.0194240E-001, 1.0797249E-001, 3.7983702E-002, 5.0247243E-001, 4.2109841E-003
 8.7500000E+000, 9.8754154E+002, 3.8988588E-003, 6.9621077E-002, 6.4494601E-002, 1.9487704E-001, 1.0885638E-001, 3.7938001E-002, 5.0766803E-001, 4.2279804E-003
