cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot,r_rad1,HF,radHF,z_rad,HF_vert,r_rad2,HF_hori
 5.0000000E-001, 5.5231653E+002, 3.0835107E-003, 1.6268884E-002, 5.2851472E-002, 5.8618097E-001, 8.6059614E-002, 5.2851472E-002, 2.0270407E-001, 0.0000000E+000,-4.0000000E+000, 1.4156856E+001, 9.6992236E+000, 0.0000000E+000, 4.8845807E-001, 1.6155494E+001, 1.8510989E+000
 1.5000000E+000, 7.1175612E+002, 3.5366826E-003, 2.4581163E-002, 7.0622920E-002, 4.2521287E-001, 1.2072678E-001, 7.0622920E-002, 2.8469666E-001, 0.0000000E+000,-3.0000000E+000, 1.3397117E+001, 9.5780306E+000, 1.3761468E+000, 4.6593751E-001, 1.7279331E+001, 1.8510989E+000
 2.5000000E+000, 8.1560987E+002, 5.7800145E-003, 3.1030166E-002, 7.7307145E-002, 3.2600851E-001, 1.4049875E-001, 7.7307145E-002, 3.4206827E-001, 0.0000000E+000,-2.0000000E+000, 1.3397117E+001, 9.5780306E+000, 2.7522936E+000, 4.5777206E-001, 1.8403416E+001, 1.5598989E+000
 3.5000000E+000, 8.9263890E+002, 8.7067875E-003, 3.6502877E-002, 7.8979033E-002, 2.5648677E-001, 1.5326492E-001, 7.8979033E-002, 3.8708058E-001, 0.0000000E+000,-1.0000000E+000, 1.2933596E+001, 9.4271235E+000, 4.1284404E+000, 5.1916469E-001, 1.9527708E+001, 1.4278845E+000
 4.5000000E+000, 9.5150704E+002, 1.2054124E-002, 4.1077756E-002, 7.7683101E-002, 2.0723302E-001, 1.6123764E-001, 7.7683101E-002, 4.2303125E-001, 0.0000000E+000,-1.0000000E-002, 1.2611037E+001, 9.3364617E+000, 5.5045872E+000, 5.5911795E-001, 2.0652171E+001, 1.2391494E+000
 5.5000000E+000, 9.9616965E+002, 1.5560960E-002, 4.4884981E-002, 7.4930969E-002, 1.7098001E-001, 1.6619747E-001, 7.4930969E-002, 4.5251465E-001, 0.0000000E+000, 1.0000000E+000, 1.2521295E+001, 9.3423763E+000, 6.8807339E+000, 5.8538302E-001, 2.1776780E+001, 1.1478335E+000
 6.5000000E+000, 1.0300332E+003, 1.9379016E-002, 4.7885582E-002, 7.1525224E-002, 1.4341953E-001, 1.6887519E-001, 7.1525224E-002, 4.7739024E-001, 0.0000000E+000, 2.0000000E+000, 1.3356477E+001, 9.5898681E+000, 8.2568807E+000, 5.8886245E-001, 2.2901513E+001, 1.0142171E+000
 7.5000000E+000, 1.0559028E+003, 2.3307319E-002, 5.0227400E-002, 6.7913187E-002, 1.2204492E-001, 1.7001686E-001, 6.7913187E-002, 4.9857713E-001, 0.0000000E+000, 3.0000000E+000, 1.4317738E+001, 9.7473860E+000, 9.6330275E+000, 5.7737416E-001, 2.4026353E+001, 9.4675615E-001
 8.5000000E+000, 1.0771192E+003, 2.7215478E-002, 5.2140996E-002, 6.4200724E-002, 1.0496488E-001, 1.7019279E-001, 6.4200724E-002, 5.1708441E-001, 0.0000000E+000, 4.0000000E+000, 1.5692472E+001, 9.8083957E+000, 1.1009174E+001, 5.5892431E-001, 2.5151285E+001, 8.4681299E-001
 9.5000000E+000, 1.0938618E+003, 3.1338382E-002, 5.3547269E-002, 6.0552223E-002, 9.0940128E-002, 1.6941165E-001, 6.0552223E-002, 5.3365813E-001, 0.0000000E+000, 5.0000000E+000, 1.6960508E+001, 9.6575669E+000, 1.2385321E+001, 5.5709083E-001, 2.6276297E+001, 7.6194415E-001
 1.0500000E+001, 1.1070843E+003, 3.5548316E-002, 5.4593241E-002, 5.6980275E-002, 7.9245631E-002, 1.6798129E-001, 5.6980275E-002, 5.4867097E-001, 0.0000000E+000, 6.0000000E+000, 1.6960508E+001, 9.6575669E+000, 1.3761468E+001, 5.5976697E-001, 2.7401380E+001, 7.1779511E-001
 1.1500000E+001, 1.1159101E+003, 4.0018684E-002, 5.5190310E-002, 5.3568243E-002, 6.9413696E-002, 1.6580891E-001, 5.3568243E-002, 5.6243191E-001, 0.0000000E+000, 7.0000000E+000, 1.7614103E+001, 9.2322718E+000, 1.5137615E+001, 5.7143659E-001, 2.8526525E+001, 6.5120541E-001
 1.2500000E+001, 1.1224192E+003, 4.4479027E-002, 5.5529267E-002, 5.0335084E-002, 6.0990462E-002, 1.6329535E-001, 5.0335084E-002, 5.7503573E-001, 0.0000000E+000, 8.0000000E+000, 1.7594719E+001, 7.8245311E+000, 1.6513761E+001, 5.7703348E-001, 2.9651726E+001, 6.1586131E-001
 1.3500000E+001, 1.1268761E+003, 4.8953444E-002, 5.5684172E-002, 4.7197603E-002, 5.3626157E-002, 1.6050670E-001, 4.7197603E-002, 5.8683432E-001, 0.0000000E+000, 9.0000000E+000, 1.6859887E+001, 7.0289117E+000, 1.7889908E+001, 5.8106637E-001, 3.0776976E+001, 5.6251714E-001
