cm,K,K,cm,K,K,K,K,K,K,K,K,K,K
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS
 5.0000000E-001, 5.5771390E+002, 1.9185870E+002,-9.5000000E+000, 1.2214887E+003, 3.2035671E+002, 1.0035444E+003, 3.6635046E+002, 7.6666135E+002, 3.2279719E+002, 5.9873663E+002, 2.2220617E+002, 5.0995576E+002, 1.4954280E+002
 1.5000000E+000, 7.4844549E+002, 2.7457927E+002,-8.5000000E+000, 1.2498851E+003, 3.0279281E+002, 1.0338714E+003, 3.6018141E+002, 7.8312785E+002, 3.2189026E+002, 6.0705201E+002, 2.2381322E+002, 5.1485156E+002, 1.5187111E+002
 2.5000000E+000, 8.8026104E+002, 3.0446458E+002,-7.5000000E+000, 1.2711539E+003, 2.9808715E+002, 1.0683766E+003, 3.5444282E+002, 7.9751655E+002, 3.2089410E+002, 6.1469594E+002, 2.2513829E+002, 5.1964137E+002, 1.5467485E+002
 3.5000000E+000, 9.6404587E+002, 3.0511993E+002,-6.5000000E+000, 1.2775459E+003, 2.9202602E+002, 1.1034153E+003, 3.4756883E+002, 8.0995603E+002, 3.2062016E+002, 6.2087489E+002, 2.2586252E+002, 5.2361454E+002, 1.5630170E+002
 4.5000000E+000, 1.0197276E+003, 2.9434029E+002,-5.5000000E+000, 1.2786443E+003, 2.7788790E+002, 1.1287538E+003, 3.4035445E+002, 8.2057322E+002, 3.2015180E+002, 6.2547113E+002, 2.2699872E+002, 5.2652092E+002, 1.5627943E+002
 5.5000000E+000, 1.0629923E+003, 2.8634333E+002,-4.5000000E+000, 1.2878844E+003, 2.6887288E+002, 1.1486749E+003, 3.3464038E+002, 8.2877090E+002, 3.2029784E+002, 6.2838239E+002, 2.2851455E+002, 5.2876167E+002, 1.5587165E+002
 6.5000000E+000, 1.1055752E+003, 2.8706629E+002,-3.5000000E+000, 1.2979359E+003, 2.6000397E+002, 1.1625146E+003, 3.3214237E+002, 8.3593610E+002, 3.1987388E+002, 6.3230295E+002, 2.3055986E+002, 5.3027640E+002, 1.5578106E+002
 7.5000000E+000, 1.1413437E+003, 2.8176109E+002,-2.5000000E+000, 1.3046842E+003, 2.5501973E+002, 1.1679702E+003, 3.3240687E+002, 8.3845777E+002, 3.1885985E+002, 6.3445431E+002, 2.3056889E+002, 5.3203320E+002, 1.5601025E+002
 8.5000000E+000, 1.1692063E+003, 2.7570019E+002,-1.5000000E+000, 1.3021456E+003, 2.5904789E+002, 1.1683463E+003, 3.3250580E+002, 8.3803396E+002, 3.1937387E+002, 6.3452000E+002, 2.3164209E+002, 5.3252344E+002, 1.5425527E+002
 9.5000000E+000, 1.1872042E+003, 2.7240497E+002,-5.0000000E-001, 1.3008128E+003, 2.6106115E+002, 1.1631109E+003, 3.3410453E+002, 8.3440673E+002, 3.2019994E+002, 6.3392983E+002, 2.3096837E+002, 5.3191819E+002, 1.5304286E+002
 1.0500000E+001, 1.2017813E+003, 2.6983848E+002, 5.0000000E-001, 1.2954591E+003, 2.6463389E+002, 1.1524105E+003, 3.3625685E+002, 8.2800217E+002, 3.2035407E+002, 6.3160146E+002, 2.2957533E+002, 5.3059231E+002, 1.5299999E+002
 1.1500000E+001, 1.2175393E+003, 2.7031130E+002, 1.5000000E+000, 1.2851023E+003, 2.6846891E+002, 1.1417469E+003, 3.4155142E+002, 8.2148678E+002, 3.2092880E+002, 6.2694670E+002, 2.2748495E+002, 5.2845183E+002, 1.5170384E+002
 1.2500000E+001, 1.2334849E+003, 2.7038767E+002, 2.5000000E+000, 1.2793193E+003, 2.7372040E+002, 1.1227803E+003, 3.4482044E+002, 8.1197636E+002, 3.2048761E+002, 6.2196513E+002, 2.2486159E+002, 5.2510085E+002, 1.4841217E+002
 1.3500000E+001, 1.2486589E+003, 2.6900752E+002, 3.5000000E+000, 1.2726895E+003, 2.8620218E+002, 1.0970321E+003, 3.5053010E+002, 7.9710164E+002, 3.1762367E+002, 6.1574410E+002, 2.2233717E+002, 5.2192867E+002, 1.4570613E+002
 1.4500000E+001, 1.2609315E+003, 2.6619338E+002, 4.5000000E+000, 1.2723358E+003, 2.9359867E+002, 1.0690959E+003, 3.5939833E+002, 7.8154049E+002, 3.1521867E+002, 6.0817889E+002, 2.1813726E+002, 5.1849724E+002, 1.4382544E+002
 1.5500000E+001, 1.2697841E+003, 2.6464424E+002, 5.5000000E+000, 1.2651863E+003, 2.9816232E+002, 1.0419892E+003, 3.6844743E+002, 7.6451650E+002, 3.1391651E+002, 5.9897829E+002, 2.1327084E+002, 5.1427978E+002, 1.4240746E+002
 1.6500000E+001, 1.2771994E+003, 2.6512023E+002, 6.5000000E+000, 1.2532524E+003, 3.1073780E+002, 1.0084768E+003, 3.7456546E+002, 7.4372558E+002, 3.1147212E+002, 5.8901510E+002, 2.0961313E+002, 5.1033587E+002, 1.4117361E+002
 1.7500000E+001, 1.2842810E+003, 2.6616447E+002, 7.5000000E+000, 1.2404449E+003, 3.1509014E+002, 9.7488218E+002, 3.7707644E+002, 7.2071999E+002, 3.0786668E+002, 5.7987875E+002, 2.0734998E+002, 5.0662073E+002, 1.4069322E+002
 1.8500000E+001, 1.2905506E+003, 2.6589126E+002, 8.5000000E+000, 1.2364255E+003, 3.2107505E+002, 9.3510879E+002, 3.7780980E+002, 6.9801182E+002, 3.0464340E+002, 5.6946086E+002, 2.0163435E+002, 5.0263910E+002, 1.3973552E+002
 1.9500000E+001, 1.2954591E+003, 2.6463389E+002, 9.5000000E+000, 1.2268744E+003, 3.2728113E+002, 8.9462692E+002, 3.7929753E+002, 6.7567621E+002, 2.9809996E+002, 5.5835637E+002, 1.9579471E+002, 4.9795503E+002, 1.3804839E+002
 2.0500000E+001, 1.3003192E+003, 2.6371977E+002, 1.0500000E+001, 1.2054212E+003, 3.3582484E+002, 8.5494146E+002, 3.8283857E+002, 6.5270336E+002, 2.8871415E+002, 5.4702609E+002, 1.8971451E+002, 4.9343155E+002, 1.3654457E+002
 2.1500000E+001, 1.3046080E+003, 2.6413499E+002, 1.1500000E+001, 1.1857351E+003, 3.4432003E+002, 8.1375122E+002, 3.7938422E+002, 6.3061646E+002, 2.8160357E+002, 5.3568183E+002, 1.8391684E+002, 4.8834814E+002, 1.3444837E+002
 2.2500000E+001, 1.3079748E+003, 2.6617532E+002, 1.2500000E+001, 1.1634013E+003, 3.5377278E+002, 7.7452174E+002, 3.7507861E+002, 6.1021435E+002, 2.7459768E+002, 5.2456431E+002, 1.7823596E+002, 4.8234765E+002, 1.3153670E+002
 2.3500000E+001, 1.3118711E+003, 2.6817576E+002, 1.3500000E+001, 1.1333348E+003, 3.6886752E+002, 7.4013426E+002, 3.6873809E+002, 5.8862789E+002, 2.6402510E+002, 5.1298754E+002, 1.7340788E+002, 4.7691218E+002, 1.2953565E+002
 2.4500000E+001, 1.3154228E+003, 2.6943079E+002, 1.4500000E+001, 1.1011830E+003, 3.8029098E+002, 7.0810477E+002, 3.6219546E+002, 5.7058243E+002, 2.5546976E+002, 5.0262375E+002, 1.7048840E+002, 4.7196473E+002, 1.2827953E+002
 2.5500000E+001, 1.3176879E+003, 2.7040338E+002, 1.5500000E+001, 1.0751245E+003, 3.9733857E+002, 6.8488384E+002, 3.6086388E+002, 5.5589451E+002, 2.5055139E+002, 4.9280268E+002, 1.6730145E+002, 4.6642920E+002, 1.2610597E+002
 2.6500000E+001, 1.3185493E+003, 2.7143071E+002, 1.6500000E+001, 1.0492700E+003, 4.1304738E+002, 6.6091278E+002, 3.5800962E+002, 5.4196388E+002, 2.4572686E+002, 4.8225415E+002, 1.6154156E+002, 4.5968119E+002, 1.2267661E+002
 2.7500000E+001, 1.3184188E+003, 2.7225864E+002, 1.7500000E+001, 1.0144747E+003, 4.2121172E+002, 6.3550508E+002, 3.5102524E+002, 5.2757750E+002, 2.3737028E+002, 4.7316720E+002, 1.5653662E+002, 4.5216598E+002, 1.1809770E+002
 2.8500000E+001, 1.3169423E+003, 2.7309372E+002, 1.8500000E+001, 9.7768819E+002, 4.2797490E+002, 6.1011697E+002, 3.4167191E+002, 5.1478302E+002, 2.3192502E+002, 4.6514540E+002, 1.5214857E+002, 4.4445180E+002, 1.1354870E+002
 2.9500000E+001, 1.3144896E+003, 2.7413861E+002, 1.9500000E+001, 9.4389111E+002, 4.3782048E+002, 5.8563791E+002, 3.3007109E+002, 5.0168665E+002, 2.2407691E+002, 4.5709636E+002, 1.4831073E+002, 4.3782773E+002, 1.0996784E+002
 3.0500000E+001, 1.3118160E+003, 2.7541312E+002, 2.0500000E+001, 9.1092258E+002, 4.4096363E+002, 5.6494937E+002, 3.1776081E+002, 4.9028519E+002, 2.1766179E+002, 4.4958307E+002, 1.4395331E+002, 4.3145386E+002, 1.0738939E+002
 3.1500000E+001, 1.3092583E+003, 2.7656755E+002, 2.1500000E+001, 8.8022615E+002, 4.3720218E+002, 5.4687433E+002, 3.0752532E+002, 4.7830842E+002, 2.0954328E+002, 4.4249059E+002, 1.3871830E+002, 4.2585258E+002, 1.0534888E+002
 3.2500000E+001, 1.3059106E+003, 2.7768349E+002, 2.2500000E+001, 8.4953863E+002, 4.3154979E+002, 5.3104214E+002, 2.9499644E+002, 4.6762846E+002, 2.0203554E+002, 4.3593007E+002, 1.3322403E+002, 4.2056081E+002, 1.0272048E+002
 3.3500000E+001, 1.3021330E+003, 2.7995767E+002, 2.3500000E+001, 8.1887040E+002, 4.2802982E+002, 5.1636251E+002, 2.8127993E+002, 4.5565001E+002, 1.9129273E+002, 4.3036915E+002, 1.2883729E+002, 4.1543816E+002, 9.9286623E+001
 3.4500000E+001, 1.2986301E+003, 2.8311976E+002, 2.4500000E+001, 7.8277465E+002, 4.2243195E+002, 5.0492402E+002, 2.7224621E+002, 4.4373563E+002, 1.8056107E+002, 4.2504419E+002, 1.2508258E+002, 4.1139750E+002, 9.6660982E+001
 3.5500000E+001, 1.2960087E+003, 2.8647101E+002, 2.5500000E+001, 7.4880554E+002, 4.1360020E+002, 4.9463758E+002, 2.6492974E+002, 4.3309331E+002, 1.7127802E+002, 4.1940337E+002, 1.2242248E+002, 4.0680826E+002, 9.3060759E+001
 3.6500000E+001, 1.2938749E+003, 2.8877693E+002, 2.6500000E+001, 7.2094896E+002, 4.1262729E+002, 4.8553760E+002, 2.5742152E+002, 4.2361463E+002, 1.6462416E+002, 4.1314065E+002, 1.1866872E+002, 4.0170572E+002, 9.0022532E+001
 3.7500000E+001, 1.2913741E+003, 2.9027052E+002, 2.7500000E+001, 6.9962631E+002, 4.1288347E+002, 4.7581709E+002, 2.4916840E+002, 4.1643919E+002, 1.5836246E+002, 4.0694888E+002, 1.1435198E+002, 3.9644059E+002, 8.7728313E+001
 3.8500000E+001, 1.2882505E+003, 2.9145556E+002, 2.8500000E+001, 6.7367346E+002, 4.0639052E+002, 4.6457108E+002, 2.3971452E+002, 4.1061082E+002, 1.5205413E+002, 4.0080173E+002, 1.1021973E+002, 3.9160606E+002, 8.6086032E+001
 3.9500000E+001, 1.2837522E+003, 2.9219645E+002, 2.9500000E+001, 6.4577610E+002, 3.9373105E+002, 4.5632599E+002, 2.3341213E+002, 4.0575877E+002, 1.4764021E+002, 3.9553793E+002, 1.0845280E+002, 3.8708023E+002, 8.3956393E+001
