cm,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 1.0000000E+000, 2.6036960E+002, 5.3117205E-002, 2.5465708E-002, 1.5443398E-002, 4.6091633E-001, 5.3147250E-002, 1.1818927E-002, 3.7974099E-001, 1.0654444E-004
 3.0000000E+000, 3.9407066E+002, 6.0404431E-002, 3.3859469E-002, 2.0081532E-002, 3.3442547E-001, 6.9992270E-002, 1.5368519E-002, 4.6541295E-001, 1.4917852E-004
 5.0000000E+000, 5.1975377E+002, 6.0742803E-002, 4.0703719E-002, 2.3903990E-002, 2.5793242E-001, 8.3584804E-002, 1.8293870E-002, 5.1429635E-001, 1.8693951E-004
 7.0000000E+000, 5.9970661E+002, 6.0309521E-002, 4.5819238E-002, 2.6277482E-002, 2.0643077E-001, 9.3343822E-002, 2.0110318E-002, 5.4711299E-001, 2.1165693E-004
 9.0000000E+000, 6.6537664E+002, 5.9488964E-002, 4.9870364E-002, 2.8081413E-002, 1.6830568E-001, 1.0099806E-001, 2.1490877E-002, 5.7112788E-001, 2.3125473E-004
 1.1000000E+001, 7.2000901E+002, 5.8861282E-002, 5.3189745E-002, 2.9179510E-002, 1.3872607E-001, 1.0697332E-001, 2.2331258E-002, 5.9007715E-001, 2.4423808E-004
 1.3000000E+001, 7.5933351E+002, 5.9616737E-002, 5.5442089E-002, 2.9485428E-002, 1.1515986E-001, 1.1072040E-001, 2.2565379E-002, 6.0634150E-001, 2.4985855E-004
 1.5000000E+001, 7.8702829E+002, 6.1592869E-002, 5.6745153E-002, 2.9275244E-002, 9.6060587E-002, 1.1263276E-001, 2.2404523E-002, 6.2062502E-001, 2.5048844E-004
 1.7000000E+001, 8.0568198E+002, 6.4746599E-002, 5.7304099E-002, 2.8421783E-002, 8.0581909E-002, 1.1292672E-001, 2.1751365E-002, 6.3362304E-001, 2.4496751E-004
 1.9000000E+001, 8.1714442E+002, 6.8765970E-002, 5.7266166E-002, 2.7161558E-002, 6.7847273E-002, 1.1200564E-001, 2.0786906E-002, 6.4555058E-001, 2.3540658E-004
 2.1000000E+001, 8.2584792E+002, 7.2702436E-002, 5.7036529E-002, 2.5907351E-002, 5.7049555E-002, 1.1079019E-001, 1.9827054E-002, 6.5609942E-001, 2.2565231E-004
 2.3000000E+001, 8.3053387E+002, 7.6992040E-002, 5.6546395E-002, 2.4419376E-002, 4.7844767E-002, 1.0899961E-001, 1.8688298E-002, 6.6595579E-001, 2.1357408E-004
 2.5000000E+001, 8.2878649E+002, 8.2309241E-002, 5.5438577E-002, 2.2721558E-002, 3.9807770E-002, 1.0612119E-001, 1.7388947E-002, 6.7569749E-001, 1.9948647E-004
 2.7000000E+001, 8.2325069E+002, 8.8083696E-002, 5.3957929E-002, 2.0957262E-002, 3.2959922E-002, 1.0262825E-001, 1.6038721E-002, 6.8489899E-001, 1.8465433E-004
 2.9000000E+001, 8.1626503E+002, 9.3653580E-002, 5.2399556E-002, 1.9290469E-002, 2.7247875E-002, 9.9085137E-002, 1.4763114E-002, 6.9312284E-001, 1.7056244E-004
 3.1000000E+001, 8.0753897E+002, 9.9015034E-002, 5.0774123E-002, 1.7733007E-002, 2.2544512E-002, 9.5517483E-002, 1.3571179E-002, 7.0044255E-001, 1.5729389E-004
 3.3000000E+001, 7.9635901E+002, 1.0425006E-001, 4.9114788E-002, 1.6186149E-002, 1.8672151E-002, 9.1901763E-002, 1.2387359E-002, 7.0712070E-001, 1.4393894E-004
 3.5010000E+001, 7.8099129E+002, 1.0975890E-001, 4.7239783E-002, 1.4584565E-002, 1.5523276E-002, 8.7918099E-002, 1.1161657E-002, 7.1348301E-001, 1.2990982E-004
 3.7000000E+001, 7.7138712E+002, 1.1263576E-001, 4.6187684E-002, 1.3804493E-002, 1.4198240E-002, 8.5769070E-002, 1.0564663E-002, 7.1652707E-001, 1.2304366E-004
 3.9000000E+001, 7.5036651E+002, 1.1833517E-001, 4.3995260E-002, 1.2376736E-002, 1.1878061E-002, 8.1436611E-002, 9.4719920E-003, 7.2222552E-001, 1.1048002E-004
 4.1000000E+001, 7.2164861E+002, 1.2559238E-001, 4.1130181E-002, 1.0635216E-002, 9.1477126E-003, 7.5866371E-002, 8.1391960E-003, 7.2924778E-001, 9.5173556E-005
 4.3000000E+001, 7.1277628E+002, 1.2775349E-001, 4.0271292E-002, 1.0121484E-002, 8.3573455E-003, 7.4202617E-002, 7.7460340E-003, 7.3131822E-001, 9.0653114E-005
 4.5000000E+001, 6.9548064E+002, 1.3185172E-001, 3.8678935E-002, 9.0767929E-003, 6.9078516E-003, 7.1048623E-002, 6.9465252E-003, 7.3528373E-001, 8.1429500E-005
 4.7000000E+001, 6.7570177E+002, 1.3596104E-001, 3.7044591E-002, 8.0403466E-003, 5.7083356E-003, 6.7836494E-002, 6.1533265E-003, 7.3907354E-001, 7.2208965E-005
 4.9000000E+001, 6.5317098E+002, 1.4017780E-001, 3.5284954E-002, 7.0676791E-003, 4.7053933E-003, 6.4483900E-002, 5.4089381E-003, 7.4271107E-001, 6.3523678E-005
 5.1000000E+001, 6.1728106E+002, 1.4644733E-001, 3.2565029E-002, 5.7410282E-003, 3.4738551E-003, 5.9432535E-002, 4.3936440E-003, 7.4781640E-001, 5.1645140E-005
 5.3000000E+001, 5.9187633E+002, 1.5051825E-001, 3.0762552E-002, 4.9073988E-003, 2.8350299E-003, 5.6118100E-002, 3.7556623E-003, 7.5099173E-001, 4.4158270E-005
 5.5000000E+001, 5.6625840E+002, 1.5428540E-001, 2.9049573E-002, 4.1995264E-003, 2.2990169E-003, 5.3031187E-002, 3.2139233E-003, 7.5382614E-001, 3.7814024E-005
 5.7000000E+001, 5.5429334E+002, 1.5593747E-001, 2.8277299E-002, 3.9201890E-003, 2.0830460E-003, 5.1669240E-002, 3.0001446E-003, 7.5502372E-001, 3.5322217E-005
