cm,K,K,cm,K,K,K,K,K,K,K,K,K,K
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS
 5.0000000E-001, 6.5400063E+002, 1.9949708E+002,-9.5000000E+000, 1.0867655E+003, 3.4541237E+002, 9.1220162E+002, 3.8833930E+002, 7.5224712E+002, 3.3444769E+002, 6.2881843E+002, 2.5535164E+002, 5.3229298E+002, 1.6738139E+002
 2.5000000E+000, 8.6246831E+002, 2.7838723E+002,-7.4655172E+000, 1.1378594E+003, 3.0552791E+002, 9.9174501E+002, 3.7563258E+002, 8.0068534E+002, 3.4231652E+002, 6.4867136E+002, 2.6449665E+002, 5.4210811E+002, 1.7267660E+002
 4.5000000E+000, 9.6306964E+002, 2.8042296E+002,-5.4310345E+000, 1.1723044E+003, 2.6842517E+002, 1.0658869E+003, 3.5653289E+002, 8.4336813E+002, 3.4736995E+002, 6.6576825E+002, 2.6780799E+002, 5.4916452E+002, 1.7582031E+002
 6.5000000E+000, 1.0238396E+003, 2.7549734E+002,-3.3965517E+000, 1.1928896E+003, 2.4748970E+002, 1.1291596E+003, 3.3840268E+002, 8.8034651E+002, 3.5089875E+002, 6.7830270E+002, 2.7296707E+002, 5.5391835E+002, 1.7718729E+002
 8.5000000E+000, 1.0629048E+003, 2.6697560E+002,-1.3620690E+000, 1.2022295E+003, 2.3233111E+002, 1.1687987E+003, 3.2037724E+002, 9.0361980E+002, 3.5286335E+002, 6.8342252E+002, 2.7329077E+002, 5.5500300E+002, 1.7908880E+002
 1.0500000E+001, 1.0956747E+003, 2.5861576E+002, 6.7241379E-001, 1.2023294E+003, 2.2669325E+002, 1.1780825E+003, 3.0660564E+002, 9.1402321E+002, 3.5410114E+002, 6.8063840E+002, 2.7200811E+002, 5.5385689E+002, 1.8009911E+002
 1.2500000E+001, 1.1227202E+003, 2.4823990E+002, 2.7068966E+000, 1.1772796E+003, 2.3372772E+002, 1.1605879E+003, 3.1714994E+002, 9.0545972E+002, 3.5457409E+002, 6.7343053E+002, 2.7232378E+002, 5.5282725E+002, 1.8351034E+002
 1.4500000E+001, 1.1453262E+003, 2.3926980E+002, 4.7413793E+000, 1.1750072E+003, 2.5610395E+002, 1.1180140E+003, 3.4073497E+002, 8.7341307E+002, 3.5509376E+002, 6.6449936E+002, 2.7579315E+002, 5.4930443E+002, 1.8837224E+002
 1.6500000E+001, 1.1671391E+003, 2.3436615E+002, 6.7758621E+000, 1.1669704E+003, 2.8315103E+002, 1.0593906E+003, 3.6614205E+002, 8.2384678E+002, 3.5407039E+002, 6.5215545E+002, 2.7444164E+002, 5.4483457E+002, 1.8983793E+002
 1.8500000E+001, 1.1870066E+003, 2.3014462E+002, 8.8103448E+000, 1.1239106E+003, 3.1667416E+002, 9.8258506E+002, 3.8603355E+002, 7.7323652E+002, 3.5061136E+002, 6.3609281E+002, 2.7138473E+002, 5.3846783E+002, 1.9295510E+002
 2.0500000E+001, 1.2023294E+003, 2.2669325E+002, 1.0844828E+001, 1.0651640E+003, 3.4160637E+002, 8.9923442E+002, 3.9664724E+002, 7.2654575E+002, 3.4337281E+002, 6.1482664E+002, 2.6453761E+002, 5.3152331E+002, 1.9602604E+002
