cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 1.0000000E+000, 5.9531955E+002, 9.6450888E-003, 2.3145404E-002, 8.2357171E-002, 3.5231829E-001, 1.0078238E-001, 6.5018819E-002, 3.6191664E-001, 1.6504919E-003
 3.0000000E+000, 7.9936491E+002, 9.5064605E-003, 3.1519282E-002, 9.6144388E-002, 2.1554784E-001, 1.2446961E-001, 7.5903464E-002, 4.4128647E-001, 2.1139239E-003
 5.0000000E+000, 9.3604479E+002, 1.0960906E-002, 3.9081878E-002, 9.7526024E-002, 1.3997097E-001, 1.3708289E-001, 7.6994229E-002, 4.9267983E-001, 2.2475554E-003
 7.0000000E+000, 1.0265799E+003, 1.5055072E-002, 4.5424550E-002, 9.1957304E-002, 9.6584235E-002, 1.4235177E-001, 7.2597871E-002, 5.3065158E-001, 2.1666969E-003
 9.0000000E+000, 1.0816676E+003, 2.1419642E-002, 5.0029333E-002, 8.3622896E-002, 7.0403077E-002, 1.4281069E-001, 6.6018076E-002, 5.6080606E-001, 1.9897001E-003
 1.1000000E+001, 1.1141071E+003, 2.8972539E-002, 5.3059674E-002, 7.4877264E-002, 5.3458063E-002, 1.4056535E-001, 5.9113629E-002, 5.8557469E-001, 1.7887102E-003
 1.3000000E+001, 1.1333222E+003, 3.6713445E-002, 5.4958001E-002, 6.6775535E-002, 4.1625388E-002, 1.3711371E-001, 5.2717528E-002, 6.0619140E-001, 1.5975672E-003
 1.5000000E+001, 1.1437888E+003, 4.4360475E-002, 5.6095496E-002, 5.9388822E-002, 3.2865369E-002, 1.3307272E-001, 4.6885912E-002, 6.2385818E-001, 1.4212027E-003
 1.7000000E+001, 1.1485034E+003, 5.1828974E-002, 5.6699431E-002, 5.2657108E-002, 2.6028377E-002, 1.2873902E-001, 4.1571401E-002, 6.3939633E-001, 1.2598954E-003
 1.9000000E+001, 1.1488487E+003, 5.9056425E-002, 5.6861827E-002, 4.6589730E-002, 2.0615150E-002, 1.2425906E-001, 3.6781366E-002, 6.5311190E-001, 1.1144273E-003
 2.1000000E+001, 1.1455125E+003, 6.6073614E-002, 5.6643529E-002, 4.1120801E-002, 1.6312470E-002, 1.1967338E-001, 3.2463790E-002, 6.6530769E-001, 9.8316833E-004
 2.3000000E+001, 1.1389271E+003, 7.2924990E-002, 5.6119106E-002, 3.6135477E-002, 1.2875334E-002, 1.1500460E-001, 2.8528008E-002, 6.7629930E-001, 8.6331946E-004
 2.5000000E+001, 1.1292694E+003, 7.9758549E-002, 5.5277182E-002, 3.1557493E-002, 1.0072374E-002, 1.1017679E-001, 2.4913811E-002, 6.8639833E-001, 7.5313278E-004
 2.7000000E+001, 1.1179301E+003, 8.6348461E-002, 5.4256999E-002, 2.7387253E-002, 7.8433126E-003, 1.0539892E-001, 2.1621516E-002, 6.9554195E-001, 6.5271434E-004
 2.9000000E+001, 1.1052918E+003, 9.2555661E-002, 5.3140203E-002, 2.3642686E-002, 6.0958734E-003, 1.0080746E-001, 1.8665278E-002, 7.0371022E-001, 5.6258175E-004
 3.1000000E+001, 1.0908489E+003, 9.8538002E-002, 5.1897661E-002, 2.0242485E-002, 4.7218107E-003, 9.6295629E-002, 1.5980909E-002, 7.1113973E-001, 4.8072967E-004
 3.3000000E+001, 1.0721892E+003, 1.0468067E-001, 5.0349052E-002, 1.7131546E-002, 3.6301187E-003, 9.1550655E-002, 1.3524905E-002, 7.1813121E-001, 4.0592991E-004
 3.5020000E+001, 1.0528402E+003, 1.1067782E-001, 4.8639660E-002, 1.4373890E-002, 2.7743190E-003, 8.6840189E-002, 1.1347808E-002, 7.2450574E-001, 3.3976801E-004
 3.7000000E+001, 1.0528402E+003, 1.1067782E-001, 4.8639660E-002, 1.4373890E-002, 2.7743190E-003, 8.6840189E-002, 1.1347808E-002, 7.2450574E-001, 3.3976801E-004
 3.9000000E+001, 1.0314250E+003, 1.1654458E-001, 4.6797987E-002, 1.1919557E-002, 2.1000246E-003, 8.2168039E-002, 9.4101766E-003, 7.3036259E-001, 2.8103654E-004
 4.1000000E+001, 9.8338417E+002, 1.2784462E-001, 4.2755607E-002, 7.9231901E-003, 1.1776005E-003, 7.2997453E-002, 6.2551501E-003, 7.4058303E-001, 1.8579220E-004
 4.3000000E+001, 9.8338417E+002, 1.2784462E-001, 4.2755607E-002, 7.9231901E-003, 1.1776005E-003, 7.2997453E-002, 6.2551501E-003, 7.4058303E-001, 1.8579220E-004
 4.5000000E+001, 9.5744663E+002, 1.3322944E-001, 4.0603959E-002, 6.3587448E-003, 8.7288000E-004, 6.8555122E-002, 5.0200617E-003, 7.4498794E-001, 1.4871875E-004
 4.7000000E+001, 9.3068994E+002, 1.3825417E-001, 3.8457470E-002, 5.1125066E-003, 6.4994701E-004, 6.4368785E-002, 4.0361894E-003, 7.4882196E-001, 1.1928173E-004
 4.9000000E+001, 9.0326088E+002, 1.4299030E-001, 3.6364945E-002, 4.0430467E-003, 4.7822918E-004, 6.0401154E-002, 3.1918790E-003, 7.5229402E-001, 9.4063541E-005
 5.1000000E+001, 8.4704512E+002, 1.5175664E-001, 3.2263155E-002, 2.4171721E-003, 2.5341255E-004, 5.2990875E-002, 1.9082938E-003, 7.5826909E-001, 5.5908312E-005
 5.3000000E+001, 8.1878661E+002, 1.5576574E-001, 3.0293749E-002, 1.8200705E-003, 1.7983567E-004, 4.9576185E-002, 1.4368977E-003, 7.6082108E-001, 4.1962493E-005
 5.5000000E+001, 7.9158973E+002, 1.5944666E-001, 2.8437588E-002, 1.3472325E-003, 1.2583476E-004, 4.6428033E-002, 1.0636046E-003, 7.6307226E-001, 3.0965525E-005
 5.7000000E+001, 7.9158973E+002, 1.5944666E-001, 2.8437588E-002, 1.3472325E-003, 1.2583476E-004, 4.6428033E-002, 1.0636046E-003, 7.6307226E-001, 3.0965525E-005
 5.9000000E+001, 7.6511161E+002, 1.6277627E-001, 2.6706689E-002, 1.0017538E-003, 8.8283617E-005, 4.3566838E-002, 7.9085824E-004, 7.6501072E-001, 2.2951055E-005
 6.1000000E+001, 7.1458568E+002, 1.6869562E-001, 2.3539868E-002, 5.2908794E-004, 4.3661897E-005, 3.8456474E-002, 4.1770101E-004, 7.6828664E-001, 1.2033210E-005
 6.3000000E+001, 6.9082329E+002, 1.7134611E-001, 2.2087773E-002, 3.7159218E-004, 3.0544259E-005, 3.6159439E-002, 2.9336225E-004, 7.6968945E-001, 8.4219029E-006
 6.5000000E+001, 6.6887764E+002, 1.7371438E-001, 2.0767641E-002, 2.6720924E-004, 2.1478204E-005, 3.4101446E-002, 2.1095467E-004, 7.7090126E-001, 6.0430722E-006
 6.7000000E+001, 6.6887764E+002, 1.7371438E-001, 2.0767641E-002, 2.6720924E-004, 2.1478204E-005, 3.4101446E-002, 2.1095467E-004, 7.7090126E-001, 6.0430722E-006
 6.9000000E+001, 6.3089906E+002, 1.7761400E-001, 1.8568900E-002, 1.3516152E-004, 1.0933726E-005, 3.0706398E-002, 1.0670646E-004, 7.7285000E-001, 3.0397958E-006
 7.1000000E+001, 6.1355789E+002, 1.7930859E-001, 1.7602748E-002, 9.4868086E-005, 7.8872337E-006, 2.9228416E-002, 7.4895858E-005, 7.7367705E-001, 2.1281335E-006
 7.3000000E+001, 5.9640277E+002, 1.8093966E-001, 1.6664899E-002, 6.8820263E-005, 5.6528664E-006, 2.7803933E-002, 5.4331786E-005, 7.7445868E-001, 1.5417704E-006
 7.4980000E+001, 5.9640277E+002, 1.8093966E-001, 1.6664899E-002, 6.8820263E-005, 5.6528664E-006, 2.7803933E-002, 5.4331786E-005, 7.7445868E-001, 1.5417704E-006
 7.7000000E+001, 5.6587466E+002, 1.8390803E-001, 1.4949528E-002, 3.5135246E-005, 2.9201766E-006, 2.5209380E-002, 2.7738352E-005, 7.7586521E-001, 7.8571024E-007
 7.9000000E+001, 5.5271002E+002, 1.8517743E-001, 1.4213309E-002, 2.4986723E-005, 2.1051358E-006, 2.4099191E-002, 1.9726361E-005, 7.7646180E-001, 5.5824072E-007
 8.1000000E+001, 5.4026393E+002, 1.8636119E-001, 1.3525165E-002, 1.8072989E-005, 1.5210134E-006, 2.3063503E-002, 1.4268149E-005, 7.7701522E-001, 4.0347707E-007
 8.3000000E+001, 5.4026393E+002, 1.8636119E-001, 1.3525165E-002, 1.8072989E-005, 1.5210134E-006, 2.3063503E-002, 1.4268149E-005, 7.7701522E-001, 4.0347707E-007
 8.5000000E+001, 5.1807676E+002, 1.8843346E-001, 1.2318196E-002, 9.6855195E-006, 8.3398812E-007, 2.1249881E-002, 7.6464628E-006, 7.7797973E-001, 2.1585422E-007
 8.7000000E+001, 5.0892770E+002, 1.8927241E-001, 1.1828890E-002, 7.3617772E-006, 6.4991265E-007, 2.0515477E-002, 5.8119294E-006, 7.7836897E-001, 1.6398937E-007
 8.9000000E+001, 5.0892770E+002, 1.8927241E-001, 1.1828890E-002, 7.3617772E-006, 6.4991265E-007, 2.0515477E-002, 5.8119294E-006, 7.7836897E-001, 1.6398937E-007
 9.1000000E+001, 4.9335963E+002, 1.9068302E-001, 1.1005341E-002, 4.7877174E-006, 4.1402953E-007, 1.9280450E-002, 3.7797769E-006, 7.7902193E-001, 1.0665441E-007
 9.3000000E+001, 4.9335963E+002, 1.9068302E-001, 1.1005341E-002, 4.7877174E-006, 4.1402953E-007, 1.9280450E-002, 3.7797769E-006, 7.7902193E-001, 1.0665441E-007
 9.5000000E+001, 4.7910762E+002, 1.9194673E-001, 1.0267065E-002, 3.2681863E-006, 2.6669533E-007, 1.8173915E-002, 2.5801471E-006, 7.7960599E-001, 7.2848723E-008
 9.7000000E+001, 4.7188281E+002, 1.9256586E-001, 9.9053107E-003, 2.6018625E-006, 2.0757239E-007, 1.7631777E-002, 2.0541020E-006, 7.7989204E-001, 5.8009380E-008
 9.9000000E+001, 4.7188281E+002, 1.9256586E-001, 9.9053107E-003, 2.6018625E-006, 2.0757239E-007, 1.7631777E-002, 2.0541020E-006, 7.7989204E-001, 5.8009380E-008
