cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot,r_rad1,HF,radHF,z_rad,HF_vert,r_rad2,HF_hori
 1.0000000E+000, 6.1985048E+002, 1.2679501E-002, 2.4710516E-002, 7.2555424E-002, 3.7101809E-001, 1.2304610E-001, 7.2555424E-002, 3.2343494E-001, 0.0000000E+000, 4.0000500E+000, 1.4202226E+001, 8.5771253E+000, 0.0000000E+000, 3.4980158E-001, 1.6155494E+001, 1.3255763E+000
 3.0000000E+000, 8.7132560E+002, 1.4042924E-002, 3.6358798E-002, 8.6223051E-002, 1.9687327E-001, 1.6032948E-001, 8.6223051E-002, 4.1994943E-001, 0.0000000E+000, 3.0000667E+000, 1.4202226E+001, 8.5771253E+000, 2.5423729E+000, 3.6947162E-001, 1.8462585E+001, 1.1066456E+000
 5.0000000E+000, 1.0193783E+003, 1.8297347E-002, 4.5498842E-002, 8.3181900E-002, 1.1229078E-001, 1.7577289E-001, 8.3181900E-002, 4.8177635E-001, 0.0000000E+000, 2.0001000E+000, 1.4202226E+001, 8.5771253E+000, 5.0847458E+000, 3.9731851E-001, 2.0770544E+001, 8.3549062E-001
 7.0000000E+000, 1.1007046E+003, 2.6303152E-002, 5.1743168E-002, 7.3068039E-002, 6.9436319E-002, 1.7830082E-001, 7.3068039E-002, 5.2808047E-001, 0.0000000E+000, 1.0002000E+000, 1.3095436E+001, 8.5766167E+000, 7.6271186E+000, 4.1216678E-001, 2.3079112E+001, 7.2482346E-001
 9.0000000E+000, 1.1408389E+003, 3.6289610E-002, 5.5258539E-002, 6.1862074E-002, 4.6094296E-002, 1.7424567E-001, 6.1862074E-002, 5.6438774E-001, 0.0000000E+000, 2.8284271E-002, 1.3095436E+001, 8.5766167E+000, 1.0169492E+001, 4.1826859E-001, 2.5388123E+001, 5.7902413E-001
 1.1000000E+001, 1.1559077E+003, 4.7094897E-002, 5.6675234E-002, 5.1655914E-002, 3.2130661E-002, 1.6697023E-001, 5.1655914E-002, 5.9381715E-001, 0.0000000E+000, 1.0002000E+000, 1.3299173E+001, 8.5864767E+000, 1.2711864E+001, 4.1824612E-001, 2.7697465E+001, 5.1256037E-001
 1.3000000E+001, 1.1575128E+003, 5.7636869E-002, 5.6820170E-002, 4.2948649E-002, 2.3111285E-002, 1.5863248E-001, 4.2948649E-002, 6.1790189E-001, 0.0000000E+000, 2.0001000E+000, 1.4519367E+001, 8.5417631E+000, 1.5254237E+001, 4.1498072E-001, 3.0007063E+001, 4.2348386E-001
 1.5000000E+001, 1.1516891E+003, 6.7546776E-002, 5.6243694E-002, 3.5573324E-002, 1.6846565E-002, 1.5017082E-001, 3.5573324E-002, 6.3804549E-001, 0.0000000E+000, 3.0000667E+000, 1.4519367E+001, 8.5417631E+000, 1.7796610E+001, 4.1394985E-001, 3.2316861E+001, 3.5462683E-001
 1.7000000E+001, 1.1406706E+003, 7.7000146E-002, 5.5138981E-002, 2.9228774E-002, 1.2297767E-002, 1.4167435E-001, 2.9228774E-002, 6.5543121E-001, 0.0000000E+000, 4.0000500E+000, 1.6103788E+001, 7.9647296E+000, 2.0338983E+001, 4.1252451E-001, 3.4644148E+001, 3.2074698E-001
 1.9000000E+001, 1.1241458E+003, 8.6283989E-002, 5.3502820E-002, 2.3741687E-002, 8.9698245E-003, 1.3296575E-001, 2.3741687E-002, 6.7079425E-001, 0.0000000E+000, 5.0000400E+000, 1.6103788E+001, 7.9647296E+000, 2.2881356E+001, 4.1011645E-001, 3.6936908E+001, 2.7318686E-001
 2.1000000E+001, 1.1035304E+003, 9.5293609E-002, 5.1445119E-002, 1.9092175E-002, 6.5079263E-003, 1.2424557E-001, 1.9092175E-002, 6.8432342E-001, 0.0000000E+000, 6.0000333E+000, 1.6103788E+001, 7.9647296E+000, 2.5423729E+001, 4.0191457E-001, 3.9247104E+001, 2.4901512E-001
 2.3000000E+001, 1.0804143E+003, 1.0381594E-001, 4.9186446E-002, 1.5144060E-002, 4.6845139E-003, 1.1581941E-001, 1.5144060E-002, 6.9620557E-001, 0.0000000E+000, 7.0000286E+000, 1.6466234E+001, 6.5752623E+000, 2.7966102E+001, 3.9630891E-001, 4.1557389E+001, 2.1489563E-001
 2.5000000E+001, 1.0549098E+003, 1.1185367E-001, 4.6775018E-002, 1.1840674E-002, 3.3460874E-003, 1.0772760E-001, 1.1840674E-002, 7.0661628E-001, 0.0000000E+000, 8.0000250E+000, 1.4203832E+001, 4.8974893E+000, 3.0508475E+001, 3.8994130E-001, 4.3867750E+001, 1.9718468E-001
 2.7000000E+001, 1.0274084E+003, 1.1929528E-001, 4.4291886E-002, 9.1686205E-003, 2.3886373E-003, 1.0011888E-001, 9.1686205E-003, 7.1556807E-001, 0.0000000E+000, 9.0000222E+000, 1.4203832E+001, 4.8974893E+000, 3.3050847E+001, 3.7556193E-001, 4.6178175E+001, 1.7202776E-001
 2.9000000E+001, 9.9800546E+002, 1.2622726E-001, 4.1749707E-002, 7.0433516E-003, 1.7028703E-003, 9.2934822E-002, 7.0433516E-003, 7.2329864E-001, 0.0000000E+000, 1.0000020E+001, 1.0688331E+001, 3.4579995E+000, 3.5593220E+001, 3.6783076E-001, 4.8488654E+001, 1.5092386E-001
 3.1000000E+001, 9.6790896E+002, 1.3256053E-001, 3.9268033E-002, 5.3557369E-003, 1.2119677E-003, 8.6305831E-002, 5.3557369E-003, 7.2994216E-001, 0.0000000E+000, 1.1000018E+001, 1.0688331E+001, 3.4579995E+000, 3.8135593E+001, 3.5944880E-001, 5.0799181E+001, 1.3978530E-001
 3.3000000E+001, 9.3508991E+002, 1.3859306E-001, 3.6751321E-002, 3.9962069E-003, 8.5662816E-004, 7.9932496E-002, 3.9962069E-003, 7.3587408E-001, 0.0000000E+000, 1.2000017E+001, 6.9630614E+000, 2.3573400E+000, 4.0677966E+001, 3.5069810E-001, 5.3109749E+001, 1.2371506E-001
 3.5020000E+001, 9.0311944E+002, 1.4401525E-001, 3.4379173E-002, 2.9562072E-003, 6.0105626E-004, 7.4164910E-002, 2.9562072E-003, 7.4092720E-001, 0.0000000E+000, 1.3000015E+001, 6.9630614E+000, 2.3573400E+000, 4.3220339E+001, 3.3224258E-001, 5.5420353E+001, 1.1507728E-001
 3.7000000E+001, 9.0311944E+002, 1.4401525E-001, 3.4379173E-002, 2.9562072E-003, 6.0105626E-004, 7.4164910E-002, 2.9562072E-003, 7.4092720E-001, 0.0000000E+000, 1.4000014E+001, 6.9630614E+000, 2.3573400E+000, 4.5762712E+001, 3.2258671E-001, 5.7730989E+001, 1.0263894E-001
 3.9000000E+001, 8.7019502E+002, 1.4902589E-001, 3.2086081E-002, 2.1632718E-003, 4.1776077E-004, 6.8800396E-002, 2.1632718E-003, 7.4534332E-001, 0.0000000E+000, 1.5000013E+001, 3.6833690E+000, 1.6384640E+000, 4.8305085E+001, 3.1267880E-001, 6.0031662E+001, 0.0000000E+000
 4.1000000E+001, 8.0762095E+002, 1.5767557E-001, 2.7922582E-002, 1.1374907E-003, 2.0047881E-004, 5.9471138E-002, 1.1374907E-003, 7.5245525E-001, 0.0000000E+000,NaN,NaN,NaN, 5.0847458E+001, 3.0258901E-001,NaN,NaN
 4.3000000E+001, 8.0762095E+002, 1.5767557E-001, 2.7922582E-002, 1.1374907E-003, 2.0047881E-004, 5.9471138E-002, 1.1374907E-003, 7.5245525E-001, 0.0000000E+000,NaN,NaN,NaN, 5.3389831E+001, 2.8230803E-001,NaN,NaN
 4.5000000E+001, 7.7792044E+002, 1.6143734E-001, 2.6042427E-002, 8.0781911E-004, 1.3823651E-004, 5.5390814E-002, 8.0781911E-004, 7.5537555E-001, 0.0000000E+000,NaN,NaN,NaN, 5.5932203E+001, 2.7223552E-001,NaN,NaN
 4.7000000E+001, 7.4912152E+002, 1.6487549E-001, 2.4289636E-002, 5.6443417E-004, 9.6027286E-005, 5.1650393E-002, 5.6443417E-004, 7.5795959E-001, 0.0000000E+000,NaN,NaN,NaN, 5.8474576E+001, 2.6225715E-001,NaN,NaN
