cm,K,K,cm,K,K,K,K,K,K,K,K,K,K
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS
 5.0000000E-001,            NaN,            NaN,-9.5000000E+000, 1.1478362E+003, 2.4613830E+002, 9.9129261E+002, 3.5725104E+002, 8.5098113E+002, 3.6211995E+002, 7.0137518E+002, 3.1678329E+002, 5.6103005E+002, 2.1852188E+002
 4.4622642E+000,            NaN,            NaN,-5.2857143E+000, 1.1309521E+003, 2.0879576E+002, 1.0972588E+003, 3.1459813E+002, 9.3737436E+002, 3.5985951E+002, 7.4344243E+002, 3.2754945E+002, 5.7543411E+002, 2.2156623E+002
 8.4245283E+000, 8.4549657E+002, 1.7794402E+002,-1.0714286E+000, 1.0675443E+003, 1.9987764E+002, 1.1575088E+003, 2.6338670E+002, 9.8957004E+002, 3.5395336E+002, 7.6265929E+002, 3.2724361E+002, 5.8035038E+002, 2.1930319E+002
 1.2386792E+001, 9.5413212E+002, 1.9668754E+002, 3.1428571E+000, 1.0817406E+003, 1.9380574E+002, 1.1517268E+003, 2.6621514E+002, 9.8376893E+002, 3.5545164E+002, 7.5765149E+002, 3.2299865E+002, 5.8074571E+002, 2.2298957E+002
 1.6349057E+001, 1.0287562E+003, 1.9598844E+002, 7.3571429E+000, 1.1527621E+003, 2.0857767E+002, 1.0837378E+003, 3.2124869E+002, 9.1309771E+002, 3.5784000E+002, 7.2806177E+002, 3.0877405E+002, 5.7263360E+002, 2.2110887E+002
 2.0311321E+001, 1.0817406E+003, 1.9380574E+002, 1.1571429E+001, 1.1311404E+003, 2.7889385E+002, 9.5287531E+002, 3.5558787E+002, 8.1467490E+002, 3.5227046E+002, 6.7902074E+002, 2.9786805E+002, 5.5387768E+002, 2.1117215E+002
 2.4273585E+001, 1.1204053E+003, 1.9244889E+002, 1.5785714E+001, 9.7474148E+002, 3.4207228E+002, 7.8802000E+002, 3.4757346E+002, 7.0663422E+002, 3.2941810E+002, 6.1646167E+002, 2.7667429E+002, 5.2879164E+002, 1.9923428E+002
 2.8235849E+001, 1.1479094E+003, 1.9124798E+002, 2.0000000E+001, 5.9753533E+002, 2.5587850E+002, 5.1982381E+002, 2.4114990E+002, 5.2071994E+002, 2.3829675E+002, 5.0122936E+002, 2.1781314E+002, 4.6443829E+002, 1.6169996E+002
 3.2198113E+001, 1.1670618E+003, 1.9110363E+002, 2.4214286E+001, 4.8013956E+002, 1.8823630E+002, 4.4507254E+002, 1.8874496E+002, 4.5557717E+002, 1.9529009E+002, 4.5309944E+002, 1.8616328E+002, 4.3289331E+002, 1.3955469E+002
 3.6160377E+001, 1.1778567E+003, 1.9431710E+002, 2.8428571E+001, 4.0820208E+002, 1.3430517E+002, 3.9444874E+002, 1.4228700E+002, 4.0650280E+002, 1.5703838E+002, 4.1526919E+002, 1.6093373E+002, 4.0591958E+002, 1.2398578E+002
 4.0122642E+001, 1.1832458E+003, 2.0199175E+002, 3.2642857E+001, 3.6789982E+002, 1.0460860E+002, 3.5470615E+002, 1.0255998E+002, 3.6704055E+002, 1.1722732E+002, 3.8552562E+002, 1.3376749E+002, 3.8487110E+002, 1.1073938E+002
 4.4084906E+001, 1.1835054E+003, 2.1380632E+002, 3.6857143E+001, 3.3778089E+002, 7.5391089E+001, 3.2810131E+002, 7.0226154E+001, 3.3936466E+002, 8.7665547E+001, 3.6112463E+002, 1.1270095E+002, 3.6476172E+002, 9.2665259E+001
 4.8047170E+001, 1.1798476E+003, 2.2751567E+002, 4.1071429E+001, 3.1948560E+002, 4.5189086E+001, 3.1383375E+002, 5.0517698E+001, 3.2153682E+002, 6.1120635E+001, 3.3988989E+002, 8.9514780E+001, 3.4553859E+002, 7.1239028E+001
 5.2009434E+001, 1.1727484E+003, 2.4090117E+002, 4.5285714E+001, 3.0611637E+002, 1.4137741E+001, 3.0641639E+002, 3.3168771E+001, 3.1137058E+002, 4.0691396E+001, 3.2281451E+002, 6.4722580E+001, 3.2911075E+002, 5.3541986E+001
 5.5971698E+001, 1.1727484E+003, 2.4090117E+002, 4.9500000E+001, 3.0154053E+002, 3.9733935E+000, 3.0213315E+002, 1.6069031E+001, 3.0487455E+002, 2.5029020E+001, 3.1079463E+002, 4.2400932E+001, 3.1816480E+002, 4.3318323E+001
 5.9933962E+001, 1.1635993E+003, 2.5353807E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.3896226E+001, 1.1517268E+003, 2.6621514E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.7858491E+001, 1.1379457E+003, 2.7877857E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.1820755E+001, 1.1224168E+003, 2.9132714E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.5783019E+001, 1.1043244E+003, 3.0386990E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.9745283E+001, 1.0844379E+003, 3.1656994E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.3707547E+001, 1.0641276E+003, 3.2786281E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.7669811E+001, 1.0443768E+003, 3.3795637E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.1632075E+001, 1.0244364E+003, 3.4525039E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.5594340E+001, 1.0053631E+003, 3.5164939E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.9556604E+001, 9.8376893E+002, 3.5545164E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.0351887E+002, 9.6232484E+002, 3.5812084E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.0748113E+002, 9.3858701E+002, 3.5770450E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.1144340E+002, 9.1562844E+002, 3.5723713E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.1540566E+002, 8.9261634E+002, 3.5513607E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.1936792E+002, 8.6996181E+002, 3.5225150E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.2333019E+002, 8.4698755E+002, 3.4792076E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.2729245E+002, 8.2455665E+002, 3.4293705E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.3125472E+002, 8.0191904E+002, 3.3704077E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.3521698E+002, 7.7943899E+002, 3.3023799E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.3917925E+002, 7.5765149E+002, 3.2299865E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.4314151E+002, 7.3764909E+002, 3.1520549E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
