cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 2.5000000E-001, 4.9907766E+002, 1.2070581E-004, 1.1772865E-002, 1.9062252E-002, 8.0781760E-001, 3.3050800E-002, 1.5049146E-002, 1.1201188E-001, 2.9788564E-004
 7.5000000E-001, 6.0919033E+002, 2.1561903E-004, 2.4376977E-002, 3.6968102E-002, 6.1477145E-001, 6.6445483E-002, 2.9185343E-002, 2.2587515E-001, 6.3539988E-004
 1.2500000E+000, 7.0175273E+002, 4.2866497E-004, 3.3496757E-002, 4.7832758E-002, 4.8488405E-001, 8.8947870E-002, 3.7762703E-002, 3.0384996E-001, 8.7875820E-004
 1.7500000E+000, 7.7144295E+002, 6.4457060E-004, 3.9839086E-002, 5.3347260E-002, 4.0446195E-001, 1.0297524E-001, 4.2116258E-002, 3.5349592E-001, 1.0222722E-003
 2.2500000E+000, 8.3114264E+002, 1.0468954E-003, 4.4524426E-002, 5.6505144E-002, 3.4848235E-001, 1.1261296E-001, 4.4609324E-002, 3.8891451E-001, 1.1172369E-003
 2.7500000E+000, 8.7690197E+002, 1.5387674E-003, 4.8000322E-002, 5.7993544E-002, 3.1031179E-001, 1.1908628E-001, 4.5784377E-002, 4.1389349E-001, 1.1703175E-003
 3.2500000E+000, 9.1140661E+002, 2.1256262E-003, 5.0694773E-002, 5.8723881E-002, 2.8186377E-001, 1.2377040E-001, 4.6360959E-002, 4.3302644E-001, 1.2023405E-003
 3.7500000E+000, 9.4227162E+002, 2.4958225E-003, 5.3068522E-002, 5.9279507E-002, 2.5794248E-001, 1.2782526E-001, 4.6799610E-002, 4.4912217E-001, 1.2288921E-003
 4.2500000E+000, 9.6963600E+002, 2.8365729E-003, 5.5192737E-002, 5.9557066E-002, 2.3759159E-001, 1.3127936E-001, 4.7018736E-002, 4.6304107E-001, 1.2476148E-003
 4.7500000E+000, 9.9161215E+002, 3.5370828E-003, 5.7128780E-002, 5.9172676E-002, 2.2037668E-001, 1.3392602E-001, 4.6715271E-002, 4.7568311E-001, 1.2488326E-003
 5.2500000E+000, 1.0056665E+003, 4.7035503E-003, 5.8585566E-002, 5.8591095E-002, 2.0583665E-001, 1.3569364E-001, 4.6256127E-002, 4.8690699E-001, 1.2443997E-003
 5.7500000E+000, 1.0175293E+003, 5.8786420E-003, 5.9821172E-002, 5.8012868E-002, 1.9304343E-001, 1.3712785E-001, 4.5799632E-002, 4.9692384E-001, 1.2393295E-003
 6.2500000E+000, 1.0296281E+003, 6.9657263E-003, 6.0975334E-002, 5.7418272E-002, 1.8141691E-001, 1.3842407E-001, 4.5330214E-002, 5.0611169E-001, 1.2332640E-003
 6.7500000E+000, 1.0417788E+003, 7.9857316E-003, 6.1997147E-002, 5.6901960E-002, 1.7079815E-001, 1.3958044E-001, 4.4922600E-002, 5.1448637E-001, 1.2285860E-003
 7.2500000E+000, 1.0540905E+003, 8.8613570E-003, 6.3021784E-002, 5.6349061E-002, 1.6102889E-001, 1.4071010E-001, 4.4486101E-002, 5.2224744E-001, 1.2224982E-003
 7.7500000E+000, 1.0659952E+003, 9.6551008E-003, 6.4038518E-002, 5.5730500E-002, 1.5204405E-001, 1.4177445E-001, 4.3997763E-002, 5.2950052E-001, 1.2143295E-003
 8.2500000E+000, 1.0772934E+003, 1.0429667E-002, 6.5016677E-002, 5.5082705E-002, 1.4361204E-001, 1.4275667E-001, 4.3486346E-002, 5.3639468E-001, 1.2052461E-003
 8.7500000E+000, 1.0875076E+003, 1.1269890E-002, 6.5839076E-002, 5.4509132E-002, 1.3576562E-001, 1.4356200E-001, 4.3033525E-002, 5.4283309E-001, 1.1976857E-003
 9.2500000E+000, 1.0963325E+003, 1.2296402E-002, 6.6505463E-002, 5.3921579E-002, 1.2837309E-001, 1.4412157E-001, 4.2569668E-002, 5.4905892E-001, 1.1895096E-003
 9.7500000E+000, 1.1047736E+003, 1.3453849E-002, 6.7091787E-002, 5.3267176E-002, 1.2134393E-001, 1.4450805E-001, 4.2053034E-002, 5.5516714E-001, 1.1795125E-003
 1.0250000E+001, 1.1133484E+003, 1.4703290E-002, 6.7632510E-002, 5.2537673E-002, 1.1462418E-001, 1.4476673E-001, 4.1477110E-002, 5.6118613E-001, 1.1674787E-003
