cm,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 1.0000000E+000, 1.8980301E+002, 6.9464450E-002, 3.1766187E-002, 1.2527763E-002, 3.8858832E-001, 4.2148243E-002, 6.5935594E-003, 4.4817886E-001, 2.0173495E-004
 3.0000000E+000, 3.0247906E+002, 7.8976311E-002, 3.8974828E-002, 1.5223377E-002, 2.8044447E-001, 5.1432331E-002, 8.0123037E-003, 5.2604613E-001, 2.6713436E-004
 5.0000000E+000, 4.1012309E+002, 8.2577956E-002, 4.5113418E-002, 1.7285044E-002, 2.1092717E-001, 5.9067119E-002, 9.0973913E-003, 5.7492109E-001, 3.2217433E-004
 7.0000000E+000, 5.0989825E+002, 8.2866053E-002, 5.0773285E-002, 1.9047893E-002, 1.6196518E-001, 6.5934310E-002, 1.0025207E-002, 6.0827416E-001, 3.7150137E-004
 9.0000000E+000, 5.9087241E+002, 8.1920400E-002, 5.5422366E-002, 2.0407753E-002, 1.2779607E-001, 7.1489345E-002, 1.0740923E-002, 6.3102971E-001, 4.1057488E-004
 1.1000000E+001, 6.5439265E+002, 8.0956212E-002, 5.8968761E-002, 2.1334881E-002, 1.0337259E-001, 7.5659272E-002, 1.1228885E-002, 6.4723175E-001, 4.3852978E-004
 1.3000000E+001, 7.0275766E+002, 8.0305394E-002, 6.1519486E-002, 2.2044580E-002, 8.5415903E-002, 7.8683083E-002, 1.1602411E-002, 6.5913999E-001, 4.6037262E-004
 1.5000000E+001, 7.4123749E+002, 7.9810247E-002, 6.3451795E-002, 2.2633667E-002, 7.1600040E-002, 8.1001609E-002, 1.1912456E-002, 6.6826658E-001, 4.7848185E-004
 1.7000000E+001, 7.7098471E+002, 7.9929231E-002, 6.4814685E-002, 2.2823572E-002, 6.0588470E-002, 8.2529619E-002, 1.2012406E-002, 6.7596731E-001, 4.8696387E-004
 1.9000000E+001, 7.9414715E+002, 8.0399266E-002, 6.5740612E-002, 2.2889893E-002, 5.1513501E-002, 8.3546222E-002, 1.2047312E-002, 6.8252460E-001, 4.9210431E-004
 2.1000000E+001, 8.1283943E+002, 8.1151672E-002, 6.6372197E-002, 2.2784514E-002, 4.3906201E-002, 8.4171853E-002, 1.1991849E-002, 6.8828929E-001, 4.9299348E-004
 2.3000000E+001, 8.2830194E+002, 8.2223831E-002, 6.6811228E-002, 2.2402292E-002, 3.7324498E-002, 8.4456847E-002, 1.1790680E-002, 6.9368055E-001, 4.8739317E-004
 2.5000000E+001, 8.4003431E+002, 8.3696723E-002, 6.6967905E-002, 2.1814318E-002, 3.1706052E-002, 8.4348703E-002, 1.1481220E-002, 6.9870939E-001, 4.7685465E-004
 2.7000000E+001, 8.4793587E+002, 8.5581601E-002, 6.6835549E-002, 2.1051562E-002, 2.6909910E-002, 8.3857611E-002, 1.1079769E-002, 7.0345291E-001, 4.6206961E-004
 2.9000000E+001, 8.5240665E+002, 8.7778860E-002, 6.6415776E-002, 2.0248233E-002, 2.2820678E-002, 8.3054830E-002, 1.0656965E-002, 7.0784055E-001, 4.4607038E-004
 3.1000000E+001, 8.5505489E+002, 9.0117156E-002, 6.5869485E-002, 1.9371609E-002, 1.9265851E-002, 8.2084903E-002, 1.0195584E-002, 7.1196257E-001, 4.2818440E-004
 3.3000000E+001, 8.5419986E+002, 9.2867734E-002, 6.5062074E-002, 1.8356058E-002, 1.6179587E-002, 8.0780585E-002, 9.6610831E-003, 7.1601942E-001, 4.0694478E-004
 3.5020000E+001, 8.5078282E+002, 9.5948744E-002, 6.4039955E-002, 1.7230066E-002, 1.3503248E-002, 7.9203094E-002, 9.0684555E-003, 7.1999883E-001, 3.8295964E-004
 3.7000000E+001, 8.5078282E+002, 9.5948744E-002, 6.4039955E-002, 1.7230066E-002, 1.3503248E-002, 7.9203094E-002, 9.0684555E-003, 7.1999883E-001, 3.8295964E-004
 3.9000000E+001, 8.4418502E+002, 9.9417996E-002, 6.2774182E-002, 1.5985166E-002, 1.1200702E-002, 7.7319510E-002, 8.4132451E-003, 7.2395439E-001, 3.5606184E-004
 4.1000000E+001, 8.2338883E+002, 1.0728405E-001, 5.9671615E-002, 1.3188622E-002, 7.5085380E-003, 7.2820338E-002, 6.9413800E-003, 7.3181420E-001, 2.9474000E-004
 4.3000000E+001, 8.2338883E+002, 1.0728405E-001, 5.9671615E-002, 1.3188622E-002, 7.5085380E-003, 7.2820338E-002, 6.9413800E-003, 7.3181420E-001, 2.9474000E-004
 4.5000000E+001, 8.0926731E+002, 1.1156911E-001, 5.7842451E-002, 1.1756189E-002, 6.0842141E-003, 7.0273755E-002, 6.1874681E-003, 7.3559931E-001, 2.6304243E-004
 4.7000000E+001, 7.9278441E+002, 1.1592640E-001, 5.5884319E-002, 1.0396714E-002, 4.9078629E-003, 6.7634562E-002, 5.4719547E-003, 7.3917019E-001, 2.3288134E-004
 4.9000000E+001, 7.7479981E+002, 1.2017571E-001, 5.3878697E-002, 9.1838999E-003, 3.9488626E-003, 6.5021901E-002, 4.8336315E-003, 7.4242022E-001, 2.0593349E-004
 5.1000000E+001, 7.3486348E+002, 1.2852472E-001, 4.9781853E-002, 6.9538895E-003, 2.5047628E-003, 5.9808580E-002, 3.6599418E-003, 7.4835959E-001, 1.5613083E-004
 5.3000000E+001, 7.1083388E+002, 1.3295338E-001, 4.7480089E-002, 5.9258386E-003, 1.9757603E-003, 5.6993040E-002, 3.1188624E-003, 7.5120648E-001, 1.3308544E-004
 5.5000000E+001, 6.8538725E+002, 1.3736183E-001, 4.5096610E-002, 5.0297210E-003, 1.5488381E-003, 5.4163175E-002, 2.6472216E-003, 7.5385847E-001, 1.1299904E-004
 5.7000000E+001, 6.8538725E+002, 1.3736183E-001, 4.5096610E-002, 5.0297210E-003, 1.5488381E-003, 5.4163175E-002, 2.6472216E-003, 7.5385847E-001, 1.1299904E-004
 5.9000000E+001, 6.5981871E+002, 1.4149433E-001, 4.2794310E-002, 4.2875555E-003, 1.2047783E-003, 5.1492580E-002, 2.2566081E-003, 7.5621911E-001, 9.6383705E-005
 6.1000000E+001, 6.1058566E+002, 1.4895141E-001, 3.8576536E-002, 3.0212727E-003, 7.1441856E-004, 4.6647065E-002, 1.5901435E-003, 7.6032247E-001, 6.7933623E-005
 6.3000000E+001, 5.8731104E+002, 1.5224032E-001, 3.6698619E-002, 2.4804746E-003, 5.4638591E-004, 4.4501120E-002, 1.3055129E-003, 7.6208251E-001, 5.5758631E-005
 6.5000000E+001, 5.6365917E+002, 1.5543618E-001, 3.4829012E-002, 2.0196046E-003, 4.1942032E-004, 4.2404192E-002, 1.0629498E-003, 7.6371053E-001, 4.5381697E-005
 6.7000000E+001, 5.6365917E+002, 1.5543618E-001, 3.4829012E-002, 2.0196046E-003, 4.1942032E-004, 4.2404192E-002, 1.0629498E-003, 7.6371053E-001, 4.5381697E-005
 6.9000000E+001, 5.1511479E+002, 1.6159100E-001, 3.1130765E-002, 1.2761537E-003, 2.3954044E-004, 3.8342122E-002, 6.7165987E-004, 7.6667413E-001, 2.8648022E-005
 7.1000000E+001, 4.9077451E+002, 1.6449896E-001, 2.9339781E-002, 9.9110234E-004, 1.7600707E-004, 3.6413273E-002, 5.2163281E-004, 7.6800128E-001, 2.2237809E-005
 7.3000000E+001, 4.6657082E+002, 1.6718714E-001, 2.7657452E-002, 7.6852677E-004, 1.2844813E-004, 3.4624547E-002, 4.0448778E-004, 7.6918445E-001, 1.7231008E-005
 7.4980000E+001, 4.6657082E+002, 1.6718714E-001, 2.7657452E-002, 7.6852677E-004, 1.2844813E-004, 3.4624547E-002, 4.0448778E-004, 7.6918445E-001, 1.7231008E-005
 7.7000000E+001, 4.2316721E+002, 1.7182144E-001, 2.4707023E-002, 4.6080786E-004, 7.1360916E-005, 3.1529752E-002, 2.4253045E-004, 7.7114014E-001, 1.0320295E-005
