cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot,r_rad1,HF,radHF,z_rad,HF_vert,r_rad2,HF_hori
 2.5000000E-001, 5.0292459E+002, 4.9453245E-004, 1.2512451E-002, 1.9160306E-002, 7.9568135E-001, 4.4543860E-002, 1.9160306E-002, 1.0844719E-001, 0.0000000E+000, 4.0000031E+000, 1.5975759E+001, 1.1753596E+001, 0.0000000E+000, 6.3904110E-001, 1.6155494E+001, 3.0221310E+000
 7.5000000E-001, 6.2206623E+002, 1.1281725E-003, 2.3340112E-002, 3.4712846E-002, 6.2291461E-001, 8.2058248E-002, 3.4712846E-002, 2.0113316E-001, 0.0000000E+000, 3.0000042E+000, 1.5244441E+001, 1.1710163E+001, 6.6964286E-001, 6.0834597E-001, 1.6747753E+001, 2.7898839E+000
 1.2500000E+000, 7.2988429E+002, 1.8689119E-003, 3.0836745E-002, 4.3324030E-002, 5.1239481E-001, 1.0586527E-001, 4.3324030E-002, 2.6238621E-001, 0.0000000E+000, 2.0000062E+000, 1.5043688E+001, 1.1670438E+001, 1.3392857E+000, 5.7952348E-001, 1.7340086E+001, 2.4950572E+000
 1.7500000E+000, 8.2062122E+002, 2.9864451E-003, 3.6993362E-002, 4.8092356E-002, 4.3045608E-001, 1.2310520E-001, 4.8092356E-002, 3.1027420E-001, 0.0000000E+000, 1.0000125E+000, 1.4998091E+001, 1.1613637E+001, 2.0089286E+000, 5.4152947E-001, 1.7932488E+001, 2.3430217E+000
 2.2500000E+000, 8.8721443E+002, 4.3724773E-003, 4.2088845E-002, 5.0422798E-002, 3.6833564E-001, 1.3575337E-001, 5.0422798E-002, 3.4860407E-001, 0.0000000E+000, 7.0710678E-003, 1.4798472E+001, 1.1645885E+001, 2.6785714E+000, 5.4088380E-001, 1.8524952E+001, 2.1348348E+000
 2.7500000E+000, 9.3746829E+002, 5.7279487E-003, 4.6153440E-002, 5.1566497E-002, 3.2108554E-001, 1.4512604E-001, 5.1566497E-002, 3.7877404E-001, 0.0000000E+000, 1.0000125E+000, 1.4776216E+001, 1.1744788E+001, 3.3482143E+000, 5.5860017E-001, 1.9117472E+001, 2.0203662E+000
 3.2500000E+000, 9.7574969E+002, 7.0272779E-003, 4.9416362E-002, 5.2012533E-002, 2.8445350E-001, 1.5217771E-001, 5.2012533E-002, 4.0290009E-001, 0.0000000E+000, 2.0000062E+000, 1.5950699E+001, 1.1899557E+001, 4.0178571E+000, 6.4731045E-001, 1.9710042E+001, 1.8586443E+000
 3.7500000E+000, 1.0060303E+003, 8.1025268E-003, 5.2090530E-002, 5.1931758E-002, 2.5656261E-001, 1.5750801E-001, 5.1931758E-002, 4.2187280E-001, 0.0000000E+000, 3.0000042E+000, 1.7149299E+001, 1.1959372E+001, 4.6875000E+000, 7.0536145E-001, 2.0302659E+001, 1.7159782E+000
 4.2500000E+000, 1.0298970E+003, 8.9271192E-003, 5.4350639E-002, 5.1571869E-002, 2.3481683E-001, 1.6171851E-001, 5.1571869E-002, 4.3704316E-001, 0.0000000E+000, 4.0000031E+000, 1.7839254E+001, 1.1938883E+001, 5.3571429E+000, 7.5972615E-001, 2.0895318E+001, 1.6361988E+000
 4.7500000E+000, 1.0494300E+003, 9.4989785E-003, 5.6286004E-002, 5.1204196E-002, 2.1712699E-001, 1.6526249E-001, 5.1204196E-002, 4.4941714E-001, 0.0000000E+000, 5.0000025E+000, 1.8514884E+001, 1.1816828E+001, 6.0267857E+000, 8.2778962E-001, 2.1488016E+001, 1.5189082E+000
 5.2500000E+000, 1.0661799E+003, 9.9904170E-003, 5.7926714E-002, 5.0897980E-002, 2.0207190E-001, 1.6827251E-001, 5.0897980E-002, 4.5994250E-001, 0.0000000E+000, 6.0000021E+000, 1.9008913E+001, 1.1712270E+001, 6.6964286E+000, 8.3597606E-001, 2.2080750E+001, 1.4529883E+000
 5.7500000E+000, 1.0811682E+003, 1.0479311E-002, 5.9354270E-002, 5.0586469E-002, 1.8890042E-001, 1.7084688E-001, 5.0586469E-002, 4.6924618E-001, 0.0000000E+000, 7.0000018E+000, 2.0848914E+001, 1.1423565E+001, 7.3660714E+000, 8.2901326E-001, 2.2673517E+001, 1.3551997E+000
 6.2500000E+000, 1.0934587E+003, 1.1154742E-002, 6.0583035E-002, 5.0149134E-002, 1.7717475E-001, 1.7289567E-001, 5.0149134E-002, 4.7789354E-001, 0.0000000E+000, 8.0000016E+000, 2.2788769E+001, 1.0756297E+001, 8.0357143E+000, 7.8678877E-001, 2.3266315E+001, 1.2669634E+000
 6.7500000E+000, 1.1026232E+003, 1.2095944E-002, 6.1515109E-002, 4.9710223E-002, 1.6675731E-001, 1.7434727E-001, 4.9710223E-002, 4.8586392E-001, 0.0000000E+000, 9.0000014E+000, 2.3736462E+001, 1.0201920E+001, 8.7053571E+000, 7.6051825E-001, 2.3859140E+001, 1.2170602E+000
 7.2500000E+000, 1.1098643E+003, 1.3151664E-002, 6.2263199E-002, 4.9274913E-002, 1.5736879E-001, 1.7543251E-001, 4.9274913E-002, 4.9323401E-001, 0.0000000E+000, 1.0000001E+001, 2.3697680E+001, 9.5591249E+000, 9.3750000E+000, 7.3565269E-001, 2.4451992E+001, 1.1420021E+000
 7.7500000E+000, 1.1169248E+003, 1.4213604E-002, 6.2944362E-002, 4.8790306E-002, 1.4877094E-001, 1.7633313E-001, 4.8790306E-002, 5.0015735E-001, 0.0000000E+000, 1.1000001E+001, 2.3557861E+001, 9.2294768E+000, 1.0044643E+001, 6.9856024E-001, 2.5044868E+001, 1.0990921E+000
 8.2500000E+000, 1.1239914E+003, 1.5284894E-002, 6.3609710E-002, 4.8222752E-002, 1.4067069E-001, 1.7711847E-001, 4.8222752E-002, 5.0687073E-001, 0.0000000E+000, 1.2000001E+001, 2.0808376E+001, 8.1597315E+000, 1.0714286E+001, 6.8822045E-001, 2.5637767E+001, 1.0345893E+000
 8.7500000E+000, 1.1309973E+003, 1.6411269E-002, 6.4262593E-002, 4.7552392E-002, 1.3291782E-001, 1.7777589E-001, 4.7552392E-002, 5.1352764E-001, 0.0000000E+000, 1.3000001E+001, 1.7328914E+001, 7.2520982E+000, 1.1383929E+001, 6.8342322E-001, 2.6230687E+001, 9.7553446E-001
 9.2500000E+000, 1.1377743E+003, 1.7652401E-002, 6.4873220E-002, 4.6791286E-002, 1.2542656E-001, 1.7825813E-001, 4.6791286E-002, 5.2020712E-001, 0.0000000E+000, 1.4000001E+001, 1.5215805E+001, 6.7142995E+000, 1.2053571E+001, 6.8795561E-001, 2.6823627E+001, 9.4148670E-001
 9.7500000E+000, 1.1444856E+003, 1.9011847E-002, 6.5423376E-002, 4.5959094E-002, 1.1824158E-001, 1.7854824E-001, 4.5959094E-002, 5.2685676E-001, 0.0000000E+000, 1.5000001E+001, 1.1508351E+001, 3.2854741E+000, 1.2723214E+001, 6.9544164E-001, 2.7416584E+001, 8.9003195E-001
 1.0250000E+001, 1.1511649E+003, 2.0454189E-002, 6.5925201E-002, 4.5077773E-002, 1.1131954E-001, 1.7869238E-001, 4.5077773E-002, 5.3345314E-001, 0.0000000E+000,NaN,NaN,NaN, 1.3392857E+001, 7.0502326E-001, 2.8009560E+001, 8.6016512E-001
 1.0750000E+001, 1.1573564E+003, 2.2019984E-002, 6.6344581E-002, 4.4174954E-002, 1.0462722E-001, 1.7865001E-001, 4.4174954E-002, 5.4000831E-001, 0.0000000E+000,NaN,NaN,NaN, 1.4062500E+001, 7.2652518E-001, 2.8602551E+001, 8.1496628E-001
 1.1250000E+001, 1.1624703E+003, 2.3827107E-002, 6.6618347E-002, 4.3234380E-002, 9.8228481E-002, 1.7827869E-001, 4.3234380E-002, 5.4657861E-001, 0.0000000E+000,NaN,NaN,NaN, 1.4732143E+001, 7.3676867E-001, 2.9195557E+001, 7.7299209E-001
 1.1750000E+001, 1.1665567E+003, 2.5864852E-002, 6.6750717E-002, 4.2252160E-002, 9.2156908E-002, 1.7758291E-001, 4.2252160E-002, 5.5314029E-001, 0.0000000E+000,NaN,NaN,NaN, 1.5401786E+001, 7.4783615E-001, 2.9788578E+001, 7.4861083E-001
 1.2250000E+001, 1.1697132E+003, 2.8067022E-002, 6.6797451E-002, 4.1169757E-002, 8.6531623E-002, 1.7661550E-001, 4.1169757E-002, 5.5964889E-001, 0.0000000E+000,NaN,NaN,NaN, 1.6071429E+001, 7.6017008E-001, 3.0381612E+001, 7.1133041E-001
 1.2750000E+001, 1.1722080E+003, 3.0303586E-002, 6.6763835E-002, 4.0111336E-002, 8.1320740E-002, 1.7551045E-001, 4.0111336E-002, 5.6587872E-001, 0.0000000E+000,NaN,NaN,NaN, 1.6741071E+001, 7.6335188E-001, 3.0974659E+001, 6.8959836E-001
 1.3250000E+001, 1.1742335E+003, 3.2505253E-002, 6.6699315E-002, 3.9067150E-002, 7.6474411E-002, 1.7435691E-001, 3.9067150E-002, 5.7182981E-001, 0.0000000E+000,NaN,NaN,NaN, 1.7410714E+001, 7.6453944E-001, 3.1567718E+001, 6.5634023E-001
 1.3750000E+001, 1.1760568E+003, 3.4633778E-002, 6.6654412E-002, 3.7991740E-002, 7.1959860E-002, 1.7321063E-001, 3.7991740E-002, 5.7755784E-001, 0.0000000E+000,NaN,NaN,NaN, 1.8080357E+001, 7.6163257E-001, 3.2160788E+001, 6.2527317E-001
