cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 5.0000000E-001, 5.0634431E+002, 1.1194571E-004, 1.3702778E-002, 6.3356238E-002, 6.1151588E-001, 5.1150001E-002, 3.7268375E-002, 2.1047199E-001, 3.0402901E-003
 1.5000000E+000, 6.1828091E+002, 2.3318459E-004, 2.1632229E-002, 8.9799608E-002, 4.3346979E-001, 7.4752216E-002, 5.2823299E-002, 3.0968190E-001, 4.9692452E-003
 2.5000000E+000, 6.8958802E+002, 6.1397592E-004, 2.6546599E-002, 9.9668832E-002, 3.5166637E-001, 8.5558052E-002, 5.8628725E-002, 3.5777453E-001, 5.9176436E-003
 3.5000000E+000, 7.4731837E+002, 1.3551338E-003, 3.0648872E-002, 1.0431686E-001, 2.9788229E-001, 9.2477089E-002, 6.1362860E-002, 3.9150261E-001, 6.4955446E-003
 4.5000000E+000, 7.9648044E+002, 2.2559736E-003, 3.4601843E-002, 1.0630649E-001, 2.5661988E-001, 9.7686016E-002, 6.2533229E-002, 4.1915216E-001, 6.8603031E-003
 5.5000000E+000, 8.3751187E+002, 3.4273343E-003, 3.8305990E-002, 1.0654746E-001, 2.2386317E-001, 1.0161894E-001, 6.2674979E-002, 4.4267046E-001, 7.0687767E-003
 6.5000000E+000, 8.7267270E+002, 4.6986357E-003, 4.1772694E-002, 1.0562021E-001, 1.9767555E-001, 1.0462568E-001, 6.2129537E-002, 4.6276785E-001, 7.1580712E-003
 7.5000000E+000, 9.0118581E+002, 6.1383790E-003, 4.4853321E-002, 1.0400387E-001, 1.7657034E-001, 1.0683696E-001, 6.1178749E-002, 4.8002546E-001, 7.1668714E-003
 8.5000000E+000, 9.2627116E+002, 7.7234977E-003, 4.7622764E-002, 1.0197019E-001, 1.5888035E-001, 1.0848826E-001, 5.9982463E-002, 4.9533832E-001, 7.1221974E-003
 9.5000000E+000, 9.4814030E+002, 9.5668570E-003, 5.0089048E-002, 9.9534922E-002, 1.4393760E-001, 1.0959862E-001, 5.8549954E-002, 5.0920634E-001, 7.0273084E-003
 1.0500000E+001, 9.6736413E+002, 1.1642832E-002, 5.2290119E-002, 9.6818574E-002, 1.3104305E-001, 1.1027707E-001, 5.6952102E-002, 5.2199222E-001, 6.8965402E-003
 1.1500000E+001, 9.8323676E+002, 1.4156408E-002, 5.4129821E-002, 9.3887306E-002, 1.1958965E-001, 1.1046738E-001, 5.5227827E-002, 5.3413233E-001, 6.7391667E-003
 1.2500000E+001, 9.9612507E+002, 1.7071028E-002, 5.5572589E-002, 9.0883580E-002, 1.0934654E-001, 1.1021639E-001, 5.3460929E-002, 5.4562863E-001, 6.5676076E-003
 1.3500000E+001, 1.0075893E+003, 2.0039000E-002, 5.6880735E-002, 8.7792881E-002, 1.0019581E-001, 1.0977794E-001, 5.1642871E-002, 5.5645648E-001, 6.3813806E-003
 1.4500000E+001, 1.0180646E+003, 2.2914977E-002, 5.8064088E-002, 8.4778242E-002, 9.2012117E-002, 1.0925564E-001, 4.9869554E-002, 5.6648220E-001, 6.1949650E-003
 1.5500000E+001, 1.0280229E+003, 2.5546271E-002, 5.9170763E-002, 8.1955808E-002, 8.4651664E-002, 1.0876451E-001, 4.8209299E-002, 5.7563192E-001, 6.0183519E-003
 1.6500000E+001, 1.0373393E+003, 2.8086800E-002, 6.0176338E-002, 7.9239172E-002, 7.7948874E-002, 1.0823114E-001, 4.6611278E-002, 5.8416930E-001, 5.8454395E-003
 1.7500000E+001, 1.0457592E+003, 3.0599795E-002, 6.1096332E-002, 7.6556834E-002, 7.1821689E-002, 1.0763030E-001, 4.5033432E-002, 5.9225047E-001, 5.6711228E-003
 1.8500000E+001, 1.0529194E+003, 3.3220850E-002, 6.1872724E-002, 7.3878823E-002, 6.6168626E-002, 1.0688721E-001, 4.3458131E-002, 6.0002759E-001, 5.4939320E-003
