s,kW/m2,s,kW/m2,kW/m2,s,kW/m2,kW/m2,s,kW/m2,m,s,m,m
Time,"rad40","rad40_tmax","rad40_max","rad70","rad70_tmax","rad70_max","rad100","rad100_tmax","rad100_max","D_avg","D_tmax","D_max","Height"
 2.1034276E+000, 6.1552308E+001, 7.2101148E-001, 2.2279039E+002, 2.9319380E+001, 8.8703159E-001, 6.6803781E+001, 1.5347331E+001, 8.8703159E-001, 3.2190660E+001, 3.6944491E+001, 2.1034276E+000, 3.8501137E+001, 4.3997963E+001
 2.2092226E+000, 5.8679324E+001, 7.2101148E-001, 2.2279039E+002, 2.9153652E+001, 8.8703159E-001, 6.6803781E+001, 1.5467129E+001, 8.8703159E-001, 3.2190660E+001, 3.9485701E+001, 2.2092226E+000, 4.0371824E+001, 4.5889525E+001
 2.3014617E+000, 5.5048024E+001, 7.2101148E-001, 2.2279039E+002, 2.9470127E+001, 8.8703159E-001, 6.6803781E+001, 1.5730675E+001, 8.8703159E-001, 3.2190660E+001, 4.1305033E+001, 2.3014617E+000, 4.1659947E+001, 4.7962335E+001
 2.4060627E+000, 5.1596351E+001, 7.2101148E-001, 2.2279039E+002, 2.9267589E+001, 8.8703159E-001, 6.6803781E+001, 1.5674885E+001, 8.8703159E-001, 3.2190660E+001, 4.2165367E+001, 2.3851425E+000, 4.2389549E+001, 5.0024658E+001
 2.5002036E+000, 4.7720291E+001, 7.2101148E-001, 2.2279039E+002, 2.8324708E+001, 8.8703159E-001, 6.6803781E+001, 1.5388171E+001, 8.8703159E-001, 3.2190660E+001, 4.2955567E+001, 2.5002036E+000, 4.3404349E+001, 5.2119026E+001
 2.6048047E+000, 4.3510948E+001, 7.2101148E-001, 2.2279039E+002, 2.7303402E+001, 8.8703159E-001, 6.6803781E+001, 1.5165794E+001, 8.8703159E-001, 3.2190660E+001, 4.4061874E+001, 2.6048047E+000, 4.4663376E+001, 5.4077893E+001
 2.7019534E+000, 3.9229243E+001, 7.2101148E-001, 2.2279039E+002, 2.6389273E+001, 8.8703159E-001, 6.6803781E+001, 1.4795148E+001, 8.8703159E-001, 3.2190660E+001, 4.5431933E+001, 2.6925579E+000, 4.5818027E+001, 5.6051062E+001
 2.8053037E+000, 3.5268405E+001, 7.2101148E-001, 2.2279039E+002, 2.4599051E+001, 8.8703159E-001, 6.6803781E+001, 1.4137998E+001, 8.8703159E-001, 3.2190660E+001, 4.6084291E+001, 2.7865127E+000, 4.6658392E+001, 5.8062674E+001
 2.9086540E+000, 3.1689949E+001, 7.2101148E-001, 2.2279039E+002, 2.2965106E+001, 8.8703159E-001, 6.6803781E+001, 1.3634879E+001, 8.8703159E-001, 3.2190660E+001, 4.6562493E+001, 2.7865127E+000, 4.6658392E+001, 6.0037753E+001
 3.0026089E+000, 2.8775535E+001, 7.2101148E-001, 2.2279039E+002, 2.1653181E+001, 8.8703159E-001, 6.6803781E+001, 1.3071579E+001, 8.8703159E-001, 3.2190660E+001, 4.6763495E+001, 2.9838179E+000, 4.7086418E+001, 6.1702093E+001
 3.1059592E+000, 2.6055072E+001, 7.2101148E-001, 2.2279039E+002, 2.0434317E+001, 8.8703159E-001, 6.6803781E+001, 1.2554414E+001, 8.8703159E-001, 3.2190660E+001, 4.6949871E+001, 3.0307953E+000, 4.7383240E+001, 6.3331063E+001
 3.2102490E+000, 2.3426281E+001, 7.2101148E-001, 2.2279039E+002, 1.8942326E+001, 8.8703159E-001, 6.6803781E+001, 1.1922045E+001, 8.8703159E-001, 3.2190660E+001, 4.7003474E+001, 3.0307953E+000, 4.7383240E+001, 6.4983259E+001
 3.3032643E+000, 2.1226496E+001, 7.2101148E-001, 2.2279039E+002, 1.7625083E+001, 8.8703159E-001, 6.6803781E+001, 1.1345020E+001, 8.8703159E-001, 3.2190660E+001, 4.6581303E+001, 3.0307953E+000, 4.7383240E+001, 6.6599205E+001
 3.4066146E+000, 1.9435750E+001, 7.2101148E-001, 2.2279039E+002, 1.6650951E+001, 8.8703159E-001, 6.6803781E+001, 1.0758641E+001, 8.8703159E-001, 3.2190660E+001, 3.8991428E+001, 3.0307953E+000, 4.7383240E+001, 6.8430839E+001
 3.5068645E+000, 1.8000448E+001, 7.2101148E-001, 2.2279039E+002, 1.5299019E+001, 8.8703159E-001, 6.6803781E+001, 9.9751715E+000, 8.8703159E-001, 3.2190660E+001, 3.6021740E+001, 3.0307953E+000, 4.7383240E+001, 7.0176601E+001
 3.6087563E+000, 1.6695798E+001, 7.2101148E-001, 2.2279039E+002, 1.4343933E+001, 8.8703159E-001, 6.6803781E+001, 9.5017164E+000, 8.8703159E-001, 3.2190660E+001, 3.5417755E+001, 3.0307953E+000, 4.7383240E+001, 7.1668795E+001
 3.7076997E+000, 1.5535971E+001, 7.2101148E-001, 2.2279039E+002, 1.3517165E+001, 8.8703159E-001, 6.6803781E+001, 8.9473069E+000, 8.8703159E-001, 3.2190660E+001, 4.1598281E+001, 3.0307953E+000, 4.7383240E+001, 7.3114096E+001
