s,kW/m2,s,kW/m2,kW/m2,s,kW/m2,kW/m2,s,kW/m2,m,s,m,m
Time,rad40,rad40_tmax,rad40_max,rad70,rad70_tmax,rad70_max,rad100,rad100_tmax,rad100_max,D_avg,D_tmax,D_max,Height
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1290019E-001,-1.7537413E-005, 1.1290019E-001,-1.7537413E-005,-3.5335256E-005, 1.1290019E-001,-3.5335256E-005,-4.4424156E-006, 1.1290019E-001,-4.4424156E-006, 0.0000000E+000, 1.1290019E-001, 0.0000000E+000, 0.0000000E+000
 2.0268715E-001,-1.4605119E-005, 1.3545928E-001,-1.0445201E-005,-4.4289436E-006, 2.0268715E-001,-1.0410239E-006,-4.6979037E-007, 2.0268715E-001,-6.2985672E-008, 0.0000000E+000, 2.0268715E-001, 0.0000000E+000, 2.5422473E-002
 3.0088726E-001, 4.0133411E-001, 3.0088726E-001, 1.7951310E+000, 1.8829799E-002, 3.0088726E-001, 1.3773013E-001, 2.1471784E-003, 3.0088726E-001, 2.4396502E-002, 0.0000000E+000, 3.0088726E-001, 0.0000000E+000, 4.4845048E+000
 4.0066391E-001, 7.8296033E+000, 4.0066391E-001, 1.8633497E+001, 1.1199011E+000, 3.9804875E-001, 3.5381764E+000, 3.6481653E-001, 3.9804875E-001, 1.1393111E+000, 0.0000000E+000, 4.0066391E-001, 0.0000000E+000, 8.4863839E+000
 5.0289131E-001, 3.2938615E+001, 5.0289131E-001, 5.7380682E+001, 7.0297781E+000, 5.0289131E-001, 9.9820667E+000, 3.5142312E+000, 5.0289131E-001, 5.3922763E+000, 0.0000000E+000, 5.0289131E-001, 0.0000000E+000, 1.0107003E+001
 6.0195648E-001, 1.0337305E+002, 6.0195648E-001, 1.5379557E+002, 1.7503288E+001, 6.0195648E-001, 2.7496753E+001, 9.2921560E+000, 6.0195648E-001, 1.4027227E+001, 0.0000000E+000, 6.0195648E-001, 0.0000000E+000, 1.2860384E+001
 7.0412955E-001, 2.0179311E+002, 7.0412955E-001, 2.3119292E+002, 3.9345269E+001, 7.0412955E-001, 5.1202379E+001, 1.8976479E+001, 7.0412955E-001, 2.4083149E+001, 0.0000000E+000, 7.0412955E-001, 0.0000000E+000, 1.5357958E+001
 8.0383935E-001, 2.5068674E+002, 8.0383935E-001, 2.6864244E+002, 6.1343992E+001, 8.0383935E-001, 6.7035884E+001, 2.8043913E+001, 8.0383935E-001, 3.0648813E+001, 0.0000000E+000, 8.0383935E-001, 0.0000000E+000, 1.7606523E+001
 9.0630430E-001, 2.7640059E+002, 9.0630430E-001, 2.7918091E+002, 7.3286456E+001, 8.8884196E-001, 7.5832065E+001, 3.3490192E+001, 9.0630430E-001, 3.5025687E+001, 0.0000000E+000, 9.0630430E-001, 0.0000000E+000, 1.9659196E+001
 1.0006009E+000, 2.8454781E+002, 9.7178805E-001, 2.8689414E+002, 8.0340299E+001, 1.0006009E+000, 8.2251457E+001, 3.7812625E+001, 1.0006009E+000, 4.0636026E+001, 0.0000000E+000, 1.0006009E+000, 0.0000000E+000, 2.1309334E+001
 1.1062480E+000, 2.7752552E+002, 9.7178805E-001, 2.8689414E+002, 8.5343984E+001, 1.1062480E+000, 8.7528315E+001, 4.1161011E+001, 1.1062480E+000, 4.3161735E+001, 0.0000000E+000, 1.1062480E+000, 0.0000000E+000, 2.2622146E+001
