s,kW/m2,m,m,m,deg
Time,HF_wide,x_max,y_max,L_F,tilt
 0.0000000E+000, 0.0000000E+000,-3.9500000E+000,-3.9500000E+000, 0.0000000E+000, 0.0000000E+000
 1.0134662E+000, 0.0000000E+000,-2.6199614E+000, 1.4283024E+000, 0.0000000E+000, 0.0000000E+000
 2.0041976E+000, 0.0000000E+000, 1.3889303E+000, 4.9329216E-001, 0.0000000E+000, 0.0000000E+000
 3.0025235E+000, 0.0000000E+000, 2.3783845E+000, 7.6074276E-001, 0.0000000E+000, 0.0000000E+000
 4.0005866E+000, 0.0000000E+000, 3.2449228E+000,-1.3892876E-002, 0.0000000E+000, 0.0000000E+000
 5.0029973E+000, 0.0000000E+000, 3.1767579E+000,-1.4126114E+000, 0.0000000E+000, 0.0000000E+000
 6.0006113E+000, 0.0000000E+000, 3.1298546E+000,-1.1459436E+000, 0.0000000E+000, 0.0000000E+000
 7.0029478E+000, 0.0000000E+000, 3.1128668E+000,-1.2086167E+000, 0.0000000E+000, 0.0000000E+000
 8.0026363E+000, 0.0000000E+000, 3.1770040E+000,-1.4181422E+000, 0.0000000E+000, 0.0000000E+000
 9.0016877E+000, 0.0000000E+000, 3.2626185E+000, 5.9319559E-001, 0.0000000E+000, 0.0000000E+000
 1.0001862E+001, 4.7874515E+000, 3.0832713E+000, 3.0174222E+000, 0.0000000E+000, 4.5162542E+001
 1.1000920E+001, 3.8102894E+000, 3.1573288E+000, 1.8331814E+000, 5.6029093E+000, 3.6560147E+001
 1.2000324E+001, 3.9552900E+000, 3.6506523E+000,-2.4496036E-001, 5.7229585E+000, 3.7258891E+001
 1.3000956E+001, 3.7101760E+000, 3.5496011E+000,-1.7743738E+000, 5.6717389E+000, 3.7676082E+001
 1.4001073E+001, 3.7408762E+000, 3.2086304E+000,-1.5551576E+000, 5.6822091E+000, 3.7112312E+001
 1.5002205E+001, 3.9030123E+000, 3.4578538E+000,-5.2271090E-001, 5.5369284E+000, 3.6958007E+001
 1.6000705E+001, 4.0010616E+000, 3.1669180E+000,-9.5961231E-002, 5.3951565E+000, 3.6301334E+001
 1.7001684E+001, 3.9994578E+000, 3.4808198E+000,-2.7075569E-001, 5.2694840E+000, 3.6231883E+001
 1.8000875E+001, 4.0813113E+000, 3.7019058E+000,-5.4291789E-001, 5.1441955E+000, 3.6342210E+001
 1.9003057E+001, 4.0710567E+000, 3.6540060E+000,-1.5673143E+000, 5.0761539E+000, 3.6601113E+001
 2.0001662E+001, 3.9858099E+000, 2.1617717E+000,-1.1533586E+000, 5.0932565E+000, 3.5482064E+001
 2.1000844E+001, 3.8796953E+000, 2.0610251E+000,-5.0142122E-001, 5.3284061E+000, 3.4424165E+001
 2.2001161E+001, 3.8851122E+000, 2.6642048E+000,-1.8652694E-001, 5.3968786E+000, 3.3959964E+001
